subject_id,target,value
100206,PMAT24_A_CR,20.0
100307,PMAT24_A_CR,17.0
100408,PMAT24_A_CR,7.0
100610,PMAT24_A_CR,23.0
101006,PMAT24_A_CR,11.0
101107,PMAT24_A_CR,14.0
101309,PMAT24_A_CR,15.0
101915,PMAT24_A_CR,21.0
102008,PMAT24_A_CR,20.0
102109,PMAT24_A_CR,21.0
102311,PMAT24_A_CR,20.0
102513,PMAT24_A_CR,18.0
102614,PMAT24_A_CR,18.0
102715,PMAT24_A_CR,22.0
102816,PMAT24_A_CR,17.0
103010,PMAT24_A_CR,19.0
103111,PMAT24_A_CR,21.0
103212,PMAT24_A_CR,15.0
103414,PMAT24_A_CR,17.0
103515,PMAT24_A_CR,8.0
103818,PMAT24_A_CR,16.0
104012,PMAT24_A_CR,10.0
104416,PMAT24_A_CR,23.0
104820,PMAT24_A_CR,15.0
105014,PMAT24_A_CR,21.0
105115,PMAT24_A_CR,22.0
105216,PMAT24_A_CR,22.0
105620,PMAT24_A_CR,22.0
105923,PMAT24_A_CR,22.0
106016,PMAT24_A_CR,22.0
106319,PMAT24_A_CR,24.0
106521,PMAT24_A_CR,23.0
106824,PMAT24_A_CR,22.0
107018,PMAT24_A_CR,10.0
107321,PMAT24_A_CR,23.0
107422,PMAT24_A_CR,24.0
107725,PMAT24_A_CR,10.0
108020,PMAT24_A_CR,21.0
108121,PMAT24_A_CR,16.0
108222,PMAT24_A_CR,22.0
108323,PMAT24_A_CR,13.0
108525,PMAT24_A_CR,18.0
108828,PMAT24_A_CR,20.0
109123,PMAT24_A_CR,22.0
110007,PMAT24_A_CR,18.0
110411,PMAT24_A_CR,16.0
110613,PMAT24_A_CR,17.0
111009,PMAT24_A_CR,20.0
111211,PMAT24_A_CR,19.0
111312,PMAT24_A_CR,17.0
111413,PMAT24_A_CR,13.0
111514,PMAT24_A_CR,17.0
111716,PMAT24_A_CR,22.0
112112,PMAT24_A_CR,21.0
112314,PMAT24_A_CR,18.0
