subject,ready,dwi,bvecs,bvals,mask,t1,xfm,missing_items
177140,True,ok,ok,ok,ok,ok,ok,
177241,True,ok,ok,ok,ok,ok,ok,
177342,True,ok,ok,ok,ok,ok,ok,
177645,True,ok,ok,ok,ok,ok,ok,
177746,True,ok,ok,ok,ok,ok,ok,
178142,True,ok,ok,ok,ok,ok,ok,
178243,True,ok,ok,ok,ok,ok,ok,
178647,True,ok,ok,ok,ok,ok,ok,
178748,True,ok,ok,ok,ok,ok,ok,
178849,True,ok,ok,ok,ok,ok,ok,
178950,True,ok,ok,ok,ok,ok,ok,
179245,True,ok,ok,ok,ok,ok,ok,
179548,True,ok,ok,ok,ok,ok,ok,
179952,True,ok,ok,ok,ok,ok,ok,
180432,True,ok,ok,ok,ok,ok,ok,
180533,True,ok,ok,ok,ok,ok,ok,
180735,True,ok,ok,ok,ok,ok,ok,
180836,True,ok,ok,ok,ok,ok,ok,
180937,True,ok,ok,ok,ok,ok,ok,
181131,True,ok,ok,ok,ok,ok,ok,
181232,True,ok,ok,ok,ok,ok,ok,
181636,True,ok,ok,ok,ok,ok,ok,
182032,True,ok,ok,ok,ok,ok,ok,
182436,True,ok,ok,ok,ok,ok,ok,
182739,True,ok,ok,ok,ok,ok,ok,
182840,True,ok,ok,ok,ok,ok,ok,
183034,True,ok,ok,ok,ok,ok,ok,
183337,True,ok,ok,ok,ok,ok,ok,
183741,True,ok,ok,ok,ok,ok,ok,
185038,True,ok,ok,ok,ok,ok,ok,
185139,True,ok,ok,ok,ok,ok,ok,
185341,True,ok,ok,ok,ok,ok,ok,
185442,True,ok,ok,ok,ok,ok,ok,
185846,True,ok,ok,ok,ok,ok,ok,
185947,True,ok,ok,ok,ok,ok,ok,
186040,True,ok,ok,ok,ok,ok,ok,
186141,True,ok,ok,ok,ok,ok,ok,
186444,True,ok,ok,ok,ok,ok,ok,
186545,True,ok,ok,ok,ok,ok,ok,
186848,True,ok,ok,ok,ok,ok,ok,
187143,True,ok,ok,ok,ok,ok,ok,
187345,True,ok,ok,ok,ok,ok,ok,
187547,True,ok,ok,ok,ok,ok,ok,
187850,True,ok,ok,ok,ok,ok,ok,
188145,True,ok,ok,ok,ok,ok,ok,
188347,True,ok,ok,ok,ok,ok,ok,
188448,True,ok,ok,ok,ok,ok,ok,
188549,True,ok,ok,ok,ok,ok,ok,
188751,True,ok,ok,ok,ok,ok,ok,
189349,True,ok,ok,ok,ok,ok,ok,
189450,True,ok,ok,ok,ok,ok,ok,
189652,True,ok,ok,ok,ok,ok,ok,
190031,True,ok,ok,ok,ok,ok,ok,
191033,True,ok,ok,ok,ok,ok,ok,
191235,True,ok,ok,ok,ok,ok,ok,
191336,True,ok,ok,ok,ok,ok,ok,
191437,True,ok,ok,ok,ok,ok,ok,
191841,True,ok,ok,ok,ok,ok,ok,
191942,True,ok,ok,ok,ok,ok,ok,
192035,True,ok,ok,ok,ok,ok,ok,
192136,True,ok,ok,ok,ok,ok,ok,
192237,True,ok,ok,ok,ok,ok,ok,
192439,True,ok,ok,ok,ok,ok,ok,
192540,True,ok,ok,ok,ok,ok,ok,
192641,True,ok,ok,ok,ok,ok,ok,
192843,True,ok,ok,ok,ok,ok,ok,
193239,True,ok,ok,ok,ok,ok,ok,
193441,True,ok,ok,ok,ok,ok,ok,
193845,True,ok,ok,ok,ok,ok,ok,
194140,True,ok,ok,ok,ok,ok,ok,
194443,True,ok,ok,ok,ok,ok,ok,
194645,True,ok,ok,ok,ok,ok,ok,
194746,True,ok,ok,ok,ok,ok,ok,
194847,True,ok,ok,ok,ok,ok,ok,
195041,True,ok,ok,ok,ok,ok,ok,
195445,True,ok,ok,ok,ok,ok,ok,
195647,True,ok,ok,ok,ok,ok,ok,
195849,True,ok,ok,ok,ok,ok,ok,
195950,True,ok,ok,ok,ok,ok,ok,
196144,True,ok,ok,ok,ok,ok,ok,
196346,True,ok,ok,ok,ok,ok,ok,
196750,True,ok,ok,ok,ok,ok,ok,
196851,True,ok,ok,ok,ok,ok,ok,
196952,True,ok,ok,ok,ok,ok,ok,
197348,True,ok,ok,ok,ok,ok,ok,
197550,True,ok,ok,ok,ok,ok,ok,
197651,True,ok,ok,ok,ok,ok,ok,
198047,True,ok,ok,ok,ok,ok,ok,
198249,True,ok,ok,ok,ok,ok,ok,
198350,True,ok,ok,ok,ok,ok,ok,
198451,True,ok,ok,ok,ok,ok,ok,
198653,True,ok,ok,ok,ok,ok,ok,
198855,True,ok,ok,ok,ok,ok,ok,
199150,True,ok,ok,ok,ok,ok,ok,
199251,True,ok,ok,ok,ok,ok,ok,
199352,True,ok,ok,ok,ok,ok,ok,
199453,True,ok,ok,ok,ok,ok,ok,
