roi_index,roi_label,module_id,module
1,Precentral_L,1,sensorimotor
2,Precentral_R,1,sensorimotor
3,Frontal_Sup_L,0,frontal_executive
4,Frontal_Sup_R,0,frontal_executive
5,Frontal_Sup_Orb_L,0,frontal_executive
6,Frontal_Sup_Orb_R,0,frontal_executive
7,Frontal_Mid_L,0,frontal_executive
8,Frontal_Mid_R,0,frontal_executive
9,Frontal_Mid_Orb_L,0,frontal_executive
10,Frontal_Mid_Orb_R,0,frontal_executive
11,Frontal_Inf_Oper_L,0,frontal_executive
12,Frontal_Inf_Oper_R,0,frontal_executive
13,Frontal_Inf_Tri_L,0,frontal_executive
14,Frontal_Inf_Tri_R,0,frontal_executive
15,Frontal_Inf_Orb_L,0,frontal_executive
16,Frontal_Inf_Orb_R,0,frontal_executive
17,Rolandic_Oper_L,1,sensorimotor
18,Rolandic_Oper_R,1,sensorimotor
19,Supp_Motor_Area_L,1,sensorimotor
20,Supp_Motor_Area_R,1,sensorimotor
21,Olfactory_L,5,cingulo_insular_limbic
22,Olfactory_R,5,cingulo_insular_limbic
23,Frontal_Sup_Medial_L,0,frontal_executive
24,Frontal_Sup_Medial_R,0,frontal_executive
25,Frontal_Med_Orb_L,0,frontal_executive
26,Frontal_Med_Orb_R,0,frontal_executive
27,Rectus_L,5,cingulo_insular_limbic
28,Rectus_R,5,cingulo_insular_limbic
29,Insula_L,5,cingulo_insular_limbic
30,Insula_R,5,cingulo_insular_limbic
31,Cingulum_Ant_L,5,cingulo_insular_limbic
32,Cingulum_Ant_R,5,cingulo_insular_limbic
33,Cingulum_Mid_L,5,cingulo_insular_limbic
34,Cingulum_Mid_R,5,cingulo_insular_limbic
35,Cingulum_Post_L,5,cingulo_insular_limbic
36,Cingulum_Post_R,5,cingulo_insular_limbic
37,Hippocampus_L,6,subcortical
38,Hippocampus_R,6,subcortical
39,ParaHippocampal_L,5,cingulo_insular_limbic
40,ParaHippocampal_R,5,cingulo_insular_limbic
41,Amygdala_L,6,subcortical
42,Amygdala_R,6,subcortical
43,Calcarine_L,4,occipital_visual
44,Calcarine_R,4,occipital_visual
45,Cuneus_L,4,occipital_visual
46,Cuneus_R,4,occipital_visual
47,Lingual_L,4,occipital_visual
48,Lingual_R,4,occipital_visual
49,Occipital_Sup_L,4,occipital_visual
50,Occipital_Sup_R,4,occipital_visual
51,Occipital_Mid_L,4,occipital_visual
52,Occipital_Mid_R,4,occipital_visual
53,Occipital_Inf_L,4,occipital_visual
54,Occipital_Inf_R,4,occipital_visual
55,Fusiform_L,4,occipital_visual
56,Fusiform_R,4,occipital_visual
57,Postcentral_L,1,sensorimotor
58,Postcentral_R,1,sensorimotor
59,Parietal_Sup_L,2,parietal_attention
60,Parietal_Sup_R,2,parietal_attention
61,Parietal_Inf_L,2,parietal_attention
62,Parietal_Inf_R,2,parietal_attention
63,SupraMarginal_L,2,parietal_attention
64,SupraMarginal_R,2,parietal_attention
65,Angular_L,2,parietal_attention
66,Angular_R,2,parietal_attention
67,Precuneus_L,4,occipital_visual
68,Precuneus_R,4,occipital_visual
69,Paracentral_Lobule_L,5,cingulo_insular_limbic
70,Paracentral_Lobule_R,5,cingulo_insular_limbic
71,Caudate_L,6,subcortical
72,Caudate_R,6,subcortical
73,Putamen_L,6,subcortical
74,Putamen_R,6,subcortical
75,Pallidum_L,6,subcortical
76,Pallidum_R,6,subcortical
77,Thalamus_L,6,subcortical
78,Thalamus_R,6,subcortical
79,Heschl_L,3,temporal_language_memory
80,Heschl_R,3,temporal_language_memory
81,Temporal_Sup_L,3,temporal_language_memory
82,Temporal_Sup_R,3,temporal_language_memory
83,Temporal_Pole_Sup_L,3,temporal_language_memory
84,Temporal_Pole_Sup_R,3,temporal_language_memory
85,Temporal_Mid_L,3,temporal_language_memory
86,Temporal_Mid_R,3,temporal_language_memory
87,Temporal_Pole_Mid_L,3,temporal_language_memory
88,Temporal_Pole_Mid_R,3,temporal_language_memory
89,Temporal_Inf_L,3,temporal_language_memory
90,Temporal_Inf_R,3,temporal_language_memory
91,Cerebelum_Crus1_L,7,cerebellar_vermis
92,Cerebelum_Crus1_R,7,cerebellar_vermis
93,Cerebelum_Crus2_L,7,cerebellar_vermis
94,Cerebelum_Crus2_R,7,cerebellar_vermis
95,Cerebelum_3_L,7,cerebellar_vermis
96,Cerebelum_3_R,7,cerebellar_vermis
97,Cerebelum_4_5_L,7,cerebellar_vermis
98,Cerebelum_4_5_R,7,cerebellar_vermis
99,Cerebelum_6_L,7,cerebellar_vermis
100,Cerebelum_6_R,7,cerebellar_vermis
101,Cerebelum_7b_L,7,cerebellar_vermis
102,Cerebelum_7b_R,7,cerebellar_vermis
103,Cerebelum_8_L,7,cerebellar_vermis
104,Cerebelum_8_R,7,cerebellar_vermis
105,Cerebelum_9_L,7,cerebellar_vermis
106,Cerebelum_9_R,7,cerebellar_vermis
107,Cerebelum_10_L,7,cerebellar_vermis
108,Cerebelum_10_R,7,cerebellar_vermis
109,Vermis_1_2,7,cerebellar_vermis
110,Vermis_3,7,cerebellar_vermis
111,Vermis_4_5,7,cerebellar_vermis
112,Vermis_6,7,cerebellar_vermis
113,Vermis_7,7,cerebellar_vermis
114,Vermis_8,7,cerebellar_vermis
115,Vermis_9,7,cerebellar_vermis
116,Vermis_10,7,cerebellar_vermis
