experiment_id,method_name,seed,wm_alignment,rank_stability,top10_jaccard,n_folds,n_fold_pairs
E0,No-prior MS-Inter-GCN,0,-0.38310200273990624,0.7130319455656788,0.19313063957026805,5,10
E0,No-prior MS-Inter-GCN,1,-0.3880933940410614,0.7849106216122708,0.18828197945845004,5,10
E0,No-prior MS-Inter-GCN,2,-0.21420156061649323,0.04329450659285744,0.06666666666666668,5,10
E0,No-prior MS-Inter-GCN,3,-0.3791114330291748,0.7086410640833429,0.14206226350189197,5,10
E0,No-prior MS-Inter-GCN,4,-0.5081050455570221,0.5730726944220198,0.11399208806329549,5,10
E0,No-prior MS-Inter-GCN,5,-0.41947346925735474,0.6214877176796217,0.1392844857241142,5,10
E0,No-prior MS-Inter-GCN,6,-0.4047747105360031,0.7688532656748549,0.3562271062271062,5,10
E0,No-prior MS-Inter-GCN,7,-0.4183182865381241,0.753634721100988,0.1232905982905983,5,10
E0,No-prior MS-Inter-GCN,8,-0.35938392877578734,0.5101941337023795,0.12247360482654598,5,10
E0,No-prior MS-Inter-GCN,9,-0.42250158041715624,0.6123722754007612,0.19738562091503267,5,10
E2,Shuffled-prior control,0,-0.2567273259162902,0.6018421558451543,0.30809990662931835,5,10
E2,Shuffled-prior control,1,-0.3161700144410133,0.5733779264214046,0.2373428858722976,5,10
E2,Shuffled-prior control,2,-0.1673436529934406,0.6123676623226848,0.45494505494505494,5,10
E2,Shuffled-prior control,3,-0.2666644856333732,0.5634705724061047,0.3201572936867054,5,10
E2,Shuffled-prior control,4,-0.23275315538048744,0.6144681505401146,0.3717679379444085,5,10
E2,Shuffled-prior control,5,-0.2213498145341873,0.5620789605197402,0.34075091575091576,5,10
E2,Shuffled-prior control,6,-0.31045310497283934,0.5842424941375465,0.2576854088463995,5,10
E2,Shuffled-prior control,7,-0.11521695926785465,0.6659516395648328,0.34802305537599654,5,10
E2,Shuffled-prior control,8,-0.24559669941663737,0.7141360089186177,0.37985707103354155,5,10
E2,Shuffled-prior control,9,-0.2400856927037239,0.6687686925767885,0.34348200818789054,5,10
E3,Random-prior control,0,0.012404794665053478,0.677443585899358,0.3764260249554367,5,10
E3,Random-prior control,1,0.008911022916436181,0.6685810940683504,0.4260989010989011,5,10
E3,Random-prior control,2,0.047582542430609436,0.7692053973013493,0.4987595737595738,5,10
E3,Random-prior control,3,0.09095825180411339,0.75603121516165,0.5198717948717949,5,10
E3,Random-prior control,4,-0.006863215565681461,0.752875869757429,0.5967032967032967,5,10
E3,Random-prior control,5,-0.031046950444579103,0.7612070887633107,0.5243090243090244,5,10
E3,Random-prior control,6,-0.051293573016300775,0.7622573328720256,0.47893299510946574,5,10
E3,Random-prior control,7,0.1112398527562618,0.8162764771460423,0.48360805860805867,5,10
E3,Random-prior control,8,-0.034041149914264705,0.6724699188867105,0.4110916860916861,5,10
E3,Random-prior control,9,0.04906551539897917,0.7463860377503557,0.5677655677655677,5,10
E10,Visual-prior control,0,0.06617835462093351,0.8123645869373005,0.5951298701298702,5,10
E10,Visual-prior control,1,0.1493055313825607,0.86053050397878,0.5201881451881453,5,10
E10,Visual-prior control,2,0.12556972801685332,0.7427101833698535,0.5222027972027972,5,10
E10,Visual-prior control,3,0.11516676694154734,0.8479821627647715,0.6585081585081586,5,10
E10,Visual-prior control,4,0.1304026201367378,0.8466851189789721,0.7727272727272727,5,10
E10,Visual-prior control,5,0.14159878492355343,0.8760773459424135,0.6218781218781219,5,10
E10,Visual-prior control,6,0.1632825307548046,0.7967685388075194,0.6689976689976691,5,10
E10,Visual-prior control,7,0.14329357147216795,0.8554745704071042,0.6305361305361306,5,10
E10,Visual-prior control,8,0.1714129269123077,0.861782185830162,0.5668914418914419,5,10
E10,Visual-prior control,9,0.15528836846351618,0.8941844462384193,0.6570429570429571,5,10
E1,MetaSFC (ours),0,0.7794252276420593,0.9398477684234805,0.6918414918414919,5,10
E1,MetaSFC (ours),1,0.774870240688324,0.9447899127359397,0.5939060939060938,5,10
E1,MetaSFC (ours),2,0.7612301468849182,0.8795302348825587,0.5719280719280718,5,10
E1,MetaSFC (ours),3,0.7672461152076722,0.9262238111713375,0.5070929070929071,5,10
E1,MetaSFC (ours),4,0.7834454655647278,0.8814561949794333,0.5975690975690976,5,10
E1,MetaSFC (ours),5,0.7616301059722901,0.9600761157882596,0.5719280719280719,5,10
E1,MetaSFC (ours),6,0.763728141784668,0.8873978395417677,0.5810855810855811,5,10
E1,MetaSFC (ours),7,0.7652886033058166,0.879359550993734,0.7636363636363637,5,10
E1,MetaSFC (ours),8,0.7724604606628418,0.9085372698266252,0.7372960372960373,5,10
E1,MetaSFC (ours),9,0.7880594730377197,0.9226671279744743,0.6377289377289377,5,10
NCR_TRUE,Network-Constrained Ridge (true prior),0,-0.171181548488288,0.5789282281935956,0.3295518207282913,5,10
NCR_TRUE,Network-Constrained Ridge (true prior),1,-0.28722462976679997,0.5316003536693191,0.3808069381598793,5,10
NCR_TRUE,Network-Constrained Ridge (true prior),2,-0.2664633048732705,0.4761350094183678,0.3233893557422969,5,10
NCR_TRUE,Network-Constrained Ridge (true prior),3,-0.3259496046271403,0.5409672087033408,0.35986317603964657,5,10
NCR_TRUE,Network-Constrained Ridge (true prior),4,-0.4596067513582354,0.6051958636066582,0.3715578539107951,5,10
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),0,-0.033625036204208154,0.5312389958866721,0.30119047619047623,5,10
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),1,-0.024853461335788248,0.5906885019028947,0.3496444731738849,5,10
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),2,-0.00018178394739836525,0.49988236650905316,0.25939481055580127,5,10
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),3,-0.04540803195947456,0.553820781916734,0.3767399267399267,5,10
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),4,-0.0865571257227589,0.5863898819820859,0.33074229691876744,5,10
NCR_RANDOM,Network-Constrained Ridge (random prior),0,-0.017572115310875807,0.5419036635528389,0.319047619047619,5,10
NCR_RANDOM,Network-Constrained Ridge (random prior),1,-0.01994929000762363,0.4484257871064468,0.25874811463046754,5,10
NCR_RANDOM,Network-Constrained Ridge (random prior),2,0.004548593936550243,0.5256233421750663,0.33400488400488404,5,10
NCR_RANDOM,Network-Constrained Ridge (random prior),3,-0.03194603172301778,0.5291300503594357,0.3984432234432234,5,10
NCR_RANDOM,Network-Constrained Ridge (random prior),4,-0.042625339226222705,0.5356406412178527,0.3562271062271062,5,10
M2_TRUE,Meta-GAT attention mass (true prior),0,0.3999396664698651,0.938533810018068,0.7121212121212122,5,10
M2_TRUE,Meta-GAT attention mass (true prior),1,0.4130281106825473,0.9463337561988237,0.7454545454545455,5,10
M2_TRUE,Meta-GAT attention mass (true prior),2,0.41085280902204985,0.9424275883283162,0.6433566433566434,5,10
M2_TRUE,Meta-GAT attention mass (true prior),3,0.42971527776597823,0.9663975704455465,0.7606060606060606,5,10
M2_TRUE,Meta-GAT attention mass (true prior),4,0.38112203147544116,0.8711951716449468,0.5125188536953242,5,10
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),0,-0.36599700776415867,0.9693560911851767,0.7221445221445222,5,10
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),1,-0.3638395719049254,0.9644039518702188,0.7076923076923076,5,10
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),2,-0.36464461510054674,0.9685172798216277,0.7144522144522145,5,10
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),3,-0.36670017204420513,0.9840671971706454,0.8272727272727274,5,10
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),4,-0.36798164899207386,0.9403705839387998,0.6471861471861472,5,10
M2_RANDOM,Meta-GAT attention mass (random prior),0,-0.2674651142097571,0.9498796755468419,0.5895104895104895,5,10
M2_RANDOM,Meta-GAT attention mass (random prior),1,-0.27324724207508194,0.959639411063699,0.6766899766899768,5,10
M2_RANDOM,Meta-GAT attention mass (random prior),2,-0.28149843542375164,0.9625364240956445,0.706993006993007,5,10
M2_RANDOM,Meta-GAT attention mass (random prior),3,-0.2703317072264236,0.9736108868642603,0.7477855477855478,5,10
M2_RANDOM,Meta-GAT attention mass (random prior),4,-0.2712845747309183,0.9287556221889057,0.5386363636363637,5,10
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),0,-0.023470105472344672,0.7432668281243994,0.3212184873949579,5,10
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),1,-0.08929886712720125,0.7889931957098375,0.2735760971055089,5,10
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),2,0.027502313140735823,0.14941529235382306,0.2231672696068981,5,10
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),3,-0.1177250821983958,0.741825241225541,0.28211951447245565,5,10
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),4,0.037216767384672514,0.5992342290393264,0.24857609710550888,5,10
M3_TRUE,Two-stage KRR gradient saliency (true prior),0,0.0015171967917478781,0.750879175796717,0.4668914418914419,5,10
M3_TRUE,Two-stage KRR gradient saliency (true prior),1,0.01618875944743222,0.8408011378925921,0.5600732600732601,5,10
M3_TRUE,Two-stage KRR gradient saliency (true prior),2,0.036247918873813095,0.7902218121708378,0.320489477842419,5,10
M3_TRUE,Two-stage KRR gradient saliency (true prior),3,0.025369847603947338,0.8643040018452313,0.47545787545787543,5,10
M3_TRUE,Two-stage KRR gradient saliency (true prior),4,-0.0602583821238639,0.7129719755506863,0.33003663003663003,5,10
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),0,-0.049189537590519625,0.7233352554491985,0.3165212238741651,5,10
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),1,-0.09451766451817073,0.7234544266328374,0.27598039215686276,5,10
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),2,-0.03177024065300619,0.6803744281705301,0.2650793650793651,5,10
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),3,-0.07192751320878189,0.7638457694229809,0.27836134453781514,5,10
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),4,-0.04317468632000896,0.7882574097566601,0.32240896358543414,5,10
M3_RANDOM,Two-stage KRR gradient saliency (random prior),0,-0.1596172927576383,0.5703486718179371,0.21760604376703446,5,10
M3_RANDOM,Two-stage KRR gradient saliency (random prior),1,-0.16502186934759733,0.7185069003959559,0.2214863138237751,5,10
M3_RANDOM,Two-stage KRR gradient saliency (random prior),2,-0.17711949116566855,0.7502271940952602,0.31349206349206354,5,10
M3_RANDOM,Two-stage KRR gradient saliency (random prior),3,-0.2027530253746333,0.7115695998154768,0.24910069290874243,5,10
M3_RANDOM,Two-stage KRR gradient saliency (random prior),4,-0.18432492741034873,0.7329812017068389,0.2726836888601594,5,10
