experiment_id,method_name,seeds,wm_alignment_mean,wm_alignment_sd,rank_stability_mean,rank_stability_sd,top10_jaccard_mean,top10_jaccard_sd
E0,No-prior MS-Inter-GCN,10,-0.3897065411508083,0.07371522506591258,0.6089492945834775,0.2184315729713135,0.16427950532439697,0.07884702090794936
E2,Shuffled-prior control,10,-0.2372360905259847,0.06051753276530767,0.6160704263252988,0.051227501779242186,0.33621115382725286,0.06188625921576261
E3,Random-prior control,10,0.019691709103062744,0.05423788151815794,0.7382734017606581,0.04901725381878995,0.4883566923272806,0.06906075556315062
E10,Visual-prior control,10,0.13614991836249826,0.029964822005904147,0.8394559643255295,0.0441919881486646,0.6214102564102564,0.07574947087251625
E1,MetaSFC (ours),10,0.7717383980751038,0.009495002513282749,0.912988582631761,0.03007063230067395,0.6254012654012654,0.08140553169306468
M2_RANDOM,Meta-GAT attention mass (random prior),5,-0.2727654147331865,0.005308173248601971,0.9548844039518704,0.01687901959539589,0.651923076923077,0.08597226342935926
M2_SHUFFLED,Meta-GAT attention mass (shuffled prior),5,-0.36583260316118194,0.0016417667194345154,0.9653430207972937,0.015821503470382605,0.7237495837495838,0.06504970114517063
M2_TRUE,Meta-GAT attention mass (true prior),5,0.40693157908317634,0.01793502339803663,0.9329775793271402,0.03616809206885238,0.6748114630467572,0.10133048920521107
M3_E0,Two-stage KRR gradient saliency (no-prior biomarker),5,-0.033154994854506674,0.06897377234019404,0.6045469572905855,0.26423569127810353,0.2697314931370659,0.03686099674524515
M3_RANDOM,Two-stage KRR gradient saliency (random prior),5,-0.17776732121117725,0.017026283882912677,0.6967267135662938,0.07218515528461131,0.254873760570355,0.03965549019153252
M3_SHUFFLED,Two-stage KRR gradient saliency (shuffled prior),5,-0.058115928458097474,0.02506423097755884,0.7358534578864414,0.041587581629861266,0.29167025784672845,0.02594616146939256
M3_TRUE,Two-stage KRR gradient saliency (true prior),5,0.0038130681186153274,0.038014121660513746,0.7918356206512129,0.06234740857299098,0.4305897370603253,0.10287120680821882
NCR_RANDOM,Network-Constrained Ridge (random prior),5,-0.021508836466237934,0.017690119922207946,0.5161446968823281,0.03836642761650899,0.33329418947066003,0.051310092643006226
NCR_SHUFFLED,Network-Constrained Ridge (shuffled prior),5,-0.038125087833925646,0.03175997643891912,0.5524041056394879,0.038174696837929616,0.3235423967157713,0.045215194681514734
NCR_TRUE,Network-Constrained Ridge (true prior),5,-0.30208516782274686,0.10489050349016732,0.5465653327182564,0.049245853090265135,0.35303382891618185,0.025452527278688516
