ID,Method,Seeds,Folds,Top-k,delta_pearson_top Mean,delta_pearson_top Std,delta_pearson_bottom Mean,delta_pearson_bottom Std,delta_pearson_random Mean,delta_pearson_random Std,delta_pearson_prior_top Mean,delta_pearson_prior_top Std,gap_pearson_top_vs_random Mean,gap_pearson_top_vs_random Std,gap_pearson_top_vs_bottom Mean,gap_pearson_top_vs_bottom Std,delta_rmse_top Mean,delta_rmse_top Std,delta_rmse_bottom Mean,delta_rmse_bottom Std,delta_rmse_random Mean,delta_rmse_random Std,delta_rmse_prior_top Mean,delta_rmse_prior_top Std,gap_rmse_top_vs_random Mean,gap_rmse_top_vs_random Std,gap_rmse_top_vs_bottom Mean,gap_rmse_top_vs_bottom Std,delta_mae_top Mean,delta_mae_top Std,delta_mae_bottom Mean,delta_mae_bottom Std,delta_mae_random Mean,delta_mae_random Std,delta_mae_prior_top Mean,delta_mae_prior_top Std,gap_mae_top_vs_random Mean,gap_mae_top_vs_random Std,gap_mae_top_vs_bottom Mean,gap_mae_top_vs_bottom Std
M2_RANDOM,Random-prior Meta-GAT,5,5,10,0.04480937099842684,0.061193677350707465,0.013955474437445305,0.05382047739520923,0.019954167155164942,0.035208545740007764,0.08205329175624934,0.10495457892683066,0.02485520384326191,0.0625887292857244,0.03085389656098154,0.06345050652798469,3.0126314047168536,3.3214743599111265,1.3475716987597923,2.141523411123276,1.7251590086300528,1.2237151826674846,3.470754371504063,1.27720191316767,1.2874723960868009,2.730108423861417,1.6650597059570618,3.3308148549228833,2.741797416170239,3.3201694829635886,1.2615433982257243,2.094497930436645,1.3830714961252881,1.3010651683218277,2.8060159299291656,1.4448878559492369,1.358725920044952,2.702979162151842,1.4802540179445152,3.2872764919555375
M2_SHUFFLED,Shuffled-prior Meta-GAT,5,5,10,0.03121590309626399,0.05750899544758478,0.0027350374809660756,0.04641551333458969,0.01480518300489985,0.028429622609688936,0.01208985106902777,0.04781060579960202,0.016410720091364146,0.046047753631253296,0.028480865615297914,0.05447143490506388,3.069553549196607,3.036195732968278,2.4438031303111223,2.9289216824066275,1.5170797885488216,0.9373559516700045,1.9282270755942892,2.1052117204796947,1.5524737606477856,2.641783999285062,0.6257504188854847,3.906382743774463,2.782079839171153,3.117394591429296,2.338378673057993,2.9398851160960975,1.2220395379661988,1.0197577432695275,1.6957613207794375,2.0521213650886843,1.5600403012049537,2.650498065429945,0.44370116611315935,3.9893073568294786
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),5,5,10,0.022396650505256917,0.049549818341158375,0.030913829479438822,0.05001710120808019,0.018160958739636236,0.024093849301510265,0.05845555647013985,0.08422117766847481,0.004235691765620681,0.049555420006628464,-0.008517178974181909,0.06914692814552865,1.4463885655494235,1.5077056058521754,2.078307422864954,2.3964551089882318,1.1124021696494923,0.7891407866095576,2.619321468001242,1.4527303061201435,0.333986395899931,1.5532357684015607,-0.6319188573155303,3.094772634487772,0.9911845555447004,1.4796223306537635,1.9833174715201856,2.2915189692129045,0.8101694850008033,0.8493002105367177,1.9320280602158362,1.549951014314084,0.18101507054389718,1.516445099533469,-0.9921329159754851,2.8535217526459347
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),5,5,10,0.04363573545481618,0.08955008023787286,0.03405040787686652,0.05154923528595447,0.02937601110566332,0.03696611366577846,0.025181282497874588,0.052664355094612245,0.014259724349152854,0.08673063938240558,0.009585327577949651,0.10920124314794026,0.9232879128595293,1.3748902192328682,0.3393875451977922,0.5881700749072448,0.6840548129946162,0.6475297275720271,0.43383284598570143,0.44008259203758315,0.23923309986491298,1.0650686228968094,0.583900367661737,1.2295904071615975,0.8802367210270873,1.2690974711423226,0.4183417669249043,0.5400552632707899,0.7086889058525753,0.5763765687611949,0.4702385370773434,0.4607672617757986,0.1715478151745122,1.034685114769002,0.4618949541021831,1.2173970569099326
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),5,5,10,0.06022030904239826,0.07509430986095637,0.017869533375565273,0.04308777236351878,0.026904298764002438,0.028125637691487307,0.015276309190637096,0.03742175929380781,0.03331601027839582,0.05548891779376375,0.04235077566683299,0.08531859375620918,0.7488683891821079,0.7550324153146876,0.4540642469699792,0.9505025720143946,0.5346302769176576,0.49879507389224265,0.17624089061092504,0.18331180521727902,0.21423811226445014,0.4887718721215591,0.29480414221212853,1.2275730712932786,0.8284186994786604,0.7046354583374923,0.47834719816823434,0.8184935490346189,0.5674476322864213,0.4514272849314973,0.2647805039669818,0.2576655773509256,0.2609710671922393,0.4456390099846606,0.3500715013104261,1.1192928491239564
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),5,5,10,0.06282551764439225,0.07552474461126216,0.027589757459053656,0.041774826252938775,0.02530248404229304,0.02980268647024522,0.016415206680385607,0.0417444333680867,0.03752303360209921,0.057183792600842866,0.03523576018533859,0.06859209447493156,0.9102303669562285,1.2188676522798907,0.17855175638064025,0.1841994919259207,0.5799308832037524,0.5811136399935416,0.2766555490986207,0.3548226562322449,0.330299483752476,0.8571274226604965,0.7316786105755883,1.25917999363069,0.9699870886114971,1.0825283215396622,0.24390214302902963,0.21420340846530594,0.6013894846297533,0.4877879681909477,0.26898122414422376,0.32437649139659397,0.36859760398174385,0.8030479720741021,0.7260849455824676,1.1876033300875666
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),5,5,10,0.05953437079995024,0.08322294117237151,0.012747551695032515,0.04683632415138057,0.013467368903324395,0.014357273001292662,0.06015328643212431,0.08064601477985765,0.046067001896625846,0.07892135612031352,0.04678681910491773,0.1115899498628731,0.519367268744424,0.4901866980075998,0.353748760868755,0.4724634883940747,0.4016509028162043,0.34056618754285833,0.19942295331164137,0.28273288840226246,0.11771636592821975,0.45875107809087223,0.16561850787566904,0.6267903843950106,0.5524913274475929,0.4204093252452449,0.3498812492576032,0.43798211762952094,0.3587683505599226,0.3231136782439158,0.23417862734877826,0.2832285418616362,0.19372297688767035,0.4189151925363937,0.20261007818998972,0.5635728179073132
NCR_RANDOM,Random-prior Network-Constrained Ridge,5,5,10,0.0383600110872088,0.04648409741912665,0.009205400822665142,0.018857059247483796,0.013655031282496819,0.009906939087442012,0.03940878042195688,0.04358099149321414,0.02470497980471199,0.04853591577164012,0.029154610264543662,0.05338310850455132,1.9865842942394856,2.1290054108986047,0.37031414007967656,0.6194964121903596,1.1734715227142407,0.6186564838437613,0.4358878536861006,0.6089571438448891,0.8131127715252449,1.9754537514935309,1.616270154159809,1.9878192610563592,1.9178249872320003,2.101246202853235,0.3891198534952518,0.5779677294696982,1.1102197346429938,0.6345256550693509,0.2568778160820264,0.5508221635049152,0.8076052525890066,1.9329793112494058,1.5287051337367488,1.9311817104558286
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,5,5,10,0.037141630842011414,0.0428071103117432,0.004816965641098914,0.015168286980531994,0.013439752877868307,0.010384567215494888,0.03220669622640348,0.044611618011241645,0.023701877964143102,0.04339667555691471,0.0323246652009125,0.04830440954638525,3.5638086279165346,4.142157717496803,0.2937427693246651,0.5875140336066128,1.1384286024437578,0.7025992569629558,0.41165143497411755,0.6515030543335131,2.4253800254727764,3.838451686224991,3.270065858591869,4.153002534471866,3.528602242389083,4.208915843706755,0.27203594271145914,0.5346269155984202,1.0920442776224493,0.6740067121502027,0.2876810377023311,0.6186893786190737,2.4365579647666333,3.8871929179194926,3.2565662996776235,4.250612938974162
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,5,5,10,0.046571240008116896,0.05321148525780202,0.0030143528030043497,0.01841816155462106,0.014593197522504925,0.010859241011462732,0.028066279028363533,0.040348527164056465,0.03197804248561197,0.05473152494052495,0.04355688720511255,0.06185926990175835,2.4884701994035567,2.4004671264115114,0.6355368464055021,0.8886556679147031,1.124159127486141,0.7054633511996657,0.8862696009378856,0.8494010629878925,1.3643110719174154,2.131811140152078,1.8529333529980545,2.4649421090443497,2.3826659779513704,2.3572870733280755,0.5305928492213157,0.7252992787051404,1.0414398419867892,0.6738623403629557,0.5214428896984237,0.6754508606816629,1.3412261359645807,2.0812241825696636,1.8520731287300547,2.301182375286368
