method_id,seed,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random,delta_pearson_top,delta_pearson_bottom,delta_pearson_prior_true_top,delta_pearson_prior_random_top,delta_pearson_random,delta_rmse_top,delta_rmse_bottom,delta_rmse_prior_true_top,delta_rmse_prior_random_top,delta_rmse_random,delta_mae_top,delta_mae_bottom,delta_mae_prior_true_top,delta_mae_prior_random_top,delta_mae_random
M2_RANDOM,0,0.004636132864314607,0.04080927114033924,0.08189966867332127,0.10784916364590677,0.9535500124954046,-0.19861933368612555,0.9822685946965027,0.7907784986664839,1.0408409960999268,-0.19281122727216093,0.48352513882891746,0.4781198726343542,0.019826493519978682,-0.02098277762036056,0.09709002932898533,-0.010759134316921437,0.015190360655664075,3.456756283891451,3.655375617577577,3.4854748660925496,2.6946963674260656,2.5032062713960466,3.3543218583525403,3.5471330856247016,2.797006001081531,2.318886128447177,2.3134808622526135
M2_RANDOM,1,0.009514127271752566,0.009565603101868691,0.06322270757958967,0.06647446087033144,0.13985666598434054,1.222437256124332,2.48865434280818,2.9500868517807914,0.2681696669452164,0.7380078715084231,2.2804882203036816,2.7874601599541684,0.01097182101928586,0.0014062179174171685,0.06468040132712298,-0.0017940595432084593,0.0014576937475332952,1.2970711383636602,0.07463388223932821,3.6458688151874994,0.6957819634067084,1.1572144723793196,0.9360253846333582,0.19801751312493518,2.9483439379918233,0.16088377803765494,0.6678557176881419
M2_RANDOM,2,0.06191458751745151,0.041399783208859196,0.06157295727084914,0.06525811108418955,0.22318343905402127,1.2284021283876618,1.1482171479091807,0.5866541786556796,0.13967643449420705,1.0658481570996856,0.7882746340813026,0.21883918791352527,0.10314357995102932,0.06174379674217011,0.10280194970442694,0.03754383862023738,0.04122899243357779,1.9802295237235583,0.7518273953358967,2.9052632325787178,2.3186090539230384,1.7570460846695373,1.6835210769624176,0.6176729198627321,2.332119276549513,2.113280088635988,1.5438446424682106
M2_RANDOM,3,-0.007844370631536942,-0.0008987952949814859,0.05114280556468803,0.05203331255830683,2.4844579272529463,2.614906197908164,1.5063661857230681,1.6166780936364993,2.4768547221011987,2.424200085419401,1.2462828771331682,1.3332904334773115,0.009286522350239699,0.010185317645221185,0.06827369854646467,0.016240385988157847,0.01713089298177664,4.522883841560624,1.9079776436524605,3.544792100030746,1.9281140063942466,2.0384259143076777,4.070781886840336,1.6465818014209355,2.840210041872305,1.5069196083949938,1.593927164739137
M2_RANDOM,4,0.05605554219432783,0.06339362064882217,0.05265748391697396,0.06597069124297592,2.636313935647292,3.458172281051276,2.6024705432331188,3.1142941773775172,2.8680877805842107,3.3660252029672284,2.3161512986723194,2.9188667442810523,0.08081843815160084,0.01742481750277866,0.07742037987424695,0.011449688631271038,0.024762895957272997,3.806216236044974,0.348043954993698,3.7723728436308006,0.6580786662532836,1.1699023003976818,3.6643368740625464,0.29831167109531764,3.1124003921506542,0.1935336478696021,0.7962490934783352
M2_RANDOM,5,0.042602963376938106,0.03365714788262101,0.015476437004025307,0.028441489987000135,1.6240599609199404,2.1830084895404247,2.390197700187476,1.888818816211232,1.4846212322684624,1.7541898510787477,2.205634456957364,1.6846947795252496,0.07648334841351133,0.042826200530890327,0.04935682204059853,0.020915332053598395,0.03388038503657322,3.098792061751528,0.9157835722111031,3.864929801019064,1.976110984807832,1.4747321008315877,2.546996578089882,0.7928067270111343,3.2680098027787836,1.5833150232535338,1.0623753458214196
M2_RANDOM,6,0.05675060359359455,0.0752829620219636,0.03774509839770222,-0.0032010709036531413,-0.7920088824072925,-1.0970201095688334,2.4669388042536946,2.946143673978959,-0.5377970897944719,-1.0864813453479265,2.1946161473207253,2.755985417563601,0.11240347737910963,0.03712051535714602,0.0933979721832173,0.09659904308687044,0.055652873785515075,1.0109081601923868,2.1079282697612203,4.269855846853373,1.3237121728744143,1.8029170425996797,0.8751981195757541,1.9616794649236806,3.6076113566909513,0.8516259391273502,1.4129952093702258
M2_RANDOM,7,0.0005949456870448982,-0.020329851476204457,0.018707052129673402,0.03918090811537461,1.5369860818067054,1.5229422350859836,1.4987197084401478,2.553088610887863,1.6501695575862645,1.5662889497685775,1.2804267877513724,2.326745288287266,0.05117349062322574,0.0715033420994302,0.06928559706585424,0.03010468895047963,0.050578544936180844,3.8751126508866776,2.352170415800694,3.83684627752012,1.2837576666322565,2.3381265690799724,3.4998118832151293,1.9335229334465516,3.130069113380237,0.8033238250929713,1.8496423256288648
M2_RANDOM,8,0.01682565463375728,0.02520159623507672,0.0875528108228781,0.08311159887861164,1.1797259493212064,0.10201607355745512,0.9141074325199989,1.5068193650003976,1.1215056226003384,-0.07015404058070285,0.5510651961166013,1.0574761097269338,0.0439842518724214,0.018782655637344676,0.1147114080615422,0.03159980918293058,0.027158597238664116,4.000591950674742,3.898575877117286,3.7349734338735336,2.228154068873136,2.820866001353535,3.7812611222582424,3.8514151628389457,3.2108206957745056,2.1533445860475715,2.659755499657904
M2_RANDOM,9,0.06375031909073241,0.05853374327258726,0.008908135396543632,0.031404955283497946,1.2268555885872763,2.065916702706419,1.5894635232710805,1.9479524428660793,1.0925397696566521,1.6530814328054941,1.2413838729471665,1.7572360031751195,0.07883888164412947,0.020305138371542214,0.023996697949940693,-0.007408257333557255,0.01508856255339706,2.250495590705487,0.18457888799906802,2.613103525389291,0.6651510825232119,1.0236400021182106,1.6800246812650605,0.026943248459566325,1.828868784555575,0.07163278138045533,0.5874849116084085
