experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E10,node_unrelated_visual,node,unrelated_visual,0,0,seed00_fold00,279,50,83,2,4.9197540283203125,32.58926701545715,16.845878136200717,4.8357883123268195,False,-0.17144469916820526,5.106882572174072,4.4356489181518555,0.6649284362792969,0.6168069169032142,0.25,-0.07522351294755936,-0.0622709901129172,0.0,-0.01933402568101883,0.0,0.2,-0.07707194238901138,-0.0622709901129172,0.0
E10,node_unrelated_visual,node,unrelated_visual,0,1,seed00_fold01,279,50,83,36,4.336167812347412,52.436416149139404,16.842293906810035,4.845668698152689,False,0.1901511251926422,5.080350399017334,4.225477695465088,0.9059726595878601,0.7620293181778569,0.6666666666666666,0.13810378313064575,0.23260354763808094,0.0,0.16488195955753326,0.14285714285714288,0.2,0.1451883763074875,0.23260354763808094,0.0
E10,node_unrelated_visual,node,unrelated_visual,0,2,seed00_fold02,280,50,82,15,4.884040832519531,39.03641939163208,16.917857142857144,4.921204380130987,False,0.18204520642757416,4.655169486999512,3.939161777496338,0.8348414301872253,0.7383924109515807,0.5384615384615384,-0.0531964972615242,-0.010692292070876231,0.0,0.00382038950920105,0.09523809523809526,0.2,-0.04604030027985573,-0.010692292070876231,0.0
E10,node_unrelated_visual,node,unrelated_visual,0,3,seed00_fold03,280,50,82,40,4.2543721199035645,92.1782820224762,16.90714285714286,4.856360231065809,False,0.14903847873210907,5.331518650054932,4.313377380371094,0.91215980052948,0.762873315076492,0.6666666666666666,0.14979654550552368,0.2695845951788743,0.0,0.18983465433120728,0.14285714285714288,0.2,0.15512962639331818,0.2695845951788743,0.0
E10,node_unrelated_visual,node,unrelated_visual,0,4,seed00_fold04,280,50,82,19,4.83164644241333,61.762051582336426,16.8,5.010275156401806,False,0.27413836121559143,4.259134292602539,3.5229320526123047,0.860931932926178,0.7440107335016675,0.5384615384615384,0.1714114546775818,0.2852409873517827,0.0,0.2537209391593933,0.28571428571428575,0.2,0.17930269241333008,0.2852409873517827,0.0
E10,node_unrelated_visual,node,unrelated_visual,1,0,seed01_fold00,279,50,83,28,5.077617645263672,69.14080810546875,16.93548387096774,4.762020711139765,False,0.1907576620578766,5.056272029876709,4.365074634552002,0.8707112669944763,0.7567406038840417,0.6666666666666666,0.22756581008434296,0.32767055925003796,0.0,0.21732628345489502,0.261904761904762,0.2,0.230570986866951,0.32767055925003796,0.0
E10,node_unrelated_visual,node,unrelated_visual,1,1,seed01_fold01,279,50,83,33,3.838475227355957,77.09180212020874,16.620071684587813,4.945483294156645,False,0.020174577832221985,5.4957075119018555,4.766745567321777,0.9212622046470642,0.7622790214023051,0.6666666666666666,0.0946047455072403,0.16088378751204005,0.0,0.22057056427001953,0.2142857142857143,0.2,0.10845812410116196,0.16088378751204005,0.0
E10,node_unrelated_visual,node,unrelated_visual,1,2,seed01_fold02,280,50,82,2,5.047089099884033,52.02430510520935,16.932142857142857,4.8740239734615125,False,0.12243162840604782,4.86559534072876,4.046638011932373,0.7515989542007446,0.7033940070129069,0.17647058823529413,0.19283993542194366,0.2372530216773083,0.0,0.23707371950149536,0.261904761904762,0.2,0.19099508225917816,0.2372530216773083,0.0
E10,node_unrelated_visual,node,unrelated_visual,1,3,seed01_fold03,280,50,82,38,4.733694076538086,94.67332148551941,17.017857142857142,4.8531693305530155,False,0.21450434625148773,5.092274188995361,4.072183132171631,0.9017316102981567,0.7608557130229499,0.6666666666666666,0.18163631856441498,0.3106707637295977,0.0,0.2616771459579468,0.261904761904762,0.2,0.19006142020225525,0.3106707637295977,0.0
E10,node_unrelated_visual,node,unrelated_visual,1,4,seed01_fold04,280,50,82,6,4.904548645019531,52.124696254730225,16.867857142857144,4.953393755182153,False,0.03616287559270859,4.644758701324463,3.8680644035339355,0.8522415161132812,0.7417534163526548,0.42857142857142855,0.049880847334861755,0.14115223871613536,0.0,0.05699324607849121,0.09523809523809526,0.2,0.051300860941410065,0.14115223871613536,0.0
