method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,0,0,seed00_fold00,279,50,83,16,0.5,0.003,43,4.242682456970215,16323,26.72559881210327,cuda,False,0.2478227061762238,5.487735041040939,4.364313137100403,0.7353741131540161,0.6887913624471702,0.1111111111111111
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,0,0,seed00_fold00,279,50,83,16,0.5,0.003,43,4.466873645782471,16323,22.824976682662964,cuda,False,0.1477755418666297,5.638230351611814,4.589070572910539,0.6937926088046353,0.6990142124560837,0.1764705882352941
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,0,0,seed00_fold00,279,50,83,32,0.5,0.001,54,4.329541206359863,35203,30.288581371307373,cuda,False,0.2694919113881415,5.507152591490224,4.406050923358963,0.6431030432433975,0.7843155345404221,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,0,1,seed00_fold01,279,50,83,16,0.5,0.001,41,4.6364827156066895,16323,22.126430988311768,cuda,False,0.3900668020354404,4.689813812580306,3.930184536669628,0.7715129361681671,0.7018358588923496,0.1764705882352941
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,0,1,seed00_fold01,279,50,83,32,0.2,0.003,12,4.549123287200928,35203,23.11487340927124,cuda,False,0.4446756682409238,4.572529443272191,3.81624641188656,0.7486904194291457,0.7202140162117444,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,0,1,seed00_fold01,279,50,83,32,0.2,0.003,12,4.5558600425720215,35203,20.39664101600647,cuda,False,0.45259946879501006,4.562424106109078,3.8445567740015236,0.6443725153178008,0.7942874716487911,0.25
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,0,2,seed00_fold02,280,50,82,32,0.5,0.001,12,4.945258140563965,35203,19.59523630142212,cuda,False,0.23071367430619977,4.597411554011685,3.9244238806933893,0.8469692153871922,0.735985271867899,0.25
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,0,2,seed00_fold02,280,50,82,16,0.5,0.003,10,4.945744037628174,16323,17.767356157302856,cuda,False,0.26184228391898334,4.561693057267931,3.905853504087867,0.7386429776329551,0.7191303042176388,0.17647058823529413
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,0,2,seed00_fold02,280,50,82,32,0.2,0.001,15,4.937109470367432,35203,18.536760330200195,cuda,False,0.19628248213139965,4.722489352341094,3.9782765435009466,0.6818466556783732,0.8156767769961174,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,0,3,seed00_fold03,280,50,82,32,0.5,0.003,10,3.971587896347046,35203,20.38317632675171,cuda,False,0.3445027629599999,4.871931522758926,4.152015965159347,0.8159464042282563,0.7205036719521044,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,0,3,seed00_fold03,280,50,82,16,0.5,0.003,15,4.065991401672363,16323,19.802435159683228,cuda,False,0.3691198172520669,4.808788763143903,4.1102406687852815,0.7476195166217887,0.7212427934964715,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,0,3,seed00_fold03,280,50,82,16,0.5,0.003,15,4.047795295715332,16323,20.29018521308899,cuda,False,0.3713448248778839,4.8084457385256725,4.099592836891732,0.6452478146654682,0.787667704609234,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,0,4,seed00_fold04,280,50,82,32,0.5,0.003,10,4.3356170654296875,35203,19.75948143005371,cuda,False,0.22351608659516697,4.467780912637083,3.775244852391685,0.8050061542500327,0.7147455155963266,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,0,4,seed00_fold04,280,50,82,32,0.5,0.003,15,4.463423728942871,35203,20.164992809295654,cuda,False,0.18208874237369796,5.005908726646541,4.19635661055402,0.7111463510559444,0.7151700110778887,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,0,4,seed00_fold04,280,50,82,16,0.5,0.001,37,4.496188163757324,16323,21.070688009262085,cuda,False,0.15148577695807236,4.58219579349676,3.820961975469822,0.5587584202209177,0.7293430207972937,0.1111111111111111
