target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,matched,prod,FC,-0.028529031461877803,0,0
fluid_intelligence,matched,prod,SC,-0.011704172938269957,0,0
fluid_intelligence,matched,mean,FC,-0.0398695976221267,0,0
fluid_intelligence,matched,mean,SC,-0.012985349411313692,0,0
fluid_intelligence,matched,max,FC,-0.0343748031221595,0,0
fluid_intelligence,matched,max,SC,-0.014169597285656484,0,0
fluid_intelligence,matched,bridge,FC,-0.03429286003221387,0,0
fluid_intelligence,matched,bridge,SC,-0.0076531610593297585,0,0
fluid_intelligence,unrelated,prod,FC,-0.037262210099595926,0,0
fluid_intelligence,unrelated,prod,SC,-0.037728774722283885,0,0
fluid_intelligence,unrelated,mean,FC,-0.06397423633049759,0,0
fluid_intelligence,unrelated,mean,SC,-0.020066169334384095,0,0
fluid_intelligence,unrelated,max,FC,-0.06382360303661638,0,0
fluid_intelligence,unrelated,max,SC,-0.0006693382881073975,0,0
fluid_intelligence,unrelated,bridge,FC,-0.06882413182264535,0,0
fluid_intelligence,unrelated,bridge,SC,0.011446680741475777,0,0
fluid_intelligence,shuffled,prod,FC,-0.026609230470189732,0,0
fluid_intelligence,shuffled,prod,SC,-0.02070251601297034,0,0
fluid_intelligence,shuffled,mean,FC,-0.02691323484327557,0,0
fluid_intelligence,shuffled,mean,SC,-0.04257376942023329,0,0
fluid_intelligence,shuffled,max,FC,-0.02888037145632439,0,0
fluid_intelligence,shuffled,max,SC,-0.04748552877042575,0,0
fluid_intelligence,shuffled,bridge,FC,-0.012434933318845482,0,0
fluid_intelligence,shuffled,bridge,SC,-0.05084539303494674,0,0
fluid_intelligence,random,prod,FC,-0.040660261023256344,0,0
fluid_intelligence,random,prod,SC,-0.021206681833727495,0,0
fluid_intelligence,random,mean,FC,-0.03769183107909729,0,0
fluid_intelligence,random,mean,SC,-0.018391669858543822,0,0
fluid_intelligence,random,max,FC,-0.011712998796887645,0,0
fluid_intelligence,random,max,SC,-0.0067959193247049444,0,0
fluid_intelligence,random,bridge,FC,0.012498864441425298,0,0
fluid_intelligence,random,bridge,SC,0.009543970860296585,0,0
fluid_intelligence,matched,prod,FC,0.05594851240326935,0,1
fluid_intelligence,matched,prod,SC,-0.021808223960612057,0,1
