label,wilcoxon_p,mean_diff,ci_lo,ci_hi,effect_size,n_seeds,n_positive,median_delta,target,lifting,holm_p
unrelated,0.001953125,0.01017828250284723,0.008879221844214002,0.011435567524094662,4.917618899741179,10,10,0.010254387056295536,fluid_intelligence,prod,0.046875
shuffled,0.001953125,0.03160498543974852,0.02518806884526389,0.03826798330880875,3.073755742840804,10,10,0.027429944645259864,fluid_intelligence,prod,0.046875
random,0.001953125,0.01630693139662815,0.012052485910226965,0.02067895083939914,2.38561596091165,10,10,0.014801331005352813,fluid_intelligence,prod,0.046875
unrelated,0.001953125,0.006733526763908063,0.005140913608290763,0.00805390806335004,2.87452571299218,10,10,0.0072391486865917495,fluid_intelligence,mean,0.046875
shuffled,0.001953125,0.03705160378995452,0.030008760867857157,0.04454790731404294,3.179977780598988,10,10,0.032380004279152656,fluid_intelligence,mean,0.046875
random,0.00390625,0.009705014744787046,0.004983143652261307,0.014789823923696347,1.211790385336695,10,9,0.007208853885052616,fluid_intelligence,mean,0.046875
unrelated,0.013671875,-0.002239394572047289,-0.003608707119505788,-0.0009623454907407973,-1.0449191430334483,10,2,-0.002490377558904326,fluid_intelligence,max,0.08203125
shuffled,0.001953125,0.030499102498014442,0.024440088088493104,0.037110762665417484,2.9564162821951285,10,10,0.026472202163902774,fluid_intelligence,max,0.046875
random,0.845703125,-0.0006294081694555632,-0.0049972511463334335,0.00411197632064896,-0.08596186911807056,10,4,-0.0035974504086655,fluid_intelligence,max,1.0
unrelated,0.048828125,-0.0017689379055388181,-0.0032307316027310896,-0.0005098147968853415,-0.8046926243014676,10,2,-0.0011988627414886727,fluid_intelligence,bridge,0.244140625
shuffled,0.001953125,0.024447281698485583,0.02004580282245337,0.029268399344493476,3.3033215906850915,10,10,0.021551635275980127,fluid_intelligence,bridge,0.046875
random,0.00390625,-0.011893071645316913,-0.015203729081810589,-0.007915273781185098,-2.0526788475191364,10,1,-0.014407813529806083,fluid_intelligence,bridge,0.046875
unrelated,0.921875,0.00023590177067041307,-0.0031466514823154357,0.003463543237677471,0.04249018123259917,10,5,0.0007645578697148877,working_memory,prod,1.0
shuffled,0.001953125,0.03274280511597454,0.027070512325466273,0.03799025864735921,3.6516292882802794,10,10,0.033903076159886573,working_memory,prod,0.046875
random,0.001953125,0.025919523623035325,0.020244131251335163,0.030338884856383256,3.11104018397166,10,10,0.02922685429928057,working_memory,prod,0.046875
unrelated,0.130859375,0.0031205537967627104,-0.0001395284624463391,0.006372513611663027,0.5719704165943214,10,6,0.003650683781181203,working_memory,mean,0.5234375
shuffled,0.001953125,0.03619308063453281,0.03028649545432956,0.04193123006317645,3.7251585499901037,10,10,0.03770068411642214,working_memory,mean,0.046875
random,0.001953125,0.02920526009528952,0.023314116443344603,0.03399274414632727,3.320838253539723,10,10,0.033483253144642997,working_memory,mean,0.046875
unrelated,0.845703125,0.0006775296777659838,-0.0018144201019033156,0.0033450654663973126,0.15984563510188288,10,6,0.0003700162855007818,working_memory,max,1.0
shuffled,0.001953125,0.026993506805681307,0.022063330532532607,0.032352032277329267,3.1722499341470893,10,10,0.02687199635370745,working_memory,max,0.046875
random,0.001953125,0.026619640701427656,0.021050909151255022,0.03152335961607133,3.114245807947145,10,10,0.030291531201536236,working_memory,max,0.046875
unrelated,0.001953125,0.006424370398861512,0.0045157028439974135,0.008393281054690737,2.0832976043056215,10,10,0.005565799618891747,working_memory,bridge,0.046875
shuffled,0.001953125,0.024143334342406463,0.019797452005496433,0.028574874407953137,3.3561468454006103,10,10,0.02332329177163011,working_memory,bridge,0.046875
random,0.00390625,0.010039600409212217,0.006209092547961566,0.013694903784736508,1.6536209666190984,10,9,0.009733408843086154,working_memory,bridge,0.046875
