target,seed,fold,best_variant,variant,n_components,best_alpha,explained_variance,gamma,top_fraction
fluid_intelligence,0,0,pca_64,pca,64.0,10000.0,0.9440571245282077,,
fluid_intelligence,0,1,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,0,2,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,0,3,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,0,4,pca_8,pca,8.0,0.01,0.8125018641234041,,
fluid_intelligence,1,0,pca_32,pca,32.0,100.0,0.9113222668411182,,
fluid_intelligence,1,1,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,1,2,topk_0.1,topk,,10000.0,,,0.1
fluid_intelligence,1,3,weighted_1.0,weighted,,1000000.0,,1.0,
fluid_intelligence,1,4,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,2,0,pca_8,pca,8.0,100.0,0.8155750407436935,,
fluid_intelligence,2,1,pca_8,pca,8.0,10000.0,0.8118948981226106,,
fluid_intelligence,2,2,pca_32,pca,32.0,10000.0,0.9072672149452822,,
fluid_intelligence,2,3,pca_16,pca,16.0,100.0,0.8663432574514238,,
fluid_intelligence,2,4,topk_0.05,topk,,10000.0,,,0.05
fluid_intelligence,3,0,topk_0.05,topk,,10000.0,,,0.05
fluid_intelligence,3,1,pca_32,pca,32.0,10000.0,0.9071702504197042,,
fluid_intelligence,3,2,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,3,3,topk_0.05,topk,,10000.0,,,0.05
fluid_intelligence,3,4,weighted_1.0,weighted,,1000000.0,,1.0,
fluid_intelligence,4,0,topk_0.1,topk,,1000000.0,,,0.1
fluid_intelligence,4,1,topk_0.2,topk,,1000000.0,,,0.2
fluid_intelligence,4,2,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,4,3,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,4,4,topk_0.1,topk,,1000000.0,,,0.1
fluid_intelligence,5,0,pca_32,pca,32.0,1000000.0,0.9101429921881324,,
fluid_intelligence,5,1,topk_0.1,topk,,1000000.0,,,0.1
fluid_intelligence,5,2,weighted_0.5,weighted,,10000.0,,0.5,
fluid_intelligence,5,3,pca_8,pca,8.0,1000000.0,0.8164657079155591,,
fluid_intelligence,5,4,pca_64,pca,64.0,1000000.0,0.9412554858262897,,
fluid_intelligence,6,0,weighted_2.0,weighted,,1000000.0,,2.0,
fluid_intelligence,6,1,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,6,2,topk_0.05,topk,,10000.0,,,0.05
fluid_intelligence,6,3,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,6,4,pca_16,pca,16.0,10000.0,0.8657020203783647,,
fluid_intelligence,7,0,pca_8,pca,8.0,1000000.0,0.8189989314704006,,
fluid_intelligence,7,1,weighted_0.5,weighted,,1000000.0,,0.5,
fluid_intelligence,7,2,pca_16,pca,16.0,100.0,0.8621329438905516,,
