model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,selected_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_wm,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.2,0.001,11.0,61505.0,0.3232608887475441,4.278768229484229,3.38003754903035,79.0345151424408,2.3411202430725098,0.4261553287506103,,1.0,1.0,,,
llm_gated,llm_wm,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.2,0.001,10.0,61505.0,0.1719276216966287,5.077543391681519,4.236793851277914,79.39718747138977,2.438562393188477,0.5115095376968384,,0.25,0.25,,,
llm_gated,llm_wm,fluid_intelligence,0,2,seed00_fold02,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.1756821354231241,5.137983912307973,4.561921491855529,79.57396411895752,1.844715476036072,0.418392926454544,,1.0,1.0,,,
llm_gated,llm_wm,fluid_intelligence,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.224872310838076,4.638897213279781,3.9500776849141936,81.1507396697998,2.527674436569214,0.424670934677124,,1.0,1.0,,,
llm_gated,llm_wm,fluid_intelligence,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2873088757756609,4.923523479887967,4.117164542035359,82.24645471572876,1.8942807912826536,0.4592522978782654,,0.25,0.25,,,
llm_gated,llm_fluid,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.2,0.001,11.0,61505.0,0.3256050829559631,4.272094042316338,3.3727138013724822,87.12269473075867,2.1989588737487797,0.4509103298187256,,1.0,1.0,,,
llm_gated,llm_fluid,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.2,0.001,10.0,61505.0,0.1719634986397347,5.078270367614795,4.237692373344697,72.89278984069824,2.1499228477478027,0.4513758420944214,,0.25,0.25,,,
llm_gated,llm_fluid,fluid_intelligence,0,2,seed00_fold02,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.1773899046713367,5.136620981644268,4.559557379745856,74.80403399467468,2.227604389190674,0.4429460763931274,,1.0,1.0,,,
llm_gated,llm_fluid,fluid_intelligence,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2268538440675224,4.6362858397092666,3.948933357145728,68.61452889442444,2.2276499271392822,0.4405955076217651,,1.0,1.0,,,
llm_gated,llm_fluid,fluid_intelligence,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2867784438728491,4.924374676712063,4.117399204068068,82.16742968559265,1.72385573387146,0.4842254221439361,,0.25,0.25,,,
