model,prior,target,n_splits,pearson_mean,rmse_mean,mae_mean,I_XZ_final_mean,I_ZY_final_mean,probe_r2_final_mean,bypass_alpha_mean,selected_alpha_mean,pearson_std,rmse_std,mae_std,I_XZ_final_std,I_ZY_final_std,probe_r2_final_std,bypass_alpha_std,selected_alpha_std
llm_gated,llm_wm,fluid_intelligence,50,0.24484528215886894,4.999413481689194,4.11798706690844,2.2182203722000122,0.4222197976708412,,0.5,0.5,0.07756301806507115,0.35572660683360696,0.2621898100670832,0.29984147183796206,0.0985957360722303,,0.37115374447904514,0.37115374447904514
llm_gated,llm_wm,working_memory,50,0.1517235674137326,11.677793781629628,9.507955437803757,2.2212857007980347,0.36199872016906737,,0.45,0.45,0.09078217008043289,0.7136333186879448,0.6632406722431772,0.30480270002576315,0.08182406341324623,,0.3388154635894692,0.3388154635894692
llm_gated,llm_fluid,fluid_intelligence,50,0.24568593202395925,4.996715011812257,4.1151769072863065,2.2141842889785766,0.43304997980594634,,0.525,0.525,0.07951366962611733,0.3605886495484075,0.2632702091682861,0.2880990738632632,0.10779598125120171,,0.36509014821894414,0.36509014821894414
llm_gated,llm_fluid,working_memory,50,0.14730113316856616,11.755301271608152,9.56329692747714,2.1634877252578737,0.3659504193067551,,0.455,0.455,0.09049065569467599,0.7979151377051952,0.7150044491474773,0.25077669976701905,0.07529338076598116,,0.34511902708651526,0.34511902708651526
llm_gated,random_control,fluid_intelligence,50,0.2482832992551931,4.9740792184102345,4.113071836210369,2.1526982951164246,0.4226734611392021,,0.545,0.545,0.06841406000087531,0.3357791808826961,0.27232075764890507,0.3037692657849989,0.09957741935693135,,0.35959869923262494,0.35959869923262494
llm_gated,random_control,working_memory,50,0.14962601378622642,11.721210657520771,9.562395887203479,2.177432372570038,0.36390715271234514,,0.44,0.44,0.08766690342745416,0.7646173746708408,0.7216629604159479,0.27653884086048247,0.08133094326379325,,0.3333503397022296,0.3333503397022296
llm_gated,no_prior,fluid_intelligence,50,0.24994264464110255,4.988686023795297,4.109639701672312,2.2083388066291807,0.41007154881954194,,0.525,0.525,0.07809980713599868,0.3672336824826554,0.2756637607487155,0.2971117168246687,0.09792335514963814,,0.3685672757241124,0.3685672757241124
llm_gated,no_prior,working_memory,50,0.1489599176450025,11.720064843300904,9.55179775874799,2.218601884841919,0.3646066042780876,,0.47,0.47,0.09050962197741685,0.7609499251506705,0.7234691988342727,0.3194749954146861,0.07997354204876414,,0.3374574803147919,0.3374574803147919
ncr,llm_wm,fluid_intelligence,50,0.33959106039187353,4.666124843785338,3.920819571473485,0.24660557389259338,1.1219195367395878,,6.23,,0.08599839168096597,0.25048676450375074,0.24560338876327964,0.1110395342997423,0.6655437983468682,,23.97303119110714,
ncr,llm_wm,working_memory,50,0.22037296870927756,11.403467193925037,9.305734173981438,0.3598876762390137,0.8463010688871145,,41.96060000000001,,0.10086459928232083,0.7454639455119388,0.6775381088993939,0.20067457212552942,0.716717520203352,,197.68531696747388,
ncr,llm_fluid,fluid_intelligence,50,0.34448792224723657,4.6608519993860575,3.911910299626616,0.2479301470518112,1.142937555462122,,45.19,,0.08607763951774929,0.24907095586554434,0.25205422700467406,0.11148325041218109,0.703382489405856,,197.87774235210827,
ncr,llm_fluid,working_memory,50,0.21696791892359013,11.414485147089716,9.30733139698115,0.3640542396903038,0.8323587810993195,,6.3328,,0.10008226619852767,0.7589624740667225,0.6715264907034308,0.2010507165727672,0.7234162001749355,,20.800580156744257,
ncr,random_control,fluid_intelligence,50,0.34236883222930176,4.670343068470336,3.917498213720908,0.24546742290258408,1.1636996318399906,,23.57,,0.08427283725114296,0.2567956534425657,0.246914286625705,0.11119844364781363,0.7076355576922125,,141.7782837203705,
ncr,random_control,working_memory,50,0.22357945455207281,11.333235524870945,9.24489532242407,0.3442757326364517,0.8449553248286247,,8.780800000000001,,0.0991894051334805,0.7267188490329598,0.6270075146557736,0.19515826657243301,0.6667854855835703,,23.764953603049637,
ncr,no_prior,fluid_intelligence,50,0.34710194300968056,4.650470813788089,3.908465890909377,0.24473796278238297,1.136682491451502,,0.0,,0.08454447495475155,0.2480186434652458,0.24786248227113208,0.1114534088582597,0.6827142289956876,,0.0,
ncr,no_prior,working_memory,50,0.22315901033820404,11.351638661281664,9.267627652685304,0.36583799958229063,0.8198613016307355,,0.0,,0.1029046596260371,0.7569310547912061,0.6620853073473887,0.19918436693928185,0.7057306226579549,,0.0,
