model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_wm,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.5,0.001,14.0,61507.0,0.20966736885809634,4.370193038703912,3.5262635127607598,272.4600374698639,2.245604991912842,0.33991217613220215,,0.5022354125976562,,,
llm_gated,llm_wm,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.5,0.001,10.0,61507.0,0.2397768306288834,4.952546594987707,4.113222811595503,132.35865759849548,2.2254858016967773,0.3477226197719574,,0.5014735758304596,,,
llm_gated,llm_wm,fluid_intelligence,0,2,seed00_fold02,280,50,82,32.0,0.5,0.001,10.0,213123.0,0.17316783847185102,5.458816922477585,4.689975505921899,127.57646775245667,2.161640167236328,0.41254279017448425,,0.4997757822275162,,,
llm_gated,llm_wm,fluid_intelligence,0,3,seed00_fold03,280,50,82,32.0,0.2,0.001,18.0,213123.0,0.2870617328158346,4.8487045766065116,3.874801228686077,183.04683303833008,2.691112518310547,0.49593082070350647,,0.5006642937660217,,,
llm_gated,llm_wm,fluid_intelligence,0,4,seed00_fold04,280,50,82,32.0,0.5,0.003,10.0,213123.0,0.2919551488356499,4.948089955309394,4.090608782884551,129.88234782218933,2.1302578449249268,0.28000307083129883,,0.5008963048458099,,,
llm_gated,llm_wm,fluid_intelligence,1,0,seed01_fold00,279,50,83,32.0,0.2,0.003,16.0,213123.0,0.024565024617462156,5.596224809634094,4.429608448442206,167.98272395133972,2.240224599838257,0.4128323197364807,,0.5018803626298904,,,
llm_gated,llm_wm,fluid_intelligence,1,1,seed01_fold01,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.2582190899944461,4.711352260983722,4.040312089115741,130.9742832183838,1.8700919151306152,0.34758490324020386,,0.500287264585495,,,
llm_gated,llm_wm,fluid_intelligence,1,2,seed01_fold02,280,50,82,16.0,0.5,0.001,12.0,61507.0,0.3796090603555383,4.907709506509808,4.256053575655309,128.56971859931946,2.4930875301361084,0.5584993362426758,,0.5006180107593536,,,
llm_gated,llm_wm,fluid_intelligence,1,3,seed01_fold03,280,50,82,32.0,0.5,0.001,28.0,213123.0,0.11449352064656343,6.079230833727151,4.888269366287604,256.6870651245117,2.66365385055542,0.4384716749191284,,0.4973948001861572,,,
llm_gated,llm_wm,fluid_intelligence,1,4,seed01_fold04,280,50,82,16.0,0.2,0.001,26.0,61507.0,0.26240616386359134,5.314477444562876,4.194445447223942,242.68120670318604,1.979550838470459,0.5572171211242676,,0.500188335776329,,,
llm_gated,llm_wm,fluid_intelligence,2,0,seed02_fold00,279,50,83,32.0,0.5,0.001,11.0,213123.0,0.28700482300745117,5.062138180640175,4.254047129527632,170.98925137519836,2.3188424110412598,0.3376355767250061,,0.5004087686538696,,,
llm_gated,llm_wm,fluid_intelligence,2,1,seed02_fold01,279,50,83,16.0,0.5,0.003,18.0,61507.0,0.27289346897392186,5.208966463103526,4.235538034553987,170.48775386810303,1.421921730041504,0.5833341479301453,,0.4971414655447006,,,
llm_gated,llm_wm,fluid_intelligence,2,2,seed02_fold02,280,50,82,16.0,0.5,0.003,16.0,61507.0,0.20180285364827139,5.089089039273471,3.9707160926446683,205.52470135688782,2.2932796478271484,0.3961104154586792,,0.5017410814762115,,,
llm_gated,llm_wm,fluid_intelligence,2,3,seed02_fold03,280,50,82,16.0,0.5,0.001,13.0,61507.0,0.2995207297877853,4.951025884947215,4.092803210746951,130.6607723236084,2.259401798248291,0.3992420434951782,,0.4982614368200302,,,
llm_gated,llm_wm,fluid_intelligence,2,4,seed02_fold04,280,50,82,32.0,0.5,0.003,11.0,213123.0,0.3112762940673953,4.851450834821994,4.041879746972061,139.3704376220703,2.106600522994995,0.25351691246032715,,0.50080806016922,,,
llm_gated,llm_wm,fluid_intelligence,3,0,seed03_fold00,279,50,83,32.0,0.5,0.003,17.0,213123.0,0.3129022592099157,4.713010930474998,3.7166455625051475,159.48322200775146,2.1753828525543213,0.349020779132843,,0.5038607716560364,,,
llm_gated,llm_wm,fluid_intelligence,3,1,seed03_fold01,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.3217102897527776,4.577276895208453,3.6891570148697816,137.40491104125977,1.7386010885238647,0.5017074942588806,,0.49835672974586487,,,
llm_gated,llm_wm,fluid_intelligence,3,2,seed03_fold02,280,50,82,16.0,0.2,0.001,12.0,61507.0,0.19920606898241805,4.774075532479697,3.9409215043230756,141.32399702072144,1.8301751613616943,0.4103545546531677,,0.5025331377983093,,,
llm_gated,llm_wm,fluid_intelligence,3,3,seed03_fold03,280,50,82,32.0,0.2,0.003,11.0,213123.0,0.17516373955107478,5.478590251810928,4.356332627738395,133.1210286617279,1.8858786821365356,0.2930598855018616,,0.5017376244068146,,,
llm_gated,llm_wm,fluid_intelligence,3,4,seed03_fold04,280,50,82,16.0,0.5,0.003,18.0,61507.0,0.10977484948234768,5.550853071350666,4.531493954542206,365.335649728775,1.8370176553726196,0.4827686548233032,,0.49656035006046295,,,
