seed,fold,old_pearson,new_pearson,old_rmse,new_rmse,old_mae,new_mae,old_lambda_fc,new_lambda_fc,old_lambda_sc,new_lambda_sc,pearson_match
0,0,0.5020667556056946,0.5020667556056946,3.9393243309799537,3.9393243309799537,3.329612072655761,3.329612072655762,selected,100.0,selected,1.0,True
0,1,0.3097226754145518,0.3097226754145518,4.835542307210853,4.835542307210853,4.128836518923219,4.128836518923219,selected,100.0,selected,1.0,True
0,2,0.3251909690221242,0.3251909690221242,4.936238707160904,4.9362387071609035,4.258490448554925,4.258490448554926,selected,1.0,selected,0.1,True
0,3,0.179030274567526,0.17903027456752638,4.8077216044795765,4.807721604479576,4.122548322695392,4.1225483226953905,selected,0.1,selected,0.1,True
0,4,0.408007271852574,0.40049767098229183,4.742694093504634,4.715780299238411,3.91223358513859,3.7384506857852946,selected,0.1,selected,0.1,False
1,0,0.2252115255980416,0.2252115255980415,4.599411219652592,4.599411219652593,3.692833548280469,3.692833548280468,selected,1.0,selected,0.1,True
1,1,0.3371823623453578,0.3371823623453579,4.400290758729404,4.400290758729404,3.7393331474649294,3.7393331474649285,selected,100.0,selected,1.0,True
1,2,0.4592568464725645,0.45925684647256526,4.767850972716289,4.767850972716287,4.118207619817578,4.118207619817576,selected,1.0,selected,1.0,True
1,3,0.2444928339144532,0.24449283391445303,5.047779617739661,5.047779617739661,4.333162665230513,4.333162665230513,selected,1.0,selected,1.0,True
1,4,0.3337864586735329,0.33378645867353285,4.602716301758122,4.602716301758122,3.92388364473128,3.9238836447312795,selected,10.0,selected,1.0,True
2,0,0.401102464072879,0.39835692954943847,4.793346042779881,4.789712980351998,4.118076117508755,4.022003653287476,selected,0.1,selected,0.1,True
2,1,0.2342621858151325,0.23426218581513258,4.594605609150192,4.594605609150192,4.000367986333929,4.000367986333928,selected,10.0,selected,1.0,True
2,2,0.4165563693503632,0.41556676977504065,4.305488579384517,4.313034689672061,3.5771582372930704,3.5799445124887854,selected,0.01,selected,0.001,True
2,3,0.4792739412382425,0.47927394123824285,4.604481914562517,4.604481914562517,3.843144388733136,3.8431443887331347,selected,100.0,selected,1.0,True
2,4,0.3178261521924336,0.3178261521924337,4.604938509968244,4.604938509968244,3.965368928128241,3.965368928128241,selected,100.0,selected,1.0,True
