seed,fold,fip_alignment,fip_name,qwen_alignment,model
0,0,0.029884538574511867,FIP2_Bridge,,
0,1,0.025582026801506008,FIP2_Bridge,,
0,2,0.020500870656469033,FIP2_Bridge,,
0,3,0.025193829162901703,FIP1_MAC,,
0,4,0.041607336258947344,FIP1_MAC,,
1,0,0.022916933848254693,FIP1_MAC,,
1,1,0.047496967842582456,FIP1_MAC,,
1,2,0.003978579829725199,FIP1_MAC,,
1,3,0.04792973011079004,FIP2_Bridge,,
1,4,0.03853150265927309,FIP1_MAC,,
2,0,0.01249057564057484,FIP1_MAC,,
2,1,0.048400183914675224,FIP2_Bridge,,
2,2,0.033472366073667395,FIP1_MAC,,
2,3,0.02694960505528802,FIP2_Bridge,,
2,4,0.03911636424446729,FIP1_MAC,,
0,0,,,0.0870035095020682,Qwen_A3
0,1,,,0.0859137360085183,Qwen_A3
0,2,,,0.08059775453473998,Qwen_A3
0,3,,,0.15005864740591104,Qwen_A3
0,4,,,0.07062463850723937,Qwen_A3
1,0,,,0.08315334671448145,Qwen_A3
1,1,,,0.13418130483830312,Qwen_A3
1,2,,,0.07617051541865706,Qwen_A3
1,3,,,0.04362223634673851,Qwen_A3
1,4,,,0.135666405947577,Qwen_A3
2,0,,,0.11579224773005313,Qwen_A3
2,1,,,0.1051760855780614,Qwen_A3
2,2,,,0.08856660515347306,Qwen_A3
2,3,,,0.09382369871577581,Qwen_A3
2,4,,,0.07632649366812676,Qwen_A3
