seed,fold,old_train_hash,fip_train_hash,old_test_hash,fip_test_hash,train_identical,test_identical
0,0,646a62979fa1794e,646a62979fa1794e,c495aca788e51606,c495aca788e51606,True,True
0,1,973f4a7617e631c8,973f4a7617e631c8,90e70b9012c45db0,90e70b9012c45db0,True,True
0,2,0c16cb563a8d8ef0,0c16cb563a8d8ef0,c76787d4979b0f43,c76787d4979b0f43,True,True
0,3,39615b2d5b7d38ce,39615b2d5b7d38ce,a7cb044513eb8b0d,a7cb044513eb8b0d,True,True
0,4,1dce3737e4beb426,1dce3737e4beb426,a9a382aada2b0072,a9a382aada2b0072,True,True
1,0,04bd4f9bfcfb1f6c,04bd4f9bfcfb1f6c,a25826dea08270e9,a25826dea08270e9,True,True
1,1,c85228ffefbb5c7e,c85228ffefbb5c7e,eda3e5ba8e02b10c,eda3e5ba8e02b10c,True,True
1,2,f0f4175401211a14,f0f4175401211a14,2542bc2005d96a3d,2542bc2005d96a3d,True,True
1,3,4375cb5334b4cc47,4375cb5334b4cc47,3a625706f42b0f7d,3a625706f42b0f7d,True,True
1,4,f5438964d51a1499,f5438964d51a1499,1a2ac580ef7efddb,1a2ac580ef7efddb,True,True
2,0,3b55c71227bcaf40,3b55c71227bcaf40,806a62742a455d6c,806a62742a455d6c,True,True
2,1,c8de3fee4f89f1b9,c8de3fee4f89f1b9,2b21c26155b89b08,2b21c26155b89b08,True,True
2,2,8835ac5efe2bec42,8835ac5efe2bec42,8e488c2020cc41b6,8e488c2020cc41b6,True,True
2,3,f223dc5d15c809e2,f223dc5d15c809e2,b0b9913bbdbf4a9c,b0b9913bbdbf4a9c,True,True
2,4,71fe293bb4153211,71fe293bb4153211,c8b1491b7930e55b,c8b1491b7930e55b,True,True
