edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
0,0,1,-0.3305492568492336,0.602021128197741,2.910132733330166,0.0,-2.910132733330166
1,0,2,0.0,0.0,-2.9920429806140705,-6.622217400129764,-3.6301744195156935
2,0,3,1.0566955763749575,0.2487203305576554,4.224843364422702,1.805181803938508,-2.419661560484194
3,0,4,0.0,0.0,-5.084731407047487,-6.622217400129764,-1.5374859930822775
4,0,5,0.0,0.0,-5.394544580229262,-7.314699120584546,-1.9201545403552842
5,0,6,0.0,0.0,-2.54286837798855,-6.622217400129764,-4.079349022141214
6,0,7,1.0566955763749575,0.2487203305576554,6.15147267031541,1.805181803938508,-4.346290866376902
7,0,8,0.0,0.0,-4.358249078576198,-7.314699120584546,-2.956450042008348
8,0,9,0.0,0.0,-3.6276302131140357,-6.622217400129764,-2.9945871870157283
9,0,10,-0.35992907670421426,0.5746877950472471,-4.491076403033706,-7.719942310213005,-3.2288659071793
10,0,11,0.8342333497697034,0.4941571885252923,5.079754110802366,1.5176107091972415,-3.5621434016051245
11,0,12,1.4145636423476746,0.4564828573073058,4.837631678005315,1.651248307547278,-3.186383370458037
12,0,13,-0.1668466699539407,0.4074924567896079,-3.935387196197312,-7.314699120584546,-3.379311924387234
13,0,14,-0.11123111330262714,0.3423621429804794,3.6825588908086884,0.0,-3.6825588908086884
14,0,15,0.0,0.0,-3.157519985812825,-7.314699120584546,-4.157179134771721
15,0,16,1.001080019723644,0.3423621429804794,4.571995355005274,1.805181803938508,-2.766813551066767
16,0,17,1.1123111330262712,2.278129578503827e-16,5.463454355188111,2.210424993566967,-3.2530293616211443
17,0,18,-0.5267757466581549,0.6081848923991809,-4.6188413288872425,-6.622217400129764,-2.003376071242522
18,0,19,-0.11123111330262714,0.34236214298047946,4.370917490367365,0.0,-4.370917490367365
19,0,20,0.0,0.0,-3.840139681789276,-7.314699120584546,-3.47455943879527
20,0,21,0.0,0.0,2.8939662205808387,0.0,-2.8939662205808387
21,0,22,-0.13746685009896004,0.4315911231924982,-5.553038987786188,-7.314699120584546,-1.761660132798358
22,0,23,0.0,0.0,-4.134418178090308,-6.622217400129764,-2.487799222039456
23,0,24,0.0,0.0,-2.275047160012239,-6.622217400129764,-4.347170240117525
24,0,25,0.0,0.0,-6.088161267125042,-7.314699120584546,-1.2265378534595048
25,0,26,0.0,0.0,2.1767846617377122,0.0,-2.1767846617377122
26,0,27,0.0,0.0,1.557825414423144,0.0,-1.557825414423144
27,0,28,1.1123111330262712,2.278129578503827e-16,6.760224303952867,1.805181803938508,-4.955042500014359
28,0,29,0.0,0.0,-2.773046618729766,-7.314699120584546,-4.54165250185478
29,0,30,0.0,0.0,-3.3436864237248267,-6.622217400129764,-3.2785309764049373
