prior_a,prior_b,pearson,spearman,cosine,jaccard_top10,jaccard_top20
FIP-1,FIP-2,0.9732825857651457,0.9925202861377963,0.9826932861773361,0.7552631578947369,0.8438147892190739
FIP-1,FIP-3,0.9112707517122594,0.9893422412203677,0.9438439140254534,0.6737766624843162,0.8224043715846995
FIP-1,Qwen_Fluid,-0.053761988103838636,-0.11844453005255218,0.3125867071799877,0.06891025641025642,0.1024793388429752
FIP-1,Qwen_WM,-0.031189906233078105,-0.14976425596106738,0.31729179482662323,0.08986928104575163,0.11445279866332497
FIP-2,FIP-3,0.9057130693373422,0.9938894918089578,0.939279648687105,0.793010752688172,0.9403636363636364
FIP-2,Qwen_Fluid,-0.0669185312053169,-0.12131297174578516,0.2988730126208188,0.055379746835443035,0.09749074454956808
FIP-2,Qwen_WM,-0.043016743520649305,-0.148445540397722,0.3045886524525983,0.08367181153533712,0.11074104912572856
FIP-3,Qwen_Fluid,-0.09846573811182083,-0.12017119756464273,0.3176949686689216,0.056215360253365,0.09794238683127572
FIP-3,Qwen_WM,-0.07269045623239484,-0.14633041720265505,0.32238832109545174,0.08103727714748785,0.1112036651395252
Qwen_Fluid,Qwen_WM,0.7464960484514507,0.7777831354716966,0.8292741272574227,0.41164021164021164,0.4571272528672856
