set,study_id,n_peaks
fluid,11516443,69
fluid,11549618,43
fluid,11950765,20
fluid,14561442,19
fluid,15238433,11
fluid,15850735,3
fluid,15852469,60
fluid,15994098,75
fluid,16443204,22
fluid,17320049,32
fluid,17331743,11
fluid,17376703,16
fluid,17658690,17
fluid,18095280,11
fluid,18252743,28
fluid,18835075,50
fluid,18835284,14
fluid,18996100,51
fluid,19110014,41
fluid,19383937,7
fluid,19523967,26
fluid,19530215,255
fluid,19549622,19
fluid,20302951,15
fluid,20362598,6
fluid,20423699,12
fluid,20483908,64
fluid,20493956,15
fluid,20537619,11
fluid,20869452,116
fluid,20877464,50
fluid,21195194,33
fluid,21296864,27
fluid,21406238,72
fluid,21415916,13
fluid,21463696,89
fluid,21613489,83
fluid,21684531,15
fluid,21888981,15
fluid,21982934,3
fluid,22076840,7
fluid,22119647,75
fluid,22300812,28
fluid,22301351,14
fluid,22440654,19
fluid,22565203,10
fluid,22569187,55
fluid,22613230,5
fluid,22912831,35
fluid,23482628,20
fluid,23624492,5
fluid,24236763,155
fluid,24384151,147
fluid,24667491,24
fluid,24747514,14
fluid,24841995,26
fluid,25108823,41
fluid,25110231,32
fluid,25321487,6
fluid,25331605,8
fluid,25447072,31
fluid,25498406,36
fluid,25539045,32
fluid,25798328,71
fluid,25833189,24
fluid,26555341,1
fluid,26594629,204
fluid,27150704,59
fluid,27979789,43
fluid,28562207,42
fluid,28760864,63
fluid,28935240,12
fluid,29486001,213
background,9084599,87
background,9114263,340
background,9256495,84
background,9391021,72
background,9412517,4
background,9465007,120
background,9620697,122
background,9636217,86
background,9714705,92
background,9787003,112
background,9808463,112
background,9990082,16
background,10022492,17
background,10022496,72
background,10197540,73
background,10234026,60
background,10349031,99
background,10356062,16
background,10376114,18
background,10388802,62
background,10402199,59
background,10407201,19
background,10450888,23
background,10450889,9
background,10554989,15
background,10554992,35
background,10557338,1
background,10561425,56
background,10639391,4
background,10639399,1
background,10648437,26
background,10651872,14
background,10666559,30
background,10669519,33
background,10680764,36
background,10683393,62
background,10686176,1
background,10689056,34
background,10712490,19
background,10717412,16
background,10725372,6
background,10729350,75
background,10805701,18
background,10805707,31
background,10808134,14
background,10847597,57
background,10858628,1
background,10859136,40
background,10861020,5
background,10863028,8
background,10865104,50
background,10865107,12
background,10869575,2
background,10900023,9
background,10906317,31
background,10908189,19
background,10908192,17
background,10908201,266
background,10912590,19
background,10920049,16
background,10978692,40
background,10978709,15
background,10980036,4
background,10982747,15
background,10982748,19
background,10982749,62
background,10998123,11
background,11018487,9
background,11050027,46
background,11087002,8
background,11099827,9
background,11110829,13
background,11113035,43
background,11113036,29
background,11113037,44
background,11114477,5
background,11157567,19
background,11163281,36
background,11163282,38
background,11163369,4
background,11163375,60
background,11167053,37
background,11167061,12
background,11182099,21
background,11208666,98
background,11230093,26
background,11231095,46
background,11240107,13
background,11240114,167
background,11257281,38
background,11275483,17
background,11287664,17
background,11295369,77
background,11297824,47
background,11313034,66
background,11313293,8
background,11322985,8
background,11322986,3
background,11353732,46
background,11430815,26
background,11438601,16
background,11459760,114
background,11459886,59
background,11463481,1
background,11516444,62
background,11532885,44
background,11549617,9
background,11553776,45
background,11556898,8
background,11566313,16
background,11576194,27
background,11580903,66
background,11587893,83
background,11590110,31
background,11590114,13
background,11595262,78
background,11595392,2
background,11600656,65
background,11600661,3
background,11606687,18
background,11682336,16
background,11689307,16
background,11698132,40
background,11698133,14
background,11698604,12
background,11728837,17
background,11739262,25
background,11739265,17
background,11784801,63
background,11796770,9
background,11832233,110
background,11834598,173
background,11835600,11
background,11835601,20
background,11839600,11
background,11839605,45
background,11844728,40
background,11844731,10
background,11860517,26
background,11872243,8
background,11884351,25
background,11900732,18
background,11900744,60
background,11904454,16
background,11919005,8
background,11923438,32
background,11931748,31
background,11931928,9
background,11950516,36
background,11958958,5
background,11983183,7
background,12050089,8
background,12062028,8
background,12062047,31
background,12063136,20
background,12067697,41
background,12067701,150
background,12077007,31
background,12077008,17
background,12077009,119
background,12091573,21
background,12091578,18
background,12098499,2
background,12122033,25
background,12122035,38
background,12133565,22
background,12147314,26
background,12160754,77
background,12163553,19
background,12165478,14
background,12208009,6
background,12244209,4
background,12354405,8
background,12364527,60
background,12372029,42
background,12372290,19
background,12372291,21
background,12379600,11
background,12379601,26
background,12388609,48
background,12397138,421
background,12399015,26
background,12408855,31
background,12421659,15
background,12426034,3
background,12429600,7
background,12433382,64
background,12441063,14
background,12454910,44
background,12457755,34
background,12457760,102
background,12457762,225
background,12457763,63
background,12477703,3
background,12477708,49
background,12493600,12
background,12527103,167
background,12538399,30
background,12546829,15
background,12559652,29
background,12559653,21
background,12566286,4
background,12574475,57
background,12589883,35
background,12589891,18
background,12589893,14
background,12595179,81
background,12595185,7
background,12595196,35
background,12595197,20
background,12595201,45
background,12598634,67
background,12599272,65
background,12599275,26
background,12599280,36
background,12599282,13
background,12611944,18
background,12615644,5
background,12615645,144
background,12649315,43
background,12657700,26
background,12662974,70
background,12663093,12
background,12667840,16
background,12667855,71
background,12668228,23
background,12668235,28
background,12668238,43
background,12679294,19
background,12679295,20
background,12681347,13
background,12713652,24
background,12716950,21
background,12716951,10
background,12725759,16
background,12725760,2
background,12725767,26
background,12725769,6
background,12731102,68
background,12738340,50
background,12738341,57
background,12757906,6
background,12763188,68
background,12763191,26
background,12763194,20
background,12764119,32
background,12773616,16
background,12773617,7
background,12805112,17
background,12805116,120
background,12809978,19
background,12809980,26
background,12811733,35
background,12812834,29
background,12814583,16
background,12814586,24
background,12816895,4
background,12821520,27
background,12843284,8
background,12850551,17
background,12850560,8
background,12873392,29
background,12873752,21
background,12873805,36
background,12875920,17
background,12880781,19
background,12880783,85
background,12880792,17
background,12880805,56
background,12880808,81
background,12880816,3
background,12880825,8
background,12880846,16
background,12880904,408
background,12880907,24
background,12880918,17
background,12887991,8
background,12893421,27
background,12902031,10
background,12902389,8
background,12917383,52
background,12928105,9
background,12948697,10
background,12948698,12
background,12948705,17
background,12948707,77
background,12948709,48
background,12948716,31
background,12948727,10
background,12953303,9
background,12958209,16
background,12960369,8
background,12961051,16
background,12967919,110
background,12972367,53
background,14511835,11
background,14523078,42
background,14527570,26
background,14527579,27
background,14527602,18
background,14561452,20
background,14568446,127
background,14568448,71
background,14568451,29
background,14568456,37
background,14568457,13
background,14568474,24
background,14568502,21
background,14574427,9
background,14597297,21
background,14607172,6
background,14607785,21
background,14615297,26
background,14615298,17
background,14615300,14
background,14615433,114
background,14625149,6
background,14627638,26
background,14642464,17
background,14642477,168
background,14642482,46
background,14643096,7
background,14652104,1
background,14659494,5
background,14659501,21
background,14673803,68
background,14680768,28
background,14681333,130
background,14683699,19
background,14683700,58
background,14683701,31
background,14683720,6
background,14683724,41
background,14683727,45
background,14684855,28
background,14689506,71
background,14728916,5
background,14736575,35
background,14736578,18
background,14741110,1
background,14741637,159
background,14741643,6
background,14741652,7
background,14741655,27
background,14741670,7
background,14741672,23
background,14741678,12
background,14754865,16
background,14755836,4
background,14755837,29
background,14755839,13
background,14759627,5
background,14761902,22
background,14980562,23
background,14980564,15
background,14980565,43
background,14980575,9
background,14980580,11
background,14984425,8
background,15003179,6
background,15006649,84
background,15006652,165
background,15006656,121
background,15006661,8
background,15006672,58
background,15006679,3
background,15006685,33
background,15010234,7
background,15013829,35
background,15014131,36
background,15023577,15
background,15028641,78
background,15046728,38
background,15050550,35
background,15050566,36
background,15050567,61
background,15050570,12
background,15050583,28
background,15050589,3
background,15050590,5
background,15050601,4
background,15050725,2
background,15050866,16
background,15053955,65
background,15054055,74
background,15054061,33
background,15054067,63
background,15056686,28
background,15069021,9
background,15078568,210
background,15078569,40
background,15083527,24
background,15084491,80
background,15091345,43
background,15099600,7
background,15102910,41
background,15110005,22
background,15110011,38
background,15110018,24
background,15110021,11
background,15128414,9
background,15130591,18
background,15130592,56
background,15135157,6
background,15140927,23
background,15142955,47
background,15142959,48
background,15142962,13
background,15157428,15
background,15163682,13
background,15166100,4
background,15166105,14
background,15177789,5
background,15182320,81
background,15183391,29
background,15183394,99
background,15190112,32
background,15192010,11
background,15193581,39
background,15193582,58
background,15193597,17
background,15193611,8
background,15193617,54
background,15193622,30
background,15193632,5
background,15195287,36
background,15202106,5
background,15202110,11
background,15205869,39
background,15210952,10
background,15217896,7
background,15219581,54
background,15219590,35
background,15219608,36
background,15221201,23
background,15238446,15
background,15246450,12
background,15268927,28
background,15271588,31
background,15275903,38
background,15275908,36
background,15275916,26
background,15275919,58
background,15275933,33
background,15275937,170
background,15281140,49
background,15297367,11
background,15313521,35
background,15325385,24
background,15325411,26
background,15336514,129
background,15342438,28
background,15381748,20
background,15449357,20
background,15455462,11
background,15459076,42
background,15464352,24
background,15468121,78
background,15469927,29
background,15476691,8
background,15488401,31
background,15488417,192
background,15496671,14
background,15528087,3
background,15528092,10
background,15528095,39
background,15528101,14
background,15537676,26
background,15543554,74
background,15548658,15
background,15561477,11
background,15563723,46
background,15563726,71
background,15563729,214
background,15564587,13
background,15578167,69
background,15579169,34
background,15588605,10
background,15589103,21
background,15589105,13
background,15590917,29
background,15593269,21
background,15607991,70
background,15616129,26
background,15616133,28
background,15627576,24
background,15627588,58
background,15652310,63
background,15664795,1
background,15670688,57
background,15673452,8
background,15673663,9
background,15689519,25
background,15689557,30
background,15694331,46
background,15703246,20
background,15703253,11
background,15703256,7
background,15703258,13
background,15703387,35
background,15704151,7
background,15705612,11
background,15705615,65
background,15708643,11
background,15716157,100
background,15716399,58
background,15716469,66
background,15721179,20
background,15722208,37
background,15722209,206
background,15722212,25
background,15728652,164
background,15734344,17
background,15734345,153
background,15734349,34
background,15734350,59
background,15734360,116
background,15737657,17
background,15746001,37
background,15758195,143
background,15772360,46
background,15780849,11
background,15784423,30
background,15784428,10
background,15784430,26
background,15784437,20
background,15784438,36
background,15800024,6
background,15800201,7
background,15808968,10
background,15808988,7
background,15808990,70
background,15808991,122
background,15808999,14
background,15809000,171
background,15817169,105
background,15820646,13
background,15846769,58
background,15846772,1
background,15849713,60
background,15850734,13
background,15850739,81
background,15850740,38
background,15852379,9
background,15852385,64
background,15852388,14
background,15852471,15
background,15854792,16
background,15858164,282
background,15862214,24
background,15862217,11
background,15862222,9
background,15862227,7
background,15862229,11
background,15869491,25
background,15869492,103
background,15872107,65
background,15878673,8
background,15885507,135
background,15886022,35
background,15890534,52
background,15893941,55
background,15893942,78
background,15901646,71
background,15907304,26
background,15907308,52
background,15908119,16
background,15919215,65
background,15922162,17
background,15924867,57
background,15927485,17
background,15929098,7
background,15930371,21
background,15930384,37
background,15930389,12
background,15935259,44
background,15935261,40
background,15936178,30
background,15946863,81
background,15947065,98
background,15949998,14
background,15950492,328
background,15953423,58
background,15953559,6
background,15953711,65
background,15955475,38
background,15955482,15
background,15955488,150
background,15955493,33
background,15961049,69
background,15961050,31
background,15961322,86
background,15964209,35
background,15966001,107
background,15970381,44
background,15978843,29
background,15978846,83
background,15982902,50
background,15989934,13
background,15992522,38
background,15993537,6
background,15993624,23
background,15993630,18
background,16000632,51
background,16001111,29
background,16001441,30
background,16002029,1
background,16005247,206
background,16014866,8
background,16023041,14
background,16029213,79
background,16034570,68
background,16035045,20
background,16038685,5
background,16038950,20
background,16045505,16
background,16046149,318
background,16051283,15
background,16051501,10
background,16054842,8
background,16055310,17
background,16055351,37
background,16076549,80
background,16078183,20
background,16079408,23
background,16080162,62
background,16081255,1
background,16084738,30
background,16084739,48
background,16084858,21
background,16093315,19
background,16095920,60
background,16099355,107
background,16108017,50
background,16111898,2
background,16112148,90
background,16112877,66
