seed,prior_type,pearson,rmse,mae
0,matched,0.37970650443969045,4.523656055271728,3.769359025138141
0,random,0.3740212181684096,4.537089947460818,3.7805586153239075
0,shuffled,0.3774015132273008,4.528856534309632,3.776184057135442
0,unrelated,0.3783040406591462,4.526658970587951,3.7692141203979252
1,matched,0.3480045465437692,4.628438089344731,3.885647415491961
1,random,0.3433137894199941,4.635103671732419,3.894092173503567
1,shuffled,0.34162341747845437,4.63395731363052,3.901797055386558
1,unrelated,0.34862115399094984,4.6301813202482025,3.8877085205020476
2,matched,0.4100848861312888,4.488513396870225,3.7826669939374886
2,random,0.4044698222307888,4.502701469106805,3.793299663050327
2,shuffled,0.40241566887255004,4.507311655872149,3.8040005518131776
2,unrelated,0.40678284724323016,4.495557022786055,3.78944723361744
3,matched,0.34868718734816817,4.595094612331538,3.800293892944775
3,random,0.3542287426419527,4.5846512272537385,3.7892060278729547
3,shuffled,0.3494796095717749,4.592307994260038,3.800614858900245
3,unrelated,0.34882043734603735,4.596017709255667,3.800832854386173
4,matched,0.33253907936385996,4.674428718444407,3.8851123247255117
4,random,0.3288550571416338,4.678315763399904,3.886952378617322
4,shuffled,0.32868943467015904,4.6765593585033045,3.893578534669144
4,unrelated,0.3274938736006279,4.6851877604853325,3.8896695396498004
5,matched,0.3621956792691069,4.5854997478063,3.7966264472316795
5,random,0.3597406760240064,4.589439497381056,3.801416699310842
5,shuffled,0.35982250953795203,4.58376705680349,3.80569133710283
5,unrelated,0.36123296399275845,4.588510211779321,3.8006308805661617
6,matched,0.38693474519446225,4.5020282223445305,3.748784405214262
6,random,0.37537044172348377,4.532614537948111,3.775466760725841
6,shuffled,0.3911567103613833,4.499041491417502,3.755050524676215
6,unrelated,0.38665521562890287,4.5048724797695625,3.7515539814480157
7,matched,0.35684337434318614,4.577796564832775,3.794623769101335
7,random,0.35102036028808203,4.583461673655888,3.8022908595730973
7,shuffled,0.35884252063240074,4.563287987502006,3.7955998269914146
7,unrelated,0.35484129728545905,4.5814755497399915,3.7953424623029
8,matched,0.35796522080496856,4.603533439232948,3.7984426141488967
8,random,0.3559464810267902,4.606013284341293,3.8029421547035263
8,shuffled,0.35941293341738295,4.598886970499587,3.80326591306052
8,unrelated,0.3613265480442679,4.595029355588748,3.7905820568277546
9,matched,0.4172981960368869,4.489401354685354,3.718417983141298
9,random,0.41946272168471577,4.485870156607889,3.7143543004493376
9,shuffled,0.42462051386231814,4.477690404041655,3.699200624683416
9,unrelated,0.42530021340321394,4.4686797646585115,3.697285681232561
