seed,model,pearson
0,A4,0.31945286233595166
0,LF0,0.3617271702038168
0,LF1,0.37970650443969045
1,A4,0.30152104377468086
1,LF0,0.3268680595794435
1,LF1,0.3480045465437692
2,A4,0.34958924044128203
2,LF0,0.4012801752803573
2,LF1,0.4100848861312888
3,A4,0.2960197857096155
3,LF0,0.33963660421855246
3,LF1,0.34868718734816817
4,A4,0.3484405564365566
4,LF0,0.338036558650672
4,LF1,0.33253907936385996
5,A4,0.31062166320087625
5,LF0,0.348100487547259
5,LF1,0.3621956792691069
6,A4,0.32888441540472935
6,LF0,0.3716428771901418
6,LF1,0.38693474519446225
7,A4,0.2917567182910886
7,LF0,0.34496402535533205
7,LF1,0.35684337434318614
8,A4,0.3071565876662922
8,LF0,0.3601145984920473
8,LF1,0.35796522080496856
9,A4,0.3709207110671561
9,LF0,0.4284274415463335
9,LF1,0.4172981960368869
