seed,fold,model,pearson
0,0,LF0,0.4649761292338065
0,0,LF1,0.5068562904526167
0,0,A4,0.3771230840647171
0,1,LF0,0.3511226532708102
0,1,LF1,0.3689529294778181
0,1,A4,0.350423491103006
0,2,LF0,0.3285498507861031
0,2,LF1,0.33051830412783134
0,2,A4,0.28135895769248737
0,3,LF0,0.2135331241958624
0,3,LF1,0.22756558466653715
0,3,A4,0.1715084520391163
0,4,LF0,0.45045409353250154
0,4,LF1,0.46463941347364884
0,4,A4,0.4168503267804315
1,0,LF0,0.26989064295454424
1,0,LF1,0.2703467731788337
1,0,A4,0.30126606595288924
1,1,LF0,0.40628830594911686
1,1,LF1,0.3825843691252191
1,1,A4,0.3691178828872468
1,2,LF0,0.38804473255042726
1,2,LF1,0.4520422123898718
1,2,A4,0.3540440524502408
1,3,LF0,0.29231151079855244
1,3,LF1,0.28331564139356413
1,3,A4,0.29231151079855244
1,4,LF0,0.2778051056445768
1,4,LF1,0.3517337366313573
1,4,A4,0.19086570678447518
2,0,LF0,0.45606804533330014
2,0,LF1,0.4548573823926859
2,0,A4,0.3959183360940848
2,1,LF0,0.31015129925694307
2,1,LF1,0.3224290543571169
2,1,A4,0.2768611435853413
2,2,LF0,0.4169984672151114
2,2,LF1,0.43574407373714596
2,2,A4,0.31648585444681476
2,3,LF0,0.45983561834196096
2,3,LF1,0.4709397094838847
2,3,A4,0.456534374628647
2,4,LF0,0.3633474462544707
2,4,LF1,0.36645421068561046
2,4,A4,0.30214649345152245
3,0,LF0,0.1906226083614933
3,0,LF1,0.20692020050719995
3,0,A4,0.12419373495937092
3,1,LF0,0.36143665697049765
3,1,LF1,0.37659732077760616
3,1,A4,0.29685194127500003
3,2,LF0,0.4125003396084105
3,2,LF1,0.4130150082288935
3,2,A4,0.37232731715589656
3,3,LF0,0.45331651305697207
3,3,LF1,0.465203196704359
3,3,A4,0.4174179834504059
3,4,LF0,0.28030690309538897
3,4,LF1,0.2817002105227824
3,4,A4,0.26930795170740396
4,0,LF0,0.3806604755031412
4,0,LF1,0.387937264890535
4,0,A4,0.3070626112890559
4,1,LF0,0.2574042066370174
4,1,LF1,0.2623569708978686
4,1,A4,0.2574042066370174
4,2,LF0,0.37195140967231655
4,2,LF1,0.3550561323633974
4,2,A4,0.3446651797698004
4,3,LF0,0.228817611988479
4,3,LF1,0.228817611988479
4,3,A4,0.39222845117901917
4,4,LF0,0.4513490894524059
4,4,LF1,0.4285274166790197
4,4,A4,0.4408423333078899
5,0,LF0,0.30702124414451104
5,0,LF1,0.31703552964636944
5,0,A4,0.29706785202659136
5,1,LF0,0.37735559484783604
5,1,LF1,0.3802504701443622
5,1,A4,0.3176555638779531
5,2,LF0,0.4297086137021642
5,2,LF1,0.4290493549613205
5,2,A4,0.3330611436240842
5,3,LF0,0.42346684262295425
5,3,LF1,0.4387322145546775
5,3,A4,0.3577230917426376
5,4,LF0,0.20295014241882925
5,4,LF1,0.2459108270388048
5,4,A4,0.24760066473311515
6,0,LF0,0.3184529692332192
6,0,LF1,0.3441212463921051
6,0,A4,0.2702683575772317
6,1,LF0,0.44751389094337013
6,1,LF1,0.4465388549250541
6,1,A4,0.4395841207839855
6,2,LF0,0.293719032585494
6,2,LF1,0.3072733493107062
6,2,A4,0.2668084082777997
6,3,LF0,0.41038322364207613
6,3,LF1,0.4415659076916765
6,3,A4,0.3479970945621556
6,4,LF0,0.38814526954654954
6,4,LF1,0.3951743676527695
6,4,A4,0.31976409582247434
7,0,LF0,0.2880682727650958
7,0,LF1,0.34656406444486754
7,0,A4,0.21447998502952811
7,1,LF0,0.4607018045522272
7,1,LF1,0.45610266889908413
7,1,A4,0.3633515757535194
7,2,LF0,0.3142677046027328
7,2,LF1,0.33091641657229187
7,2,A4,0.22767092813162404
7,3,LF0,0.3430800613642542
7,3,LF1,0.35012760572639273
7,3,A4,0.28587362714637476
7,4,LF0,0.3187022834923503
7,4,LF1,0.3005061160732944
7,4,A4,0.36740747539439683
8,0,LF0,0.34934297653165647
8,0,LF1,0.3828090983158329
8,0,A4,0.2606125462869464
8,1,LF0,0.38280816553306446
8,1,LF1,0.3758504161078512
8,1,A4,0.3087248372367444
8,2,LF0,0.45354113718256395
8,2,LF1,0.41056994429167837
8,2,A4,0.4236902923945174
8,3,LF0,0.22485728693921592
8,3,LF1,0.22578786453589966
8,3,A4,0.16883837666164847
8,4,LF0,0.3900234262737357
8,4,LF1,0.3948087807735807
8,4,A4,0.3739168857516044
9,0,LF0,0.5223249010246889
9,0,LF1,0.4886739594954921
9,0,A4,0.39372246348825896
9,1,LF0,0.318496441714475
9,1,LF1,0.3313281752080611
9,1,A4,0.27307224214089126
9,2,LF0,0.5047625553037187
9,2,LF1,0.5025293825572554
9,2,A4,0.4373052912529931
9,3,LF0,0.4554072694594672
9,3,LF1,0.43524619475792126
9,3,A4,0.4461791028188995
9,4,LF0,0.3411460402293177
9,4,LF1,0.32871326816570456
9,4,A4,0.30432445563473753
