seed,model,pearson
0,A4,0.26458415834871
0,LF0,0.25305630728589623
0,LF1,0.25097688610042124
1,A4,0.2628796396366357
1,LF0,0.2685316139538014
1,LF1,0.27894749034259125
2,A4,0.30056919273208066
2,LF0,0.29339977764091635
2,LF1,0.3084445862380027
3,A4,0.2655891497984617
3,LF0,0.26378290744895383
3,LF1,0.2957478837782018
4,A4,0.23811627083134299
4,LF0,0.2239315273515241
4,LF1,0.2781945242577827
5,A4,0.2014263215835109
5,LF0,0.21752253626919238
5,LF1,0.2362744701834801
6,A4,0.2604603656991422
6,LF0,0.2584304430604134
6,LF1,0.2714479509257108
7,A4,0.2392636648886227
7,LF0,0.2191320819760128
7,LF1,0.2433994840838669
8,A4,0.3289346911364833
8,LF0,0.2900196482071883
8,LF1,0.30480529867615375
9,A4,0.3107114604023975
9,LF0,0.2834591097735575
9,LF1,0.27276326434682785
