method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
ncr_contrastive,fluid_intelligence,50,0,0,34,6,10,12.752841711044312,0.6117736360371047,5.204590977307939,3.8942670441983296
no_prior_ridge,fluid_intelligence,50,0,0,34,6,10,0.1203341484069824,0.6117736360371047,5.204590977307939,3.8942670441983296
ncr_contrastive,fluid_intelligence,50,0,1,34,6,10,13.476004362106323,0.1537586757590817,4.550165323188616,4.097920591304754
no_prior_ridge,fluid_intelligence,50,0,1,34,6,10,0.2439017295837402,0.237026029944435,4.411634743464046,3.950603678424767
ncr_contrastive,fluid_intelligence,50,0,2,34,6,10,14.963791370391846,0.0776364567870619,5.005978138364218,4.737923968216004
no_prior_ridge,fluid_intelligence,50,0,2,34,6,10,0.3055720329284668,0.0776364567870603,5.00597813836422,4.737923968216006
ncr_contrastive,fluid_intelligence,50,0,3,34,6,10,13.802022218704224,0.4333256584901569,4.927389581466968,4.098725569579789
no_prior_ridge,fluid_intelligence,50,0,3,34,6,10,0.2592005729675293,0.4333256584901569,4.927389581466968,4.098725569579789
ncr_contrastive,fluid_intelligence,50,0,4,34,6,10,15.06587815284729,0.4865314021669931,4.872840880762699,4.050618969618974
no_prior_ridge,fluid_intelligence,50,0,4,34,6,10,0.1122076511383056,0.3694921239056228,4.99450298148266,4.088602694352477
ncr_contrastive,fluid_intelligence,50,1,0,34,6,10,12.23260235786438,0.2367049677005442,3.653267102146047,2.9199267613404354
no_prior_ridge,fluid_intelligence,50,1,0,34,6,10,0.328136682510376,0.2370393342279618,3.6532659701843904,2.919927073454244
ncr_contrastive,fluid_intelligence,50,1,1,34,6,10,12.894042015075684,-0.2404674256210705,4.711287847043629,4.570714520970912
no_prior_ridge,fluid_intelligence,50,1,1,34,6,10,0.186575174331665,-0.2416542704086299,4.711290154224521,4.570716855344557
ncr_contrastive,fluid_intelligence,50,1,2,34,6,10,13.218263864517212,-0.2486154706565284,6.908079536797342,5.880416916853133
no_prior_ridge,fluid_intelligence,50,1,2,34,6,10,0.1219227313995361,-0.2633533487235373,6.895214328316542,5.839548369654746
ncr_contrastive,fluid_intelligence,50,1,3,34,6,10,13.817161321640016,-0.0447563983578679,3.9365568803335633,3.630243801829773
no_prior_ridge,fluid_intelligence,50,1,3,34,6,10,0.2724366188049316,-0.0451416269616103,3.9365580087740617,3.6302451794350015
ncr_contrastive,fluid_intelligence,50,1,4,34,6,10,13.266390085220335,-0.006375137702324,5.2650533008497,4.399072822211616
no_prior_ridge,fluid_intelligence,50,1,4,34,6,10,0.0989253520965576,-0.0066234470083048,5.265054257208035,4.399071686273819
ncr_contrastive,fluid_intelligence,50,2,0,34,6,10,10.445501804351808,0.2328464478973428,4.489614898638757,3.480144648225153
no_prior_ridge,fluid_intelligence,50,2,0,34,6,10,0.155771255493164,0.2328464478973428,4.489614898638757,3.480144648225153
ncr_contrastive,fluid_intelligence,50,2,1,34,6,10,14.000196933746338,0.297479784519189,8.261337831268182,7.43156033650177
no_prior_ridge,fluid_intelligence,50,2,1,34,6,10,0.3071863651275635,0.5112372310667022,7.594744217104438,6.716213572276321
ncr_contrastive,fluid_intelligence,50,2,2,34,6,10,14.372034788131714,-0.2882189237027939,5.548841543828143,4.6345759971844505
no_prior_ridge,fluid_intelligence,50,2,2,34,6,10,0.1204392910003662,-0.2882189237027941,5.548841543828142,4.63457599718445
ncr_contrastive,fluid_intelligence,50,2,3,34,6,10,14.804559707641602,-0.074150790528906,4.521553686126167,4.200439122300374
no_prior_ridge,fluid_intelligence,50,2,3,34,6,10,0.2827851772308349,-0.0741507905289064,4.521553686126165,4.200439122300372
ncr_contrastive,fluid_intelligence,50,2,4,34,6,10,13.484619617462158,0.1648723237226386,5.997791188876716,5.099048560866632
no_prior_ridge,fluid_intelligence,50,2,4,34,6,10,0.3240580558776855,0.1652040374819073,5.99778987617401,5.099046581587315
ncr_contrastive,working_memory,50,0,0,34,6,10,13.26864457130432,0.0640094412058319,15.429831181643616,12.671063011482683
no_prior_ridge,working_memory,50,0,0,34,6,10,0.1467206478118896,0.064009441205833,15.429831181643609,12.671063011482678
ncr_contrastive,working_memory,50,0,1,34,6,10,11.985832452774048,-0.0975289301922385,15.867988574358872,15.188679819144005
no_prior_ridge,working_memory,50,0,1,34,6,10,0.1032071113586425,-0.0975289301922378,15.867988574358872,15.188679819144005
ncr_contrastive,working_memory,50,0,2,34,6,10,14.259499549865724,-0.3340258254364629,13.152841072556436,9.524555909787937
no_prior_ridge,working_memory,50,0,2,34,6,10,0.5066390037536621,-0.3186053465215633,13.171132756661557,9.568197476344254
ncr_contrastive,working_memory,50,0,3,34,6,10,14.81615161895752,-0.2139681144224612,18.159525456528566,13.659720242138718
no_prior_ridge,working_memory,50,0,3,34,6,10,0.1355876922607422,-0.1511633589224821,17.415748501514095,12.941037565966724
ncr_contrastive,working_memory,50,0,4,34,6,10,13.209356307983398,0.1536829328309926,9.855174372852607,7.078068652799391
no_prior_ridge,working_memory,50,0,4,34,6,10,0.143845796585083,0.2002743064788869,9.607451698016654,7.281114762577715
ncr_contrastive,working_memory,50,1,0,34,6,10,14.254673480987549,0.662738695746313,7.414068361188202,6.566481344909136
no_prior_ridge,working_memory,50,1,0,34,6,10,0.15580415725708,0.6627386957463115,7.414068361188208,6.566481344909138
ncr_contrastive,working_memory,50,1,1,34,6,10,11.594251155853271,0.4593306407466361,9.904467999162271,8.40907878788752
no_prior_ridge,working_memory,50,1,1,34,6,10,0.1940386295318603,0.5275609026660304,10.01625602878947,8.293995272587711
ncr_contrastive,working_memory,50,1,2,34,6,10,15.477225065231323,0.4248567724251768,12.195533110628952,10.937074599948764
