comparison,metric,left,right,n_seeds,left_mean,left_sd,right_mean,right_sd,paired_mean_diff,paired_median_diff,paired_sd_diff,positive_seeds,negative_seeds,zero_seeds,improvement_orientation,wilcoxon_W,wilcoxon_p,zero_method,bootstrap_resamples,bootstrap_seed,ci95_low,ci95_high,ci_excludes_zero,cohens_dz,paired_t_p_secondary,p_holm_metric,significant_holm_005
A3_matched_vs_A4,wm_alignment,A3_msancr|matched,A4_modality_ridge|none,10,0.5136901748268458,0.08120776100083298,0.1229185733995164,0.03356320910209772,0.39077160142732936,0.40460595455796444,0.054058721522558265,10,0,0,positive_is_A3_better,0.0,0.001953125,wilcox,10000,20260829,0.35742134361435096,0.42150019073418654,True,7.228650445687354,2.786197936222276e-09,0.009765625,True
A3_matched_vs_A4,rank_stability,A3_msancr|matched,A4_modality_ridge|none,10,0.7121336254949449,0.05665247748244772,0.6248771767962173,0.09083016472265613,0.08725644869872755,0.062090108791758025,0.09493123622329054,9,1,0,positive_is_A3_better,7.0,0.037109375,wilcox,10000,20260829,0.03325953561680696,0.14527903548225884,True,0.9191542443784162,0.01740672819729323,0.1484375,False
A3_matched_vs_A4,top10_jaccard,A3_msancr|matched,A4_modality_ridge|none,10,0.3368129978037099,0.0706006328917975,0.27811463046757157,0.0491703928918997,0.058698367336138244,0.0639592004143088,0.09029251331256244,7,3,0,positive_is_A3_better,10.0,0.083984375,wilcox,10000,20260829,0.0034542615966765334,0.11049055708653234,True,0.6500911889886613,0.0699576435043718,0.16796875,False
A3_matched_vs_A2,wm_alignment,A3_msancr|matched,A2_fc_laplacian|matched,10,0.5136901748268458,0.08120776100083298,-0.04221573096208692,0.06865824470971087,0.5559059057889326,0.549820384555352,0.061362333582129336,10,0,0,positive_is_A3_better,0.0,0.001953125,wilcox,10000,20260829,0.5253420607135816,0.5966590347285825,True,9.059399689304353,3.746260502802719e-10,0.009765625,True
A3_matched_vs_A2,rank_stability,A3_msancr|matched,A2_fc_laplacian|matched,10,0.7121336254949449,0.05665247748244772,0.6186066966516742,0.11509802721008859,0.09352692884327071,0.07839541767577746,0.1040853898935053,7,3,0,positive_is_A3_better,6.0,0.02734375,wilcox,10000,20260829,0.03417911813324106,0.15597661746050048,True,0.8985596243522991,0.01935588917927546,0.13671875,False
A3_matched_vs_A2,top10_jaccard,A3_msancr|matched,A2_fc_laplacian|matched,10,0.3368129978037099,0.0706006328917975,0.2536088051954925,0.04829773138473621,0.08320419260821736,0.08136446886446883,0.0740091888899591,9,1,0,positive_is_A3_better,2.0,0.005859375,wilcox,10000,20260829,0.04113361576074425,0.1276803062993078,True,1.1242413794310042,0.0061658096077727206,0.0234375,True
A3_matched_vs_A3_unrelated_fixed,wm_alignment,A3_msancr|matched,A3_msancr|unrelated,10,0.5136901748268458,0.08120776100083298,0.37288787659402767,0.07874205183555891,0.14080229823281815,0.13878592162574474,0.015528993083535631,10,0,0,positive_is_A3_better,0.0,0.001953125,wilcox,10000,20260829,0.1319436225071388,0.14978909596530235,True,9.06705911164978,3.718153248614823e-10,0.009765625,True
A3_matched_vs_A3_unrelated_fixed,rank_stability,A3_msancr|matched,A3_msancr|unrelated,10,0.7121336254949449,0.05665247748244772,0.7073033483258371,0.06953424683124149,0.0048302771691078,0.010553953792334703,0.024047609159431143,6,4,0,positive_is_A3_better,20.0,0.4921875,wilcox,10000,20260829,-0.009201979779341101,0.018657978702956213,False,0.2008630935858932,0.5411182785315384,0.984375,False
A3_matched_vs_A3_unrelated_fixed,top10_jaccard,A3_msancr|matched,A3_msancr|unrelated,10,0.3368129978037099,0.0706006328917975,0.26439167299848415,0.05251630275874634,0.0724213248052257,0.07645981469510876,0.03758839651397059,10,0,0,positive_is_A3_better,0.0,0.001953125,wilcox,10000,20260829,0.04986858927106606,0.09384635348741381,True,1.9266936480865484,0.00018083101105405335,0.009765625,True
A3_matched_vs_A3_shuffled_fixed,wm_alignment,A3_msancr|matched,A3_msancr|shuffled,10,0.5136901748268458,0.08120776100083298,-0.0464670634627376,0.025551193280889208,0.5601572382895833,0.5715263617482158,0.07528779105101613,10,0,0,positive_is_A3_better,0.0,0.001953125,wilcox,10000,20260829,0.5146022432545952,0.6038280083230819,True,7.4402134857431586,2.157476546562128e-09,0.009765625,True
