comparison,metric,n_resamples,k_folds,r_repeats,mean_difference,sd_fold_difference,mean_test_train_ratio,corrected_se,corrected_t,df,corrected_p_two_sided,direction_positive_is_A3_better
A3_matched_vs_A4,pearson,50,5,10,0.012160647970890675,0.03223996640937149,0.2500027631942525,0.016752463678744448,0.7259020645614128,49,0.47135194184428886,True
A3_matched_vs_A4,rmse,50,5,10,0.06414738555517634,0.30156577375597354,0.2500027631942525,0.15669897441738367,0.4093669776313484,49,0.6840543747790366,True
A3_matched_vs_A4,mae,50,5,10,0.07336211635500678,0.24489001237153,0.2500027631942525,0.12724923424079065,0.5765230478022793,49,0.5669007829691717,True
A3_matched_vs_A2,pearson,50,5,10,0.013723195737968817,0.040855783498359666,0.2500027631942525,0.021229396471206186,0.6464242050678094,49,0.5210210704781153,True
A3_matched_vs_A2,rmse,50,5,10,0.018098566304012777,0.23140415584626775,0.2500027631942525,0.12024174177794045,0.15051816479369345,49,0.8809737346030089,True
A3_matched_vs_A2,mae,50,5,10,0.042735978325916066,0.2079663999689711,0.2500027631942525,0.10806306426134231,0.39547257537101066,49,0.6942107250523579,True
A3_matched_vs_A3_unrelated_fixed,pearson,50,5,10,0.02125144414374319,0.02084183965644487,0.2500027631942525,0.01082979297836108,1.9623130549407108,49,0.055417967933156786,True
A3_matched_vs_A3_unrelated_fixed,rmse,50,5,10,0.11903226029859208,0.1404740370391798,0.2500027631942525,0.07299282429219314,1.630739205570417,49,0.10935732419755584,True
A3_matched_vs_A3_unrelated_fixed,mae,50,5,10,0.1390986721629586,0.13713567988073522,0.2500027631942525,0.07125815415223719,1.9520386658597095,49,0.05666036879586267,True
A3_matched_vs_A3_shuffled_fixed,pearson,50,5,10,0.019256904149093593,0.025167698382205148,0.2500027631942525,0.013077586610106724,1.4725120714713005,49,0.14727726007774344,True
A3_matched_vs_A3_shuffled_fixed,rmse,50,5,10,0.09336785444449358,0.15623334321495191,0.2500027631942525,0.08118164189080868,1.1501104470155417,49,0.2556806607939399,True
A3_matched_vs_A3_shuffled_fixed,mae,50,5,10,0.08795146713776997,0.15986139146675066,0.2500027631942525,0.08306684070867482,1.0588035657480475,49,0.2948809672721686,True
A3_matched_vs_A3_random_fixed,pearson,50,5,10,0.01145809506261379,0.026801850376625896,0.2500027631942525,0.01392672123960571,0.8227417541774671,49,0.4146409148043868,True
A3_matched_vs_A3_random_fixed,rmse,50,5,10,0.07894121027970911,0.1612687839968901,0.2500027631942525,0.08379814706127832,0.9420400456108234,49,0.3507936402507643,True
A3_matched_vs_A3_random_fixed,mae,50,5,10,0.09935531112443809,0.14712467620175124,0.2500027631942525,0.07644861545514631,1.299635193298321,49,0.19980722099069537,True
