seed,fold,lambda_fc,lambda_sc,gamma,lambda_l,lifting
0,0,0.01,1.0,0.1,0.03,prod
0,1,1.0,10.0,0.5,0.1,mean
0,2,0.1,1.0,0.5,1.0,prod
0,3,0.1,1.0,0.5,5.0,mean
0,4,0.01,10.0,1.0,0.03,mean
1,0,1.0,10.0,1.0,0.5,mean
1,1,1.0,1.0,0.5,0.1,prod
1,2,0.1,1.0,0.5,1.0,mean
1,3,0.1,1.0,1.0,0.5,mean
1,4,0.1,1.0,0.5,1.0,mean
2,0,0.01,0.1,0.25,0.03,mean
2,1,0.1,1.0,1.0,0.5,mean
2,2,0.1,10.0,0.5,1.0,prod
2,3,0.01,10.0,0.1,1.0,prod
2,4,0.1,1.0,0.5,0.5,prod
3,0,0.1,10.0,0.5,0.1,mean
3,1,0.1,1.0,0.5,0.03,mean
3,2,0.1,1.0,1.0,0.1,mean
3,3,1.0,10.0,0.5,2.0,prod
3,4,100.0,10.0,0.25,0.03,prod
4,0,0.01,1.0,0.1,0.1,mean
4,1,0.1,1.0,0.5,0.5,mean
4,2,1.0,1.0,0.5,0.5,prod
4,3,0.1,10.0,1.0,0.1,mean
4,4,1.0,10.0,1.0,2.0,mean
5,0,0.1,10.0,1.0,1.0,mean
5,1,1.0,100.0,1.0,0.1,mean
5,2,0.1,1.0,0.5,0.5,mean
5,3,1.0,10.0,1.0,0.5,mean
5,4,0.1,10.0,0.5,5.0,prod
6,0,1.0,1.0,1.0,1.0,mean
6,1,0.01,10.0,0.5,1.0,mean
6,2,0.1,0.1,1.0,1.0,mean
6,3,0.1,10.0,0.5,1.0,mean
6,4,1.0,1.0,1.0,2.0,mean
7,0,1.0,100.0,1.0,0.5,mean
7,1,0.01,0.1,0.1,0.03,mean
7,2,0.1,10.0,0.5,0.03,prod
7,3,100.0,1.0,2.0,5.0,prod
7,4,0.01,0.1,0.5,0.03,mean
8,0,1.0,10.0,1.0,1.0,mean
8,1,0.1,10.0,0.1,0.03,prod
8,2,1.0,10.0,0.5,0.03,prod
8,3,0.1,100.0,0.5,5.0,mean
8,4,0.01,1.0,0.25,2.0,prod
9,0,0.1,1.0,0.25,0.1,prod
9,1,0.01,1.0,0.25,0.1,mean
9,2,0.1,10.0,0.25,0.1,mean
9,3,0.1,100.0,0.25,5.0,prod
9,4,1.0,10.0,1.0,0.03,mean
