target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_hyperparameter_hash,coefficient_artifact,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
working_memory,0,0,A2_fc_laplacian,matched,retuned_base,329,83,1a5da6a5862e939c,9f4841196b4a6078,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed00_fold00.npz,-0.5177706420791406,-0.1786256703541763,0.0,0.15780227788235188,11.891386432390549,9.805998220970666
working_memory,0,0,A3_msancr,matched,retuned_base,329,83,1a5da6a5862e939c,81e7d57fdde7cdf7,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed00_fold00.npz,-0.29409831388461705,0.14631578954906094,0.0,0.1533349585965138,11.955905055248731,9.830195533212578
working_memory,0,0,A4_iso_same_solver,uniform,retuned_base,329,83,1a5da6a5862e939c,1a9d8a819b9f2772,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed00_fold00.npz,0.11051552181879548,0.1750596196926283,0.05263157894736842,0.2057687314933611,9.373894415588431,7.912115091268603
working_memory,0,0,A4_modality_ridge,none,retuned_base,329,83,1a5da6a5862e939c,7e6b367935337855,outputs/iclr/msancr_final_10x5/coefficients/A4_modality_ridge__none/seed00_fold00.npz,-0.014316450321410143,0.016045304540794877,0.05263157894736842,0.1131869296405699,12.747359161515185,10.488529696255592
working_memory,0,1,A2_fc_laplacian,matched,retuned_base,329,83,c55ff7edd3b18f4b,60384e39417b2449,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed00_fold01.npz,-0.24256753973003378,-0.07354065857261465,0.0,0.209255974716425,11.208589454095684,8.947697772279097
working_memory,0,1,A3_msancr,matched,retuned_base,329,83,c55ff7edd3b18f4b,cc9164c2e0fdc652,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed00_fold01.npz,0.7274344271753641,0.7759910889400966,0.25,0.12648603607572562,10.961297171690546,8.634738817818345
working_memory,0,1,A4_iso_same_solver,uniform,retuned_base,329,83,c55ff7edd3b18f4b,1a9d8a819b9f2772,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed00_fold01.npz,0.2254718208130894,0.20145301083489475,0.05263157894736842,0.17311253168144852,10.845436127714121,8.628171857312882
working_memory,0,1,A4_modality_ridge,none,retuned_base,329,83,c55ff7edd3b18f4b,4ae14dcae3d7e452,outputs/iclr/msancr_final_10x5/coefficients/A4_modality_ridge__none/seed00_fold01.npz,0.18691404983108895,0.15423265283003812,0.1111111111111111,0.19659775858564832,11.332126711418512,9.087872464218641
working_memory,0,2,A2_fc_laplacian,matched,retuned_base,330,82,dec2cf043052fa14,331fd09576665913,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed00_fold02.npz,-0.4375533312127313,-0.08627765289881265,0.0,0.1820175738828331,12.33076452676435,9.674095242153234
working_memory,0,2,A3_msancr,matched,retuned_base,330,82,dec2cf043052fa14,ac9f30ca4c9d7459,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed00_fold02.npz,0.25989950671976864,0.5166965055625521,0.0,0.2090186429576094,12.486914232833977,9.702419219075754
