target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_from_prior,selected_hyperparameter_hash,coefficient_artifact,lambda_fc,lambda_sc,lambda_l,gamma,lifting,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
fluid_intelligence,0,0,A3_msancr,random,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed00_fold00.npz,100.0,1.0,0.03,0.1,mean,0.1406493864078051,0.10011106905733336,0.1111111111111111,0.5020629558283547,3.9393441639680438,3.329638397911736
fluid_intelligence,0,0,A3_msancr,shuffled,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed00_fold00.npz,100.0,1.0,0.03,0.1,mean,0.09931663660099438,0.0647843331176214,0.1111111111111111,0.5020441483171054,3.9393964617309902,3.3296722015266877
fluid_intelligence,0,0,A3_msancr,unrelated,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed00_fold00.npz,100.0,1.0,0.03,0.1,mean,0.25413541797587874,0.2021785177019342,0.17647058823529413,0.5021604216831157,3.9391900780339193,3.3297405590296143
fluid_intelligence,0,1,A3_msancr,random,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed00_fold01.npz,100.0,1.0,0.03,0.5,prod,0.02625268663395558,0.11120107878870769,0.1111111111111111,0.31135687226023934,4.832973717627612,4.129439254138734
fluid_intelligence,0,1,A3_msancr,shuffled,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed00_fold01.npz,100.0,1.0,0.03,0.5,prod,-0.20369592114478585,-0.18452865531108303,0.0,0.31105672896555936,4.833499203251119,4.129182399266653
fluid_intelligence,0,1,A3_msancr,unrelated,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed00_fold01.npz,100.0,1.0,0.03,0.5,prod,0.6591497228881139,0.6821166319535511,0.42857142857142855,0.3156286968099785,4.826766360534941,4.126093475036492
fluid_intelligence,0,2,A3_msancr,random,fixed_prior_swap,330,82,dec2cf043052fa14,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed00_fold02.npz,1.0,0.1,0.03,1.0,mean,0.0725228324455795,0.1278785394912129,0.0,0.32211641115791023,4.944740017061691,4.264332774153574
fluid_intelligence,0,2,A3_msancr,shuffled,fixed_prior_swap,330,82,dec2cf043052fa14,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed00_fold02.npz,1.0,0.1,0.03,1.0,mean,-0.15319852903768336,-0.12270783210080176,0.0,0.3248812392955632,4.938296253295561,4.246461112814079
fluid_intelligence,0,2,A3_msancr,unrelated,fixed_prior_swap,330,82,dec2cf043052fa14,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed00_fold02.npz,1.0,0.1,0.03,1.0,mean,0.6584699363355816,0.6722884291749114,0.3333333333333333,0.3148624921350543,4.969685232784605,4.2784837002938145
fluid_intelligence,0,3,A3_msancr,random,fixed_prior_swap,330,82,1a527e0271dad131,matched,dd1c9f33efacd38a,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed00_fold03.npz,0.1,0.1,0.03,0.1,mean,0.05696326904275902,0.1183899055561226,0.0,0.1796178708333692,4.80411661100222,4.118966383247731
