target,seed,fold,model_id,prior_type,lambda_fc,lambda_sc,lambda_l,gamma,lifting,selected_hyperparameter_hash,mean_inner_pearson,mean_inner_rmse,mean_inner_mae,selection_metric,pearson_tie_tolerance
fluid_intelligence,0,0,A2_fc_laplacian,matched,100.0,1.0,0.03,0.0,prod,763a1cd3d6d634c5,0.2973941070522172,4.8087672426463,4.113857014846855,pearson,0.002
fluid_intelligence,0,0,A3_msancr,matched,100.0,1.0,0.03,0.1,mean,79668b08f5849a3b,0.2973394653351026,4.808791199015777,4.113876387034365,pearson,0.002
fluid_intelligence,0,0,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.2967672447505377,4.871123714426653,4.099688522817105,pearson,0.002
fluid_intelligence,0,0,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.2973941847355202,4.808767147596433,4.113856995831724,pearson,0.002
fluid_intelligence,0,1,A2_fc_laplacian,matched,100.0,1.0,0.03,0.0,prod,763a1cd3d6d634c5,0.3329738860798507,4.612949740437337,3.9076453294903915,pearson,0.002
fluid_intelligence,0,1,A3_msancr,matched,100.0,1.0,0.03,0.5,prod,dab7285bcb802986,0.33300614387029226,4.611414623622508,3.905689276312413,pearson,0.002
fluid_intelligence,0,1,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.272803481948902,4.670154441110401,3.941189412755817,pearson,0.002
fluid_intelligence,0,1,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.3329739034489217,4.612949718890055,3.907645324476325,pearson,0.002
fluid_intelligence,0,2,A2_fc_laplacian,matched,1.0,0.1,0.03,0.0,prod,08d76072b4816e8c,0.3720403688354946,4.492886202397482,3.7143537604583803,pearson,0.002
fluid_intelligence,0,2,A3_msancr,matched,1.0,0.1,0.03,1.0,mean,0932c414b36049d3,0.3764906585491697,4.483934528339297,3.712006568422853,pearson,0.002
fluid_intelligence,0,2,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.3383602017163032,4.585051901805492,3.799745786446769,pearson,0.002
fluid_intelligence,0,2,A4_modality_ridge,none,1.0,0.1,0.0,0.0,prod,447228a097b2f9e2,0.37213397783970875,4.4926797548497985,3.7142431253447157,pearson,0.002
fluid_intelligence,0,3,A2_fc_laplacian,matched,0.1,0.1,0.03,0.0,prod,0caa142d5a94f617,0.3548056033443399,4.6719598579259864,3.8609451845774836,pearson,0.002
fluid_intelligence,0,3,A3_msancr,matched,0.1,0.1,0.03,0.1,mean,dd1c9f33efacd38a,0.3541088382252837,4.673659740025549,3.862391845878164,pearson,0.002
fluid_intelligence,0,3,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.3566535161659992,4.6681199115078575,3.856551604592415,pearson,0.002
fluid_intelligence,0,3,A4_modality_ridge,none,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.3566535161659992,4.6681199115078575,3.856551604592415,pearson,0.002
fluid_intelligence,0,4,A2_fc_laplacian,matched,10.0,1.0,0.03,0.0,prod,405786609a677e2e,0.3242442760562581,4.630447709465183,3.946734761490905,pearson,0.002
fluid_intelligence,0,4,A3_msancr,matched,10.0,0.1,0.03,1.0,prod,ea920ae231ec257d,0.33804438264188796,4.607996223358746,3.8702281525082967,pearson,0.002
fluid_intelligence,0,4,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.3266996323081129,4.696174527369436,3.8905762888000432,pearson,0.002
fluid_intelligence,0,4,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.3253812103099368,4.638969455543705,3.9560969737062326,pearson,0.002
fluid_intelligence,1,0,A2_fc_laplacian,matched,1.0,0.1,0.03,0.0,prod,08d76072b4816e8c,0.3971468393060231,4.615206610122644,3.8366022139501568,pearson,0.002
fluid_intelligence,1,0,A3_msancr,matched,1.0,0.1,0.03,0.1,mean,21f7ef998b301203,0.39613238713303484,4.617243778774337,3.838785738473364,pearson,0.002
fluid_intelligence,1,0,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.39696089192589584,4.63884608834109,3.8664169330318177,pearson,0.002
fluid_intelligence,1,0,A4_modality_ridge,none,1.0,0.1,0.0,0.0,prod,447228a097b2f9e2,0.3971859727875262,4.615105213397438,3.836566138550491,pearson,0.002
fluid_intelligence,1,1,A2_fc_laplacian,matched,100.0,1.0,0.03,0.0,prod,763a1cd3d6d634c5,0.34016939335518975,4.690344982569553,3.999055291538562,pearson,0.002
fluid_intelligence,1,1,A3_msancr,matched,100.0,1.0,0.03,0.5,prod,dab7285bcb802986,0.3424498151593844,4.685003916462669,3.996315671578308,pearson,0.002
fluid_intelligence,1,1,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.30474893351965204,4.807522881094105,4.023151607970818,pearson,0.002
fluid_intelligence,1,1,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.34016944863478393,4.690344918008059,3.9990552735668494,pearson,0.002
fluid_intelligence,1,2,A2_fc_laplacian,matched,1.0,1.0,0.03,0.0,prod,51f31676134369d3,0.32201352893820295,4.578759352159458,3.858245791703439,pearson,0.002
fluid_intelligence,1,2,A3_msancr,matched,1.0,1.0,0.03,1.0,mean,6a978f75ca4fd205,0.3304878788111334,4.57512649536359,3.8514865870111845,pearson,0.002
fluid_intelligence,1,2,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3222348451864289,4.578474899584746,3.8579372727876753,pearson,0.002
fluid_intelligence,1,2,A4_modality_ridge,none,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3222348451864289,4.578474899584746,3.8579372727876753,pearson,0.002
fluid_intelligence,1,3,A2_fc_laplacian,matched,1.0,1.0,0.03,0.0,prod,51f31676134369d3,0.3571406599849238,4.527476463421385,3.7536980834056677,pearson,0.002
fluid_intelligence,1,3,A3_msancr,matched,1.0,1.0,0.03,1.0,mean,6a978f75ca4fd205,0.35930775764811324,4.519502812263713,3.7680428667787544,pearson,0.002
fluid_intelligence,1,3,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3572506453743449,4.527238482068154,3.7536744828566064,pearson,0.002
fluid_intelligence,1,3,A4_modality_ridge,none,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3572506453743449,4.527238482068154,3.7536744828566064,pearson,0.002
fluid_intelligence,1,4,A2_fc_laplacian,matched,10.0,1.0,5.0,0.0,prod,7faf2409e757b3ed,0.3374352630153157,4.650155011928316,3.9709880758757663,pearson,0.002
fluid_intelligence,1,4,A3_msancr,matched,10.0,1.0,5.0,0.1,mean,bdf02da57dc7953f,0.3370830088144144,4.650509118074685,3.971417950162502,pearson,0.002
fluid_intelligence,1,4,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.31948531549467596,4.6706003669203335,3.9772129378398815,pearson,0.002
fluid_intelligence,1,4,A4_modality_ridge,none,10.0,1.0,0.0,0.0,prod,257abbcb8197a2b9,0.33737030265580553,4.650211943095688,3.971136668505164,pearson,0.002
fluid_intelligence,2,0,A2_fc_laplacian,matched,1.0,1.0,0.03,0.0,prod,51f31676134369d3,0.30549174580614175,4.6096064485621175,3.881086260040776,pearson,0.002
fluid_intelligence,2,0,A3_msancr,matched,1.0,1.0,0.03,0.1,mean,c2e1d00372ea09e1,0.3056399497138662,4.609444612337718,3.8821028401911466,pearson,0.002
fluid_intelligence,2,0,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.30553246075361656,4.609558113891046,3.880973875450915,pearson,0.002
fluid_intelligence,2,0,A4_modality_ridge,none,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.30553246075361656,4.609558113891046,3.880973875450915,pearson,0.002
fluid_intelligence,2,1,A2_fc_laplacian,matched,10.0,1.0,0.03,0.0,prod,405786609a677e2e,0.3640789785629884,4.676730035058159,3.94290836025894,pearson,0.002
fluid_intelligence,2,1,A3_msancr,matched,10.0,1.0,0.03,1.0,mean,b5b92eebcf83ad30,0.36466469130500617,4.671099433306423,3.9346810121136553,pearson,0.002
fluid_intelligence,2,1,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3568732709055102,4.6875623923710075,3.932591423161855,pearson,0.002
fluid_intelligence,2,1,A4_modality_ridge,none,10.0,1.0,0.0,0.0,prod,257abbcb8197a2b9,0.36408275879123936,4.676723956218763,3.9429033218762934,pearson,0.002
fluid_intelligence,2,2,A2_fc_laplacian,matched,0.1,0.01,0.03,0.0,prod,25a85a6104c2bb55,0.40191693160438074,4.575929452457641,3.7403402013226557,pearson,0.002
fluid_intelligence,2,2,A3_msancr,matched,1.0,0.1,0.03,1.0,mean,0932c414b36049d3,0.4008253583492111,4.561561180066115,3.7884180709381035,pearson,0.002
fluid_intelligence,2,2,A4_iso_same_solver,uniform,0.01,0.01,0.0,0.0,prod,b2dc5dcbabcda78f,0.3774059088822235,4.649418356910465,3.842815659724747,pearson,0.002
fluid_intelligence,2,2,A4_modality_ridge,none,0.1,0.01,0.0,0.0,prod,2f3e98a38e9abbf0,0.4026348694959602,4.57435870410719,3.739503449204245,pearson,0.002
fluid_intelligence,2,3,A2_fc_laplacian,matched,100.0,1.0,0.03,0.0,prod,763a1cd3d6d634c5,0.3281871422962234,4.6739722255161285,3.9449088512493447,pearson,0.002
fluid_intelligence,2,3,A3_msancr,matched,100.0,1.0,0.03,0.1,mean,79668b08f5849a3b,0.32814416138887575,4.674004266138202,3.944963796601691,pearson,0.002
fluid_intelligence,2,3,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.3116611377502687,4.673641150489957,3.9263358532079535,pearson,0.002
fluid_intelligence,2,3,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.3281872132114426,4.673972149299435,3.9449088171500954,pearson,0.002
fluid_intelligence,2,4,A2_fc_laplacian,matched,100.0,1.0,5.0,0.0,prod,9959f95f354cc234,0.30939697734475596,4.675134191468159,3.9099055239430576,pearson,0.002
fluid_intelligence,2,4,A3_msancr,matched,100.0,1.0,5.0,1.0,mean,497bf14fdb07a102,0.30970394124893125,4.671852677487269,3.9056695052944526,pearson,0.002
fluid_intelligence,2,4,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2862398405980326,4.692106812571844,3.9039026618624413,pearson,0.002
fluid_intelligence,2,4,A4_modality_ridge,none,100.0,1.0,0.0,0.0,prod,d9a73baa4c8f0a6e,0.3093885880884395,4.675141970442019,3.9099138508829725,pearson,0.002
