target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_hyperparameter_hash,coefficient_artifact,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
fluid_intelligence,0,0,A2_fc_laplacian,matched,retuned_base,329,83,1a5da6a5862e939c,763a1cd3d6d634c5,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed00_fold00.npz,0.1349020697309818,0.08427095425312608,0.1111111111111111,0.5020666621255545,3.939324522877125,3.32961217471417
fluid_intelligence,0,0,A3_msancr,matched,retuned_base,329,83,1a5da6a5862e939c,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed00_fold00.npz,0.2891119006815401,0.2560194730888049,0.17647058823529413,0.5022012461636285,3.9390984184604045,3.329582299211889
fluid_intelligence,0,0,A4_iso_same_solver,uniform,retuned_base,329,83,1a5da6a5862e939c,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed00_fold00.npz,0.012054686856858218,0.04564499829938315,0.0,0.49628321140307463,3.843738707108962,3.0023618223892043
fluid_intelligence,0,0,A4_modality_ridge,none,retuned_base,329,83,1a5da6a5862e939c,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed00_fold00.npz,0.13498873882191376,0.08427095425312608,0.1111111111111111,0.5020667556056946,3.9393243309799537,3.329612072655761
fluid_intelligence,0,1,A2_fc_laplacian,matched,retuned_base,329,83,c55ff7edd3b18f4b,763a1cd3d6d634c5,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed00_fold01.npz,0.023148466306342423,0.03911601553477445,0.0,0.3097225858554374,4.835542433095645,4.128836537920043
fluid_intelligence,0,1,A3_msancr,matched,retuned_base,329,83,c55ff7edd3b18f4b,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed00_fold01.npz,0.8330036044876816,0.8666491460014928,0.42857142857142855,0.316678842408467,4.825402365192195,4.124435730836564
fluid_intelligence,0,1,A4_iso_same_solver,uniform,retuned_base,329,83,c55ff7edd3b18f4b,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed00_fold01.npz,0.043287620738212976,0.06821860892170045,0.05263157894736842,0.328632872792506,4.795932997629167,4.114937418996483
fluid_intelligence,0,1,A4_modality_ridge,none,retuned_base,329,83,c55ff7edd3b18f4b,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed00_fold01.npz,0.02325048565918779,0.03911601553477445,0.0,0.3097226754145518,4.835542307210853,4.128836518923219
fluid_intelligence,0,2,A2_fc_laplacian,matched,retuned_base,330,82,dec2cf043052fa14,08d76072b4816e8c,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed00_fold02.npz,-0.00041672390635864604,0.0641515002728248,0.0,0.32518220978472334,4.936209041892818,4.258668723813033
fluid_intelligence,0,2,A3_msancr,matched,retuned_base,330,82,dec2cf043052fa14,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed00_fold02.npz,0.8225408073707982,0.8738958538217854,0.5384615384615384,0.31095055777905456,4.98086314899991,4.28544260907051
fluid_intelligence,0,2,A4_iso_same_solver,uniform,retuned_base,330,82,dec2cf043052fa14,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed00_fold02.npz,0.06677012570222893,0.08887828606219393,0.05263157894736842,0.3166020072821799,5.0049166987775395,4.2071260243770014
fluid_intelligence,0,2,A4_modality_ridge,none,retuned_base,330,82,dec2cf043052fa14,447228a097b2f9e2,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed00_fold02.npz,0.014748831424499776,0.08002248497190022,0.0,0.3251909690221242,4.9362387071609035,4.258490448554925
fluid_intelligence,0,3,A2_fc_laplacian,matched,retuned_base,330,82,1a527e0271dad131,0caa142d5a94f617,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed00_fold03.npz,-0.08678313937031248,-0.023877863680495638,0.0,0.17908906812037734,4.803756602858078,4.117194489457049
fluid_intelligence,0,3,A3_msancr,matched,retuned_base,330,82,1a527e0271dad131,dd1c9f33efacd38a,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed00_fold03.npz,0.08961830550668883,0.19927674758433034,0.0,0.1790720344870298,4.8047798557568315,4.117584289653042
fluid_intelligence,0,3,A4_iso_same_solver,uniform,retuned_base,330,82,1a527e0271dad131,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed00_fold03.npz,0.09345467302109228,0.1537282177064101,0.0,0.17903027456752607,4.8077216044795765,4.122548322695392
fluid_intelligence,0,3,A4_modality_ridge,none,retuned_base,330,82,1a527e0271dad131,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed00_fold03.npz,0.09345467302109228,0.1537282177064101,0.0,0.17903027456752607,4.8077216044795765,4.122548322695392
fluid_intelligence,0,4,A2_fc_laplacian,matched,retuned_base,330,82,70b6bb492967e5c5,405786609a677e2e,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed00_fold04.npz,-0.0009437091393059462,0.06202919500064114,0.0,0.40857108418063043,4.735169810574691,3.897588395871936
fluid_intelligence,0,4,A3_msancr,matched,retuned_base,330,82,70b6bb492967e5c5,ea920ae231ec257d,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed00_fold04.npz,0.9608819797707151,0.9716376584479901,0.8181818181818182,0.4154206761676632,4.684009095249628,3.699258642925523
fluid_intelligence,0,4,A4_iso_same_solver,uniform,retuned_base,330,82,70b6bb492967e5c5,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed00_fold04.npz,0.13842780346171374,0.20968376089174742,0.05263157894736842,0.40049767098229216,4.715780299238411,3.7384506857852933
fluid_intelligence,0,4,A4_modality_ridge,none,retuned_base,330,82,70b6bb492967e5c5,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed00_fold04.npz,0.1724184024376473,0.2612133329003671,0.0,0.408007271852574,4.742694093504634,3.91223358513859
fluid_intelligence,1,0,A2_fc_laplacian,matched,retuned_base,329,83,fd88b3fdabd38c48,08d76072b4816e8c,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed01_fold00.npz,-0.09155668282600812,-0.004568744440482682,0.0,0.2250610554171631,4.5997579125296095,3.6931843370459507
fluid_intelligence,1,0,A3_msancr,matched,retuned_base,329,83,fd88b3fdabd38c48,21f7ef998b301203,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed01_fold00.npz,0.06705949596639187,0.23787955111692222,0.05263157894736842,0.22537037935144055,4.599229354279017,3.693480658720041
fluid_intelligence,1,0,A4_iso_same_solver,uniform,retuned_base,329,83,fd88b3fdabd38c48,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed01_fold00.npz,0.070783480432008,0.12732674012044515,0.1111111111111111,0.24373340784071865,4.583083744820697,3.6282898141904107
fluid_intelligence,1,0,A4_modality_ridge,none,retuned_base,329,83,fd88b3fdabd38c48,447228a097b2f9e2,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed01_fold00.npz,-0.07605892227721986,0.019764450189317818,0.0,0.22521152559804164,4.599411219652592,3.692833548280469
fluid_intelligence,1,1,A2_fc_laplacian,matched,retuned_base,329,83,5a27629dcbb318ac,763a1cd3d6d634c5,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed01_fold01.npz,0.30653512990701337,0.3661246706096941,0.1111111111111111,0.3371822075520199,4.400290940833125,3.7393332002443915
fluid_intelligence,1,1,A3_msancr,matched,retuned_base,329,83,5a27629dcbb318ac,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed01_fold01.npz,0.8636521189263441,0.8921052330571213,0.42857142857142855,0.33008546510546966,4.412912889573945,3.7563680431378583
fluid_intelligence,1,1,A4_iso_same_solver,uniform,retuned_base,329,83,5a27629dcbb318ac,c65f6b667fe32338,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed01_fold01.npz,0.055633928496152805,0.11631776386309962,0.05263157894736842,0.36668065480903456,4.379340846310872,3.6116515967454563
fluid_intelligence,1,1,A4_modality_ridge,none,retuned_base,329,83,5a27629dcbb318ac,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed01_fold01.npz,0.30658071968020284,0.3661246706096941,0.1111111111111111,0.3371823623453578,4.400290758729404,3.7393331474649294
fluid_intelligence,1,2,A2_fc_laplacian,matched,retuned_base,330,82,a3a96f37370dde13,51f31676134369d3,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed01_fold02.npz,-0.004132099557859592,0.07105092177585103,0.05263157894736842,0.45926412992343035,4.767950328605691,4.118143637724402
fluid_intelligence,1,2,A3_msancr,matched,retuned_base,330,82,a3a96f37370dde13,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed01_fold02.npz,0.9055397440744027,0.8977119777125447,0.42857142857142855,0.4396059982124887,4.786818753965234,4.166312344351801
fluid_intelligence,1,2,A4_iso_same_solver,uniform,retuned_base,330,82,a3a96f37370dde13,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed01_fold02.npz,0.018655302741290743,0.09012851680435302,0.05263157894736842,0.4592568464725645,4.767850972716289,4.118207619817578
fluid_intelligence,1,2,A4_modality_ridge,none,retuned_base,330,82,a3a96f37370dde13,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed01_fold02.npz,0.018655302741290743,0.09012851680435302,0.05263157894736842,0.4592568464725645,4.767850972716289,4.118207619817578
fluid_intelligence,1,3,A2_fc_laplacian,matched,retuned_base,330,82,1bb495d850934d97,51f31676134369d3,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed01_fold03.npz,0.010674368709689172,-0.03583608920503603,0.0,0.24450915376146426,5.047575845579637,4.3330957548568305
fluid_intelligence,1,3,A3_msancr,matched,retuned_base,330,82,1bb495d850934d97,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed01_fold03.npz,0.8823856037800377,0.8477760640264921,0.42857142857142855,0.22831816788448586,5.139679593573923,4.407689470890209
fluid_intelligence,1,3,A4_iso_same_solver,uniform,retuned_base,330,82,1bb495d850934d97,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed01_fold03.npz,0.03096389180656671,-0.014686352483511052,0.0,0.24449283391445326,5.047779617739661,4.333162665230513
fluid_intelligence,1,3,A4_modality_ridge,none,retuned_base,330,82,1bb495d850934d97,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed01_fold03.npz,0.03096389180656671,-0.014686352483511052,0.0,0.24449283391445326,5.047779617739661,4.333162665230513
fluid_intelligence,1,4,A2_fc_laplacian,matched,retuned_base,330,82,d46f3f6926276995,7faf2409e757b3ed,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed01_fold04.npz,-0.1802208123542548,-0.1805811675048214,0.0,0.3326839943508398,4.604434591697609,3.9254867651375895
fluid_intelligence,1,4,A3_msancr,matched,retuned_base,330,82,d46f3f6926276995,bdf02da57dc7953f,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed01_fold04.npz,-0.043600689320488856,-0.009697005725450151,0.0,0.3323571328108797,4.60504889715724,3.9270227732410734
