seed,fold,A4_lambda_fc,A4_lambda_sc,A4_lambda_fc_boundary,A4_lambda_sc_boundary,A2_lambda_L,A2_lambda_L_boundary,A3_lambda_fc,A3_lambda_sc,A3_gamma,A3_lambda_L,A3_lifting,A3_lambda_fc_boundary,A3_lambda_sc_boundary,A3_gamma_boundary,A3_lambda_L_boundary,A4_lambda_fc_unresolved_lower,A3_gamma_unresolved_lower,A3_lambda_L_unresolved_lower,A2_lambda_L_unresolved_lower
0,0,0.001,0.1,True,False,0.03,True,0.01,1.0,0.1,0.03,prod,False,False,True,True,True,True,True,True
0,1,0.1,1.0,False,False,0.1,False,1.0,10.0,0.5,0.1,mean,False,False,False,False,False,False,False,False
0,2,0.1,1.0,False,False,1.0,False,0.1,1.0,0.5,1.0,prod,False,False,False,False,False,False,False,False
0,3,1.0,1.0,False,False,5.0,True,0.1,1.0,0.5,5.0,mean,False,False,False,True,False,False,False,False
0,4,0.01,10.0,False,False,0.03,True,0.01,10.0,1.0,0.03,mean,False,False,False,True,False,False,True,True
1,0,1.0,10.0,False,False,0.03,True,1.0,10.0,1.0,0.5,mean,False,False,False,False,False,False,False,True
1,1,1.0,1.0,False,False,0.03,True,1.0,1.0,0.5,0.1,prod,False,False,False,False,False,False,False,True
1,2,0.1,1.0,False,False,1.0,False,0.1,1.0,0.5,1.0,mean,False,False,False,False,False,False,False,False
1,3,0.1,1.0,False,False,0.5,False,0.1,1.0,1.0,0.5,mean,False,False,False,False,False,False,False,False
1,4,0.1,1.0,False,False,1.0,False,0.1,1.0,0.5,1.0,mean,False,False,False,False,False,False,False,False
2,0,0.01,0.1,False,False,0.03,True,0.01,0.1,0.25,0.03,mean,False,False,False,True,False,False,True,True
2,1,0.1,1.0,False,False,0.5,False,0.1,1.0,1.0,0.5,mean,False,False,False,False,False,False,False,False
2,2,0.1,10.0,False,False,0.1,False,0.1,10.0,0.5,1.0,prod,False,False,False,False,False,False,False,False
2,3,0.01,1.0,False,False,1.0,False,0.01,10.0,0.1,1.0,prod,False,False,True,False,False,True,False,False
2,4,0.1,1.0,False,False,0.1,False,0.1,1.0,0.5,0.5,prod,False,False,False,False,False,False,False,False
