target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_from_prior,selected_hyperparameter_hash,coefficient_artifact,lambda_fc,lambda_sc,lambda_l,gamma,lifting,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
working_memory,0,0,A3_msancr,random,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,81e7d57fdde7cdf7,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__random/seed00_fold00.npz,0.01,1.0,0.03,0.1,prod,-0.1016382613534651,-0.0790455328948101,0.0526315789473684,0.1148492597203646,12.26369472625794,10.121316034752043
working_memory,0,0,A3_msancr,shuffled,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,81e7d57fdde7cdf7,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__shuffled/seed00_fold00.npz,0.01,1.0,0.03,0.1,prod,0.0131751676039927,-0.0259279195888174,0.0526315789473684,0.1326878964430352,12.416585300121865,10.165792825806824
working_memory,0,0,A3_msancr,unrelated,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,81e7d57fdde7cdf7,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__unrelated/seed00_fold00.npz,0.01,1.0,0.03,0.1,prod,-0.3236268218043213,0.0542101250512782,0.0526315789473684,0.1356575419205299,12.06035137461468,9.915754606603048
working_memory,0,1,A3_msancr,random,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__random/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.2160392726510762,0.21911015488722,0.1111111111111111,0.1287074173334053,10.92756725518011,8.606620923949123
working_memory,0,1,A3_msancr,shuffled,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__shuffled/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.0552834542255487,0.0463509648554393,0.0526315789473684,0.1037139065579661,11.002655067414512,8.646683502423564
working_memory,0,1,A3_msancr,unrelated,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__unrelated/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.6280593633946023,0.6743836497562042,0.25,0.1254337440734056,10.958685033391204,8.658534955099332
working_memory,0,2,A3_msancr,random,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__random/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,-0.049149856420374366,0.05524108683908282,0.05263157894736842,0.2005389186500247,12.410317810198473,9.521795673872479
working_memory,0,2,A3_msancr,shuffled,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__shuffled/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,-0.05466054455523553,-0.0804034788317319,0.0,0.1569807380749801,12.587866483976944,9.778940587817683
working_memory,0,2,A3_msancr,unrelated,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__unrelated/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,0.11958932028313207,0.3477534128945855,0.1111111111111111,0.13606742965039686,12.798801126253892,9.90431392414463
working_memory,0,3,A3_msancr,random,fixed_prior_swap,330,82,1a527e0271dad131,matched,4093179c6c4d5fbb,outputs/iclr/msancr_grid_closure/coefficients/A3_msancr__random/seed00_fold03.npz,0.1,1.0,5.0,0.5,mean,0.004086918160029724,0.08735862402707045,0.0,0.38762214378918386,10.560688719700918,9.031415859852281
