target,seed,fold,model_id,prior_type,lambda_fc,lambda_sc,lambda_l,gamma,lifting,selected_hyperparameter_hash,mean_inner_pearson,mean_inner_rmse,mean_inner_mae,selection_metric,pearson_tie_tolerance
working_memory,0,0,A2_fc_laplacian,matched,0.01,1.0,0.03,0.0,prod,9f4841196b4a6078,0.2864736869267155,12.31830550986954,10.057655805372145,pearson,0.002
working_memory,0,0,A3_msancr,matched,0.01,1.0,0.03,0.1,prod,81e7d57fdde7cdf7,0.2883546817151847,12.31469541820217,10.04998044414934,pearson,0.002
working_memory,0,0,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2350601456292146,11.615998608639185,9.375970709901535,pearson,0.002
working_memory,0,0,A4_modality_ridge,none,0.001,0.1,0.0,0.0,prod,7e6b367935337855,0.2968207003040807,12.41628326225584,10.095391783398664,pearson,0.002
working_memory,0,1,A2_fc_laplacian,matched,0.1,1.0,0.1,0.0,prod,60384e39417b2449,0.2656315118536087,11.569709918454416,9.315746126466662,pearson,0.002
working_memory,0,1,A3_msancr,matched,1.0,10.0,0.1,0.5,mean,cc9164c2e0fdc652,0.2789968993316433,11.164523236632538,9.0852623072196,pearson,0.002
working_memory,0,1,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2476300539565265,11.267643800886908,9.202842860615386,pearson,0.002
working_memory,0,1,A4_modality_ridge,none,0.1,1.0,0.0,0.0,prod,4ae14dcae3d7e452,0.2678911108039571,11.585952548945452,9.327432213684924,pearson,0.002
working_memory,0,2,A2_fc_laplacian,matched,0.1,1.0,1.0,0.0,prod,331fd09576665913,0.2540332778074429,11.390461192645505,9.410951529253852,pearson,0.002
working_memory,0,2,A3_msancr,matched,0.1,1.0,1.0,0.5,prod,ac9f30ca4c9d7459,0.27327486920741056,11.446291873498616,9.284488440443418,pearson,0.002
working_memory,0,2,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2272983959693197,11.137524524397845,9.222214388575452,pearson,0.002
working_memory,0,2,A4_modality_ridge,none,0.1,1.0,0.0,0.0,prod,4ae14dcae3d7e452,0.25384617447228147,11.456802050812863,9.44646620887122,pearson,0.002
working_memory,0,3,A2_fc_laplacian,matched,1.0,1.0,5.0,0.0,prod,3965b7e1013c4c08,0.23861453165416835,11.168443282218709,9.011669465749637,pearson,0.002
working_memory,0,3,A3_msancr,matched,0.1,1.0,5.0,0.5,mean,4093179c6c4d5fbb,0.24401840509240694,11.432653208820247,9.291617280018182,pearson,0.002
working_memory,0,3,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.23442383604753422,11.185908590282452,9.023171502156307,pearson,0.002
working_memory,0,3,A4_modality_ridge,none,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.23442383604753422,11.185908590282452,9.023171502156307,pearson,0.002
working_memory,0,4,A2_fc_laplacian,matched,0.01,10.0,0.03,0.0,prod,d6440779965bfa86,0.15845419948679568,12.179128011015933,9.84472674435935,pearson,0.002
working_memory,0,4,A3_msancr,matched,0.01,10.0,0.03,1.0,mean,3f5192c303f39eb7,0.18701187084056747,12.199497998925258,9.780811995947163,pearson,0.002
working_memory,0,4,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.11496562964356076,11.303093698450907,9.077875543116283,pearson,0.002
working_memory,0,4,A4_modality_ridge,none,0.01,10.0,0.0,0.0,prod,6c1fa9d3cea554b0,0.15525897982249684,12.233201161679743,9.815724827343535,pearson,0.002
working_memory,1,0,A2_fc_laplacian,matched,1.0,10.0,0.03,0.0,prod,9902906f74d11c9d,0.18659053096956005,11.349678723154819,9.212380079494778,pearson,0.002
working_memory,1,0,A3_msancr,matched,1.0,10.0,0.5,1.0,mean,3e40644f6f1148ce,0.2120664049243887,11.286672209708541,9.131765916762847,pearson,0.002
working_memory,1,0,A4_iso_same_solver,uniform,10.0,10.0,0.0,0.0,prod,55ec9fcfbaf1e340,0.18320074949540852,11.435947798732068,9.347615287020048,pearson,0.002
