target,seed,fold,model_id,prior_type,selected_lambda_fc,selected_lambda_sc,selected_lambda_l,selected_gamma,selected_lifting
fluid_intelligence,0,0,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,0,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,0,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,0,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,0,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,0,A2_fc_laplacian,random,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,0,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,0,A3_msancr,random,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,0,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,0,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,1,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,1,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,1,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,1,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,1,A2_fc_laplacian,matched,10.0,0.1,1.0,0.0,prod
fluid_intelligence,0,1,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,0,1,A3_msancr,matched,10.0,0.1,1.0,1.0,prod
fluid_intelligence,0,1,A3_msancr,random,10.0,0.1,1.0,1.0,prod
fluid_intelligence,0,1,A4_modality_ridge,matched,10.0,0.1,0.0,0.0,none
fluid_intelligence,0,1,A4_modality_ridge,random,10.0,0.1,0.0,0.0,none
fluid_intelligence,0,2,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,2,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,2,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,2,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,2,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,2,A2_fc_laplacian,random,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,2,A3_msancr,matched,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,2,A3_msancr,random,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,2,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,2,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A0_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A0_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,3,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,3,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,3,A2_fc_laplacian,random,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,3,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,3,A3_msancr,random,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,3,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,4,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,4,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,4,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,matched,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,random,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A3_msancr,matched,10.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A3_msancr,random,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A4_modality_ridge,matched,1.0,1.0,0.0,0.0,none
fluid_intelligence,0,4,A4_modality_ridge,random,1.0,1.0,0.0,0.0,none
fluid_intelligence,1,0,A0_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,0,A0_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,0,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,0,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,0,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,0,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,0,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,0,A3_msancr,random,1.0,0.1,1.0,1.0,prod
fluid_intelligence,1,0,A4_modality_ridge,matched,1.0,0.1,0.0,0.0,none
fluid_intelligence,1,0,A4_modality_ridge,random,1.0,0.1,0.0,0.0,none
fluid_intelligence,1,1,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,1,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,1,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,1,A1_aniso_ridge,random,10.0,0.1,0.0,1.0,prod
fluid_intelligence,1,1,A2_fc_laplacian,matched,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,1,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,1,A3_msancr,matched,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,1,A3_msancr,random,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,1,A4_modality_ridge,matched,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,1,A4_modality_ridge,random,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,2,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,2,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,2,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,2,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,2,A2_fc_laplacian,matched,10.0,1.0,1.0,0.0,prod
fluid_intelligence,1,2,A2_fc_laplacian,random,10.0,1.0,1.0,0.0,prod
fluid_intelligence,1,2,A3_msancr,matched,10.0,1.0,1.0,1.0,prod
fluid_intelligence,1,2,A3_msancr,random,10.0,1.0,1.0,1.0,prod
fluid_intelligence,1,2,A4_modality_ridge,matched,10.0,1.0,0.0,0.0,none
fluid_intelligence,1,2,A4_modality_ridge,random,10.0,1.0,0.0,0.0,none
fluid_intelligence,1,3,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,3,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,3,A1_aniso_ridge,matched,0.1,0.1,0.0,1.0,prod
fluid_intelligence,1,3,A1_aniso_ridge,random,0.1,0.1,0.0,1.0,prod
fluid_intelligence,1,3,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,3,A2_fc_laplacian,random,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,3,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,3,A3_msancr,random,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,3,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,3,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,4,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,4,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,4,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,4,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,4,A2_fc_laplacian,matched,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,4,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,4,A3_msancr,matched,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,4,A3_msancr,random,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,4,A4_modality_ridge,matched,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,4,A4_modality_ridge,random,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,0,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,0,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,0,A1_aniso_ridge,matched,1.0,1.0,0.0,1.0,prod
fluid_intelligence,2,0,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,0,A2_fc_laplacian,matched,1.0,1.0,1.0,0.0,prod
fluid_intelligence,2,0,A2_fc_laplacian,random,1.0,1.0,1.0,0.0,prod
fluid_intelligence,2,0,A3_msancr,matched,1.0,1.0,1.0,1.0,prod
fluid_intelligence,2,0,A3_msancr,random,1.0,1.0,1.0,1.0,prod
fluid_intelligence,2,0,A4_modality_ridge,matched,1.0,1.0,0.0,0.0,none
fluid_intelligence,2,0,A4_modality_ridge,random,1.0,1.0,0.0,0.0,none
fluid_intelligence,2,1,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,1,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,1,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,1,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,1,A2_fc_laplacian,matched,1.0,0.1,1.0,0.0,prod
fluid_intelligence,2,1,A2_fc_laplacian,random,1.0,0.1,1.0,0.0,prod
fluid_intelligence,2,1,A3_msancr,matched,1.0,0.1,1.0,1.0,prod
fluid_intelligence,2,1,A3_msancr,random,1.0,0.1,1.0,1.0,prod
fluid_intelligence,2,1,A4_modality_ridge,matched,1.0,0.1,0.0,0.0,none
fluid_intelligence,2,1,A4_modality_ridge,random,1.0,0.1,0.0,0.0,none
fluid_intelligence,2,2,A0_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A0_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A1_aniso_ridge,matched,0.1,0.1,0.0,1.0,prod
fluid_intelligence,2,2,A1_aniso_ridge,random,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,2,A2_fc_laplacian,matched,0.1,0.1,1.0,0.0,prod
fluid_intelligence,2,2,A2_fc_laplacian,random,0.1,0.1,1.0,0.0,prod
fluid_intelligence,2,2,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
fluid_intelligence,2,2,A3_msancr,random,0.1,0.1,1.0,1.0,prod
fluid_intelligence,2,2,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,3,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,3,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,3,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,3,A1_aniso_ridge,random,10.0,0.1,0.0,1.0,prod
fluid_intelligence,2,3,A2_fc_laplacian,matched,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,3,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,3,A3_msancr,matched,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,3,A3_msancr,random,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,3,A4_modality_ridge,matched,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,3,A4_modality_ridge,random,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,4,A0_ridge,matched,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,4,A0_ridge,random,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,4,A1_aniso_ridge,matched,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,4,A1_aniso_ridge,random,10.0,0.1,0.0,1.0,prod
fluid_intelligence,2,4,A2_fc_laplacian,matched,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,4,A2_fc_laplacian,random,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,4,A3_msancr,matched,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,4,A3_msancr,random,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,4,A4_modality_ridge,matched,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,4,A4_modality_ridge,random,10.0,0.1,0.0,0.0,none
working_memory,0,0,A0_ridge,matched,0.1,0.1,0.0,0.0,none
working_memory,0,0,A0_ridge,random,0.1,0.1,0.0,0.0,none
working_memory,0,0,A1_aniso_ridge,matched,0.1,0.1,0.0,1.0,prod
working_memory,0,0,A1_aniso_ridge,random,0.1,0.1,0.0,1.0,prod
working_memory,0,0,A2_fc_laplacian,matched,0.1,10.0,1.0,0.0,prod
working_memory,0,0,A2_fc_laplacian,random,0.1,10.0,1.0,0.0,prod
working_memory,0,0,A3_msancr,matched,0.1,1.0,1.0,1.0,prod
working_memory,0,0,A3_msancr,random,0.1,10.0,1.0,1.0,prod
working_memory,0,0,A4_modality_ridge,matched,0.1,10.0,0.0,0.0,none
working_memory,0,0,A4_modality_ridge,random,0.1,10.0,0.0,0.0,none
working_memory,0,1,A0_ridge,matched,10.0,10.0,0.0,0.0,none
working_memory,0,1,A0_ridge,random,10.0,10.0,0.0,0.0,none
working_memory,0,1,A1_aniso_ridge,matched,0.1,0.1,0.0,1.0,prod
working_memory,0,1,A1_aniso_ridge,random,0.1,0.1,0.0,1.0,prod
working_memory,0,1,A2_fc_laplacian,matched,0.1,1.0,1.0,0.0,prod
working_memory,0,1,A2_fc_laplacian,random,0.1,1.0,1.0,0.0,prod
working_memory,0,1,A3_msancr,matched,0.1,0.1,1.0,1.0,prod
working_memory,0,1,A3_msancr,random,0.1,0.1,1.0,1.0,prod
working_memory,0,1,A4_modality_ridge,matched,0.1,0.1,0.0,0.0,none
working_memory,0,1,A4_modality_ridge,random,0.1,0.1,0.0,0.0,none
working_memory,0,2,A0_ridge,matched,10.0,10.0,0.0,0.0,none
working_memory,0,2,A0_ridge,random,10.0,10.0,0.0,0.0,none
working_memory,0,2,A1_aniso_ridge,matched,1.0,1.0,0.0,1.0,prod
