target,seed,fold,model_id,prior_type,pearson,rmse,mae,n_train,n_val,n_test,selected_lambda_fc,selected_lambda_sc,selected_lambda_l,selected_gamma,selected_lifting
fluid_intelligence,0,0,A0_ridge,matched,0.5267272853623304,3.770126186526717,2.913423023594709,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,0,A0_ridge,random,0.5267272853623304,3.770126186526717,2.913423023594709,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,0,A1_aniso_ridge,matched,0.507895810231084,3.7855254903060658,2.971375887019251,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,0,A1_aniso_ridge,random,0.522756365367073,3.751066993500297,2.9633186280327024,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,0,A2_fc_laplacian,matched,0.49855728209886746,3.8302117147247463,2.9960127768742195,279,50,83,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,0,A2_fc_laplacian,random,0.4949449129419075,3.8403668425194644,2.9875081003460786,279,50,83,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,0,A3_msancr,matched,0.49742701541253287,3.833104910692804,2.9948321070767054,279,50,83,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,0,A3_msancr,random,0.49716585436788047,3.8390022999699713,2.992584679171977,279,50,83,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,0,A4_modality_ridge,matched,0.49628321140307413,3.8437387071089644,3.0023618223892057,279,50,83,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,0,A4_modality_ridge,random,0.49628321140307413,3.8437387071089644,3.0023618223892057,279,50,83,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,1,A0_ridge,matched,0.3001081391295255,4.9906681508618,4.157302447778954,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,1,A0_ridge,random,0.3001081391295255,4.9906681508618,4.157302447778954,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,1,A1_aniso_ridge,matched,0.3579361500646627,4.786299897226702,4.110017047366732,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,1,A1_aniso_ridge,random,0.36353376349559363,4.7606328729235,4.1248964101633225,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,1,A2_fc_laplacian,matched,0.3574648951955734,4.7528352754687,4.062242070059292,279,50,83,10.0,0.1,1.0,0.0,prod
fluid_intelligence,0,1,A2_fc_laplacian,random,0.3575075993549097,4.752743281299149,4.062189318021222,279,50,83,10.0,0.1,1.0,0.0,prod
fluid_intelligence,0,1,A3_msancr,matched,0.3636339924879211,4.740565281332494,4.054683462997437,279,50,83,10.0,0.1,1.0,1.0,prod
fluid_intelligence,0,1,A3_msancr,random,0.35847446718100734,4.751295929844368,4.064725670841201,279,50,83,10.0,0.1,1.0,1.0,prod
fluid_intelligence,0,1,A4_modality_ridge,matched,0.35754494551060956,4.752650230915202,4.062143584992275,279,50,83,10.0,0.1,0.0,0.0,none
fluid_intelligence,0,1,A4_modality_ridge,random,0.35754494551060956,4.752650230915202,4.062143584992275,279,50,83,10.0,0.1,0.0,0.0,none
fluid_intelligence,0,2,A0_ridge,matched,0.32005687462201676,5.008731483805015,4.264782313621442,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,2,A0_ridge,random,0.32005687462201676,5.008731483805015,4.264782313621442,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,2,A1_aniso_ridge,matched,0.29946070888086085,5.050370147461704,4.317573939164332,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,2,A1_aniso_ridge,random,0.30677624483183163,4.990412731495749,4.260714852901241,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,2,A2_fc_laplacian,matched,0.31575503169228014,4.99907157424233,4.212796791152747,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,2,A2_fc_laplacian,random,0.31965001308104674,4.996298572780242,4.21197135051141,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,2,A3_msancr,matched,0.31560423928225956,4.89803054387034,4.280274221990265,280,50,82,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,2,A3_msancr,random,0.3188232254409812,4.895455108467071,4.2766014168781945,280,50,82,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,2,A4_modality_ridge,matched,0.3166020072821806,5.004916698777536,4.207126024377001,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,2,A4_modality_ridge,random,0.3166020072821806,5.004916698777536,4.207126024377001,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A0_ridge,matched,0.1263532698112326,4.965929144817987,4.208337460903415,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A0_ridge,random,0.1263532698112326,4.965929144817987,4.208337460903415,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A1_aniso_ridge,matched,0.21816569854649925,4.702065138792601,3.940112605416473,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,3,A1_aniso_ridge,random,0.19843907388474477,4.754048625069177,3.9602284453168024,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,3,A2_fc_laplacian,matched,0.1796722421543512,4.789913388774309,4.094495717902818,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,3,A2_fc_laplacian,random,0.18058225262217853,4.796585693569588,4.108409896419053,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,0,3,A3_msancr,matched,0.18193630255383472,4.788977190944614,4.091442176622263,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,3,A3_msancr,random,0.18077837728886004,4.800619656695313,4.102332559417745,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,0,3,A4_modality_ridge,matched,0.1790302745675257,4.8077216044795765,4.122548322695393,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,3,A4_modality_ridge,random,0.1790302745675257,4.8077216044795765,4.122548322695393,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,0,4,A0_ridge,matched,0.36717327943677164,4.826697972725222,3.881992094164601,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,4,A0_ridge,random,0.36717327943677164,4.826697972725222,3.881992094164601,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,4,A1_aniso_ridge,matched,0.41573719806952103,4.687754953589181,3.772921735447847,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A1_aniso_ridge,random,0.4113142765183277,4.688515642154337,3.701374981434006,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,matched,0.41985745304371747,4.708409919920033,3.860098707347525,280,50,82,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,random,0.42272603030217315,4.70254230934743,3.8541596930394215,280,50,82,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A3_msancr,matched,0.41774344592931567,4.712616555536207,3.873095482991666,280,50,82,10.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A3_msancr,random,0.4351860450723668,4.677836522358364,3.820095756512826,280,50,82,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A4_modality_ridge,matched,0.42268950650516246,4.700730352080461,3.8518203991855375,280,50,82,1.0,1.0,0.0,0.0,none
fluid_intelligence,0,4,A4_modality_ridge,random,0.42268950650516246,4.700730352080461,3.8518203991855375,280,50,82,1.0,1.0,0.0,0.0,none
fluid_intelligence,1,0,A0_ridge,matched,0.2527832538641549,4.557899586860011,3.6055055370338893,279,50,83,0.1,0.1,0.0,0.0,none
