seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,0,B,A2_fc_laplacian,matched,65746b28d706d493,matched|g=0|lift=prod,0.01,1.0,5.0,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2607173715699499,13.172945712672009,10.709675880623957
0,0,1,B,A2_fc_laplacian,matched,65746b28d706d493,matched|g=0|lift=prod,0.01,1.0,5.0,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.260231761741292,12.699095906560297,10.34936752401246
0,0,2,B,A2_fc_laplacian,matched,65746b28d706d493,matched|g=0|lift=prod,0.01,1.0,5.0,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2895898751624882,11.46434925562056,9.436030493740464
0,0,0,B,A2_fc_laplacian,matched,86395d7236e1cc8e,matched|g=0|lift=prod,0.01,1.0,1.0,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2627278848432856,13.154651066031692,10.701156919413783
0,0,1,B,A2_fc_laplacian,matched,86395d7236e1cc8e,matched|g=0|lift=prod,0.01,1.0,1.0,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2676955362897258,12.661188073263563,10.319282432277376
0,0,2,B,A2_fc_laplacian,matched,86395d7236e1cc8e,matched|g=0|lift=prod,0.01,1.0,1.0,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2908613815368354,11.42766195098537,9.39097156593597
0,0,0,B,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2687897083590039,13.102239433386483,10.687667221766418
0,0,1,B,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2844109428911587,12.582517198981591,10.232202252087957
0,0,2,B,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2934671241129026,11.365975205126784,9.323138314480463
0,0,0,B,A2_fc_laplacian,matched,cfada7049007024c,matched|g=0|lift=prod,0.01,1.0,0.5,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2642387866778412,13.14113912311172,10.69610579399993
0,0,1,B,A2_fc_laplacian,matched,cfada7049007024c,matched|g=0|lift=prod,0.01,1.0,0.5,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2728799268592096,12.637321905653152,10.295778129486632
0,0,2,B,A2_fc_laplacian,matched,cfada7049007024c,matched|g=0|lift=prod,0.01,1.0,0.5,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2916945640381945,11.40480307121064,9.365956545222204
