target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_from_prior,selected_hyperparameter_hash,coefficient_artifact,lambda_fc,lambda_sc,lambda_l,gamma,lifting,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
working_memory,0,0,A3_msancr,random,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,4004d65ca47a27a5,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed00_fold00.npz,0.01,1.0,0.1,0.25,mean,-0.0655010356124237,-0.0379609362763279,0.0526315789473684,0.1176374985308675,12.284952467009422,10.133661208403632
working_memory,0,0,A3_msancr,shuffled,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,4004d65ca47a27a5,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed00_fold00.npz,0.01,1.0,0.1,0.25,mean,0.0122612177033664,-0.0518289110712369,0.0526315789473684,0.1337879579102444,12.50962653516143,10.17861123825165
working_memory,0,0,A3_msancr,unrelated,fixed_prior_swap,329,83,1a5da6a5862e939c,matched,4004d65ca47a27a5,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed00_fold00.npz,0.01,1.0,0.1,0.25,mean,-0.3588663085064876,0.0805342724913787,0.0526315789473684,0.1398718404658382,12.032340837887649,9.86085095240015
working_memory,0,1,A3_msancr,random,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.2160392726510762,0.21911015488722,0.1111111111111111,0.1287074173334053,10.92756725518011,8.606620923949123
working_memory,0,1,A3_msancr,shuffled,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.0552834542255487,0.0463509648554393,0.0526315789473684,0.1037139065579661,11.002655067414512,8.646683502423564
working_memory,0,1,A3_msancr,unrelated,fixed_prior_swap,329,83,c55ff7edd3b18f4b,matched,cc9164c2e0fdc652,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed00_fold01.npz,1.0,10.0,0.1,0.5,mean,0.6280593633946023,0.6743836497562042,0.25,0.1254337440734056,10.958685033391204,8.658534955099332
working_memory,0,2,A3_msancr,random,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,-0.0491498564203743,0.0552410868390828,0.0526315789473684,0.2005389186500247,12.410317810198473,9.52179567387248
working_memory,0,2,A3_msancr,shuffled,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,-0.0546605445552355,-0.0804034788317319,0.0,0.1569807380749801,12.587866483976944,9.778940587817685
working_memory,0,2,A3_msancr,unrelated,fixed_prior_swap,330,82,dec2cf043052fa14,matched,ac9f30ca4c9d7459,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed00_fold02.npz,0.1,1.0,1.0,0.5,prod,0.119589320283132,0.3477534128945855,0.1111111111111111,0.1360674296503968,12.798801126253892,9.90431392414463
working_memory,0,3,A3_msancr,random,fixed_prior_swap,330,82,1a527e0271dad131,matched,4093179c6c4d5fbb,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed00_fold03.npz,0.1,1.0,5.0,0.5,mean,0.004086918160029724,0.08735862402707045,0.0,0.38762214378918386,10.560688719700918,9.031415859852281
