method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
mt_ncr_independent,fluid_intelligence,0,0,seed00_fold00,279.0,50.0,83.0,0.0,0.0,0.0,159.63659930229187,0.4962832114030741,3.843738707108965,3.002361822389205,
mt_ncr_independent,working_memory,0,0,seed00_fold00,279.0,50.0,83.0,0.0,0.0,0.0,159.63660335540771,0.1225021861500962,9.418688393296517,7.922150874004552,
mt_ncr_independent,jaccard_top10pct,0,0,seed00_fold00,,,,,,,,,,,0.0988467874794069
mt_ncr_joint_l21,fluid_intelligence,0,0,seed00_fold00,279.0,50.0,83.0,10.0,0.0,0.0,225.0987608432769,0.3721767804079126,4.197616689720287,3.569667300355688,
mt_ncr_joint_l21,working_memory,0,0,seed00_fold00,279.0,50.0,83.0,10.0,0.0,0.0,225.09876561164856,0.1225026048272892,9.41868770821909,7.922150070184633,
mt_ncr_joint_l21,jaccard_top10pct,0,0,seed00_fold00,,,,,,,,,,,0.2716873212583413
no_prior_ridge,fluid_intelligence,0,0,seed00_fold00,279.0,50.0,83.0,0.0,0.0,0.0,2.2114474773406982,0.4962832114030736,3.843738707108966,3.002361822389208,
no_prior_ridge,working_memory,0,0,seed00_fold00,279.0,50.0,83.0,0.0,0.0,0.0,2.211452007293701,0.1225021861500961,9.418688393296517,7.922150874004552,
mt_ncr_independent,fluid_intelligence,0,1,seed00_fold01,279.0,50.0,83.0,0.0,0.0,0.0,27.286027669906616,0.3286328727925056,4.795932997629168,4.114937418996482,
mt_ncr_independent,working_memory,0,1,seed00_fold01,279.0,50.0,83.0,0.0,0.0,0.0,27.286033153533936,0.1731125316814489,10.84543612771412,8.628171857312877,
mt_ncr_independent,jaccard_top10pct,0,1,seed00_fold01,,,,,,,,,,,0.0979423868312757
mt_ncr_joint_l21,fluid_intelligence,0,1,seed00_fold01,279.0,50.0,83.0,1.0,0.0,0.0,136.86612677574158,0.3286333767884643,4.795932145832342,4.114936963729292,
mt_ncr_joint_l21,working_memory,0,1,seed00_fold01,279.0,50.0,83.0,1.0,0.0,0.0,136.86613035202026,0.1731123860591099,10.845436230223504,8.628172874208207,
mt_ncr_joint_l21,jaccard_top10pct,0,1,seed00_fold01,,,,,,,,,,,0.1774051191526919
no_prior_ridge,fluid_intelligence,0,1,seed00_fold01,279.0,50.0,83.0,0.0,0.0,0.0,3.4076106548309326,0.3286328727925057,4.795932997629167,4.114937418996482,
no_prior_ridge,working_memory,0,1,seed00_fold01,279.0,50.0,83.0,0.0,0.0,0.0,3.407614231109619,0.1731125316814482,10.845436127714123,8.62817185731288,
mt_ncr_independent,fluid_intelligence,0,2,seed00_fold02,280.0,50.0,82.0,0.0,0.0,0.0,26.048413038253784,0.3166020072821797,5.00491669877754,4.207126024377002,
mt_ncr_independent,working_memory,0,2,seed00_fold02,280.0,50.0,82.0,0.0,0.0,0.0,26.048417329788208,0.1835559324243734,12.297820017570952,9.576821255785214,
mt_ncr_independent,jaccard_top10pct,0,2,seed00_fold02,,,,,,,,,,,0.1061359867330016
mt_ncr_joint_l21,fluid_intelligence,0,2,seed00_fold02,280.0,50.0,82.0,0.1,0.0,0.0,148.4154613018036,0.3166010143511272,5.004920252094557,4.207126826403669,
mt_ncr_joint_l21,working_memory,0,2,seed00_fold02,280.0,50.0,82.0,0.1,0.0,0.0,148.4154725074768,0.1835570648996324,12.297820446543248,9.576824477935473,
mt_ncr_joint_l21,jaccard_top10pct,0,2,seed00_fold02,,,,,,,,,,,0.1480206540447504
no_prior_ridge,fluid_intelligence,0,2,seed00_fold02,280.0,50.0,82.0,0.0,0.0,0.0,2.8328187465667725,0.3166020072821794,5.004916698777541,4.207126024377005,
no_prior_ridge,working_memory,0,2,seed00_fold02,280.0,50.0,82.0,0.0,0.0,0.0,2.8328213691711426,0.1835559324243739,12.297820017570947,9.576821255785214,
mt_ncr_independent,fluid_intelligence,0,3,seed00_fold03,280.0,50.0,82.0,0.0,0.0,0.0,30.543705940246586,0.1680819883211552,4.910270413330272,4.199452165433157,
mt_ncr_independent,working_memory,0,3,seed00_fold03,280.0,50.0,82.0,0.0,0.0,0.0,30.54371023178101,0.3143492861728513,10.872167604103112,9.289910972495326,
mt_ncr_independent,jaccard_top10pct,0,3,seed00_fold03,,,,,,,,,,,0.0988467874794069
mt_ncr_joint_l21,fluid_intelligence,0,3,seed00_fold03,280.0,50.0,82.0,1.0,0.0,0.0,142.65998601913452,0.2226643488179556,4.558620513596805,3.882994199030377,
