seed,fold,model,pearson
0,0,A4,0.3771
0,0,A3,0.2593
0,0,LF0,0.465
0,0,LF1,0.4937
0,0,LF2,0.465
0,1,A4,0.3495
0,1,A3,0.2706
0,1,LF0,0.3507
0,1,LF1,0.3686
0,1,LF2,0.3686
0,2,A4,0.2814
0,2,A3,0.1541
0,2,LF0,0.3285
0,2,LF1,0.3311
0,2,LF2,0.3311
0,3,A4,0.1762
0,3,A3,0.1074
0,3,LF0,0.2161
0,3,LF1,0.227
0,3,LF2,0.227
0,4,A4,0.4169
0,4,A3,0.2452
0,4,LF0,0.4505
0,4,LF1,0.447
0,4,LF2,0.447
1,0,A4,0.3013
1,0,A3,0.3063
1,0,LF0,0.2699
1,0,LF1,0.3089
1,0,LF2,0.3089
1,1,A4,0.3691
1,1,A3,0.2215
1,1,LF0,0.4063
1,1,LF1,0.4032
1,1,LF2,0.4032
1,2,A4,0.354
1,2,A3,0.3268
1,2,LF0,0.388
1,2,LF1,0.4421
1,2,LF2,0.4449
1,3,A4,0.2923
1,3,A3,0.1431
1,3,LF0,0.2923
1,3,LF1,0.2826
1,3,LF2,0.2805
1,4,A4,0.1909
1,4,A3,0.2847
1,4,LF0,0.2778
1,4,LF1,0.3517
1,4,LF2,0.3354
2,0,A4,0.3959
2,0,A3,0.2523
2,0,LF0,0.4561
2,0,LF1,0.4564
2,0,LF2,0.4564
2,1,A4,0.2769
2,1,A3,0.1797
2,1,LF0,0.3102
2,1,LF1,0.3197
2,1,LF2,0.3197
2,2,A4,0.3165
2,2,A3,0.2141
2,2,LF0,0.417
2,2,LF1,0.4243
2,2,LF2,0.4243
2,3,A4,0.4565
2,3,A3,0.4111
2,3,LF0,0.4598
2,3,LF1,0.4785
2,3,LF2,0.4785
2,4,A4,0.3021
2,4,A3,0.1672
2,4,LF0,0.3633
2,4,LF1,0.3556
2,4,LF2,0.3556
