task,seed,fold,prior_type,pearson,rmse,mae
working_memory,0,0,unrelated,0.4935625416429272,3.8042675159866417,2.926708202672828
working_memory,0,0,shuffled,0.4803739715637328,3.8370835907546432,2.956279756531341
working_memory,0,0,random,0.4755062531938815,3.850222587403702,2.953570265097941
working_memory,0,1,unrelated,0.369577871542889,4.718353342401889,4.006847628272224
working_memory,0,1,shuffled,0.3739641422689386,4.711588729001488,3.987996361255492
working_memory,0,1,random,0.3767445300082495,4.70503789979649,4.004571682999607
working_memory,0,2,unrelated,0.3311347383725281,4.885598545955885,4.253081702525055
working_memory,0,2,shuffled,0.3317837551140122,4.879439134987037,4.256411625070875
working_memory,0,2,random,0.3319985939125922,4.88110863453584,4.248352659988407
working_memory,0,3,unrelated,0.2160538411571136,4.722930949721344,4.03370740775194
working_memory,0,3,shuffled,0.2160538411571136,4.722930949721344,4.03370740775194
working_memory,0,3,random,0.2160538411571136,4.722930949721344,4.03370740775194
working_memory,0,4,unrelated,0.4434193515980269,4.615580175445012,3.700583395701274
working_memory,0,4,shuffled,0.4741110398261873,4.548571055190038,3.650237009285556
working_memory,0,4,random,0.4494059720028476,4.60248835374716,3.6850953458752223
working_memory,1,0,unrelated,0.282856736238102,4.427601163469595,3.544627609888697
working_memory,1,0,shuffled,0.2830611612652625,4.420701948621915,3.547190153598712
working_memory,1,0,random,0.3014547780017838,4.391146551012339,3.519527259933518
working_memory,1,1,unrelated,0.4052074412691868,4.253745495969982,3.4781667911096523
working_memory,1,1,shuffled,0.4213039118473682,4.211317183652247,3.437682000481681
working_memory,1,1,random,0.4121921088096209,4.242209638010806,3.487407406674816
working_memory,1,2,unrelated,0.4312143539112415,4.822757136814262,4.110577602555032
working_memory,1,2,shuffled,0.4176871422947227,4.850014501322641,4.146758257517388
working_memory,1,2,random,0.4198640419509926,4.845388111650926,4.134185719722406
working_memory,1,3,unrelated,0.2960324435817695,5.0734839246296,4.378244604475254
working_memory,1,3,shuffled,0.2944633696315478,5.062991835668038,4.392742052737151
working_memory,1,3,random,0.2786700397152418,5.122215178112131,4.442333118820472
working_memory,1,4,unrelated,0.3200625878230165,4.648587605287638,3.849575634896552
working_memory,1,4,shuffled,0.3140709523594958,4.665654960349273,3.881842681775809
working_memory,1,4,random,0.3130695050708719,4.672335595812071,3.8858141399114894
working_memory,2,0,unrelated,0.4553689264780957,4.631274832407511,3.850630569466343
working_memory,2,0,shuffled,0.4571590020754641,4.626814808626601,3.843215884916894
working_memory,2,0,random,0.4535555945059514,4.635065510169633,3.849136856742092
working_memory,2,1,unrelated,0.3208330651393133,4.51185909207453,3.919356893786421
working_memory,2,1,shuffled,0.3335994587097516,4.501621165530492,3.962346486303221
working_memory,2,1,random,0.3090422730736534,4.547824471734103,3.989058645604713
working_memory,2,2,unrelated,0.4243303139982426,4.267093388867408,3.491322314077792
working_memory,2,2,shuffled,0.4084626761172823,4.3001960922812765,3.530699605196173
working_memory,2,2,random,0.4300195945078706,4.2529767704421335,3.47270942158141
working_memory,2,3,unrelated,0.4785486522408755,4.506261616335088,3.716024902437044
working_memory,2,3,shuffled,0.4682894978671105,4.533509433350888,3.728593353260284
working_memory,2,3,random,0.464775704891783,4.539103647224449,3.746630514761742
working_memory,2,4,unrelated,0.3555737329658582,4.547973148678244,3.888016056443997
working_memory,2,4,shuffled,0.3660984902867518,4.52791330688094,3.866304215793779
working_memory,2,4,random,0.3663690368278967,4.526488676132486,3.876161479863344
