task,seed,fold,prior_type,pearson,rmse,mae,w_fp,w_s
fluid_intelligence,0,0,matched,0.5068562904526167,3.77031410410168,2.906950642995556,0.3,0.7
fluid_intelligence,0,0,unrelated,0.4973689498160709,3.794879088555006,2.92212188462781,0.3,0.7
fluid_intelligence,0,0,shuffled,0.49868204522395493,3.7901294181170835,2.943783777013056,0.3,0.7
fluid_intelligence,0,0,random,0.4904157887159182,3.8124913770293163,2.9275908217159334,0.3,0.7
fluid_intelligence,0,1,matched,0.3689529294778181,4.7196944797099745,4.007442494707384,0.35,0.65
fluid_intelligence,0,1,unrelated,0.36519866625647524,4.7274372114121,4.0115489699796205,0.35,0.65
fluid_intelligence,0,1,shuffled,0.3676373726943524,4.721690560526165,3.9982248898702006,0.35,0.65
fluid_intelligence,0,1,random,0.3753049822701816,4.706248269433352,4.003106768002351,0.35,0.65
fluid_intelligence,0,2,matched,0.33051830412783134,4.881928179289505,4.249160810399762,0.4,0.6
fluid_intelligence,0,2,unrelated,0.32827579342579566,4.884664186350531,4.261528600233132,0.4,0.6
fluid_intelligence,0,2,shuffled,0.3365524475516742,4.86473059915164,4.249457353928595,0.4,0.6
fluid_intelligence,0,2,random,0.33194036206773353,4.87637172644687,4.243756190357877,0.4,0.6
fluid_intelligence,0,3,matched,0.22756558466653715,4.653814351527041,3.971300214264687,0.35,0.65
fluid_intelligence,0,3,unrelated,0.23531144704328683,4.632016409283318,3.944591004454294,0.35,0.65
fluid_intelligence,0,3,shuffled,0.23430414798055682,4.6360864840735445,3.9669756504942124,0.35,0.65
fluid_intelligence,0,3,random,0.21602166715798854,4.676293666688501,4.010052753714573,0.35,0.65
fluid_intelligence,0,4,matched,0.46463941347364884,4.592529161730442,3.7119409633233147,0.4,0.6
fluid_intelligence,0,4,unrelated,0.46536534675410246,4.594297957338801,3.70628014269477,0.4,0.6
fluid_intelligence,0,4,shuffled,0.44983155268596575,4.631645609679728,3.722478614371144,0.4,0.6
fluid_intelligence,0,4,random,0.45642329063022613,4.614044697706053,3.718286542828805,0.4,0.6
fluid_intelligence,1,0,matched,0.2703467731788337,4.464081193185517,3.5692052596692574,0.25,0.75
fluid_intelligence,1,0,unrelated,0.28079508151342164,4.442998996285138,3.5647862124012817,0.25,0.75
fluid_intelligence,1,0,shuffled,0.2759669314024752,4.453478016431291,3.574320571478314,0.25,0.75
fluid_intelligence,1,0,random,0.28522230669685,4.43469992173317,3.5526968000556205,0.25,0.75
fluid_intelligence,1,1,matched,0.3825843691252191,4.309870742102777,3.6263698737556207,0.4,0.6
fluid_intelligence,1,1,unrelated,0.3787005510630743,4.316391506202028,3.6300354091584697,0.4,0.6
fluid_intelligence,1,1,shuffled,0.38147483530407406,4.3120008147106805,3.625851382588019,0.4,0.6
fluid_intelligence,1,1,random,0.38411206019588234,4.309599364508531,3.628952730395321,0.4,0.6
