task,seed,fold,prior_type,pearson,rmse,mae,w_fp,w_s
working_memory,0,0,matched,0.11665833081095538,11.300936014691928,9.117385776032616,0.65,0.35
working_memory,0,0,unrelated,0.06863159618796957,11.527923394128337,9.433901204194651,0.65,0.35
working_memory,0,0,shuffled,0.14751161723355985,11.244768621152168,9.077454489192625,0.65,0.35
working_memory,0,0,random,0.08027122570790886,11.03750457489692,9.069880337290472,0.65,0.35
working_memory,0,1,matched,0.14314970629378965,10.97127149698902,8.773753894554838,0.85,0.15
working_memory,0,1,unrelated,0.14789205926082943,10.948205895582522,8.782107717659478,0.85,0.15
working_memory,0,1,shuffled,0.11187429682664536,11.004570888990335,8.695318421291532,0.85,0.15
working_memory,0,1,random,0.16729818698850013,10.859309630577885,8.654107547294501,0.85,0.15
working_memory,0,2,matched,0.2505546679518801,12.119201914991743,9.35672556505916,0.85,0.15
working_memory,0,2,unrelated,0.18665472274310815,12.408801554595083,9.556402687272344,0.85,0.15
working_memory,0,2,shuffled,0.1825934808325297,12.347208488146128,9.617872537099041,0.85,0.15
working_memory,0,2,random,0.23755616333344318,12.07507452154844,9.273982784879937,0.85,0.15
working_memory,0,3,matched,0.37454124223709745,10.607903749551928,9.030946474282912,0.5,0.5
working_memory,0,3,unrelated,0.35118176836230236,10.720686042485953,9.138587476790256,0.5,0.5
working_memory,0,3,shuffled,0.35825679138848876,10.682191010265091,9.17625007937407,0.5,0.5
working_memory,0,3,random,0.35436895900627563,10.699665288565326,9.02924567290021,0.5,0.5
working_memory,0,4,matched,0.3699804832083834,12.724088118456455,10.647441852583217,0.6,0.4
working_memory,0,4,unrelated,0.3386053755788254,12.89509598183812,10.818221107975965,0.6,0.4
working_memory,0,4,shuffled,0.36839400900441616,12.754774905253756,10.557132542531969,0.6,0.4
working_memory,0,4,random,0.36279947587580635,12.819317651252756,10.654543986334264,0.6,0.4
working_memory,1,0,matched,0.501622402422987,9.688844868165281,8.107226113264632,0.55,0.45
working_memory,1,0,unrelated,0.4542798866045001,10.010555681065673,8.416558507335735,0.55,0.45
working_memory,1,0,shuffled,0.5257259638948566,9.518309253951166,8.138915510157227,0.55,0.45
working_memory,1,0,random,0.5093389857559576,9.625552707509984,8.131847800289622,0.55,0.45
working_memory,1,1,matched,0.0594437434808327,12.022390340226375,9.794644299511342,0.8,0.2
working_memory,1,1,unrelated,0.0688927859710573,12.011920229723277,9.838246258025649,0.8,0.2
working_memory,1,1,shuffled,0.08066685016138883,11.869366883726416,9.6674980629377,0.8,0.2
working_memory,1,1,random,0.05439014894357889,12.049151126261622,9.870426995645884,0.8,0.2
working_memory,1,2,matched,0.20547852385907278,11.460614967109601,9.76063299870133,0.6,0.4
working_memory,1,2,unrelated,0.18471510286575774,11.56741967413875,9.87700506135708,0.6,0.4
working_memory,1,2,shuffled,0.19102583269050755,11.545718151344175,9.840811958650109,0.6,0.4
working_memory,1,2,random,0.18019536815604642,11.595666958224687,9.93936738590892,0.6,0.4
working_memory,1,3,matched,0.29334577207199375,11.646034419549045,9.428980031726885,0.7,0.3
working_memory,1,3,unrelated,0.2646143423021689,11.805201243394928,9.54146106141695,0.7,0.3
working_memory,1,3,shuffled,0.3155005432096991,11.477353316466399,9.372048900011414,0.7,0.3
working_memory,1,3,random,0.2847743558417347,11.66757590504868,9.549516398969502,0.7,0.3
working_memory,1,4,matched,0.3348470098780701,10.223919342604448,8.029679922169938,0.8,0.2
working_memory,1,4,unrelated,0.3277692121583199,10.251269052171388,8.069163985966936,0.8,0.2
working_memory,1,4,shuffled,0.26983528246099514,10.450385995655841,8.252037750641858,0.8,0.2
working_memory,1,4,random,0.3497459037385352,10.165442100931608,7.997910040948664,0.8,0.2
working_memory,2,0,matched,0.3778203927898254,11.494277070117542,9.52711443889816,0.6,0.4
working_memory,2,0,unrelated,0.356761199599113,11.614662122357332,9.586209412007008,0.6,0.4
working_memory,2,0,shuffled,0.35587152694082413,11.58391961030831,9.518942533102893,0.6,0.4
working_memory,2,0,random,0.3850534719626744,11.461960472029691,9.426432994935446,0.6,0.4
working_memory,2,1,matched,0.38659022929058323,10.2165122362736,8.46554202820701,0.65,0.35
working_memory,2,1,unrelated,0.38045458771985474,10.24235430510259,8.467391264799758,0.65,0.35
working_memory,2,1,shuffled,0.34364012819720924,10.379752547790197,8.58182309553243,0.65,0.35
working_memory,2,1,random,0.3671613805134857,10.299507709571245,8.543632943246356,0.65,0.35
working_memory,2,2,matched,0.24625249676290845,11.24074822548814,8.773054881207262,0.8,0.2
working_memory,2,2,unrelated,0.2125540840003303,11.358921284499448,8.90701801256226,0.8,0.2
working_memory,2,2,shuffled,0.15722843541496534,11.512995072276468,8.86779963914991,0.8,0.2
working_memory,2,2,random,0.22806246945941736,11.281432282028863,8.792198863699868,0.8,0.2
working_memory,2,3,matched,0.3520643347518803,10.754400836870401,9.275357625539467,1.0,0.0
working_memory,2,3,unrelated,0.324294131791499,10.843066226437095,9.354086611364282,1.0,0.0
working_memory,2,3,shuffled,0.3078158873520185,10.912999088051277,9.340320722882788,1.0,0.0
working_memory,2,3,random,0.31635819308539626,10.875204776086383,9.327030955053436,1.0,0.0
working_memory,2,4,matched,0.17949547759481613,10.753710195617366,8.558731156636362,0.75,0.25
working_memory,2,4,unrelated,0.18500018828345233,10.750162514975202,8.615405870723425,0.75,0.25
working_memory,2,4,shuffled,0.17215406922142742,10.742094976471583,8.65620380309085,0.75,0.25
working_memory,2,4,random,0.190275726971059,10.724311093501916,8.643210003498977,0.75,0.25
