seed,model,pearson,rmse,mae
0,A3,0.24011063537115707,4.93242945132068,4.1244538111285785
0,A4,0.31945286233595166,4.730812800044091,3.8942973382751602
0,LF0,0.3617271702038168,4.595460676650418,3.8034655207385932
0,LF1,0.37970650443969045,4.523656055271728,3.769359025138141
0,LF2,0.37002556581286195,4.550052060147648,3.7837749993445344
1,A3,0.2145217570059815,4.890533276349511,4.1738164280195695
1,A4,0.30152104377468086,4.8072740457096845,3.9950918783833353
1,LF0,0.3268680595794435,4.709782032435754,3.9033657337427163
1,LF1,0.3480045465437692,4.628438089344731,3.885647415491961
1,LF2,0.3403418097641495,4.646684633731504,3.886507012907443
2,A3,0.2553345189791823,4.761836237878549,4.050241370429189
2,A4,0.34958924044128203,4.681183812926816,3.8875951971416685
2,LF0,0.4012801752803573,4.517440091145172,3.7362651076421516
2,LF1,0.4100848861312888,4.488513396870225,3.7826669939374886
2,LF2,0.4076477918297122,4.482209478860179,3.7465327700848605
