seed,outer_fold,model,pearson,rmse,mae,lf0_w_f0,lf0_w_s,lf1_w_fp,lf1_w_s,lf2_w_f0,lf2_w_s,lf2_w_fp
0,0,A4,0.3771230840647171,4.158978232847944,3.167507696695845,,,,,,,
0,0,A3,0.27332966524202695,4.5708473223502795,3.571781911076305,,,,,,,
0,0,LF0,0.4649761292338065,3.885163806789091,2.972604113481437,,,,,,,
0,0,LF1,0.5068562904526167,3.77031410410168,2.906950642995556,,,,,,,
0,0,LF2,0.4649761292338065,3.885163806789091,2.972604113481437,0.3,0.7,0.3,0.7,0.3,0.7,-0.0
0,1,A4,0.350423491103006,4.836695420684998,4.080701632737047,,,,,,,
0,1,A3,0.3580082372258423,4.791773944392906,4.054236709884787,,,,,,,
0,1,LF0,0.3511226532708102,4.811011695829151,4.069326563848773,,,,,,,
0,1,LF1,0.3689529294778181,4.7196944797099745,4.007442494707384,,,,,,,
0,1,LF2,0.3689529294778181,4.7196944797099745,4.007442494707384,0.0,1.0,0.35,0.65,0.0,0.65,0.35
0,2,A4,0.28135895769248737,5.026636613858924,4.225216366006695,,,,,,,
0,2,A3,0.15412309984508699,5.200030970041618,4.48712613538273,,,,,,,
0,2,LF0,0.3285498507861031,4.942283798869258,4.256147044915364,,,,,,,
0,2,LF1,0.33051830412783134,4.881928179289505,4.249160810399762,,,,,,,
0,2,LF2,0.33051830412783134,4.881928179289505,4.249160810399762,0.15,0.85,0.4,0.6,0.0,0.6,0.4
0,3,A4,0.1715084520391163,4.955629765599885,4.255727091544933,,,,,,,
0,3,A3,0.11083798142326046,5.202957715158408,4.427933659969507,,,,,,,
0,3,LF0,0.2135331241958624,4.750734437258586,4.056762959256402,,,,,,,
0,3,LF1,0.22756558466653715,4.653814351527041,3.971300214264687,,,,,,,
0,3,LF2,0.22202059483170158,4.682411573635238,4.005303630061088,0.3,0.7,0.35,0.65,0.1,0.65,0.25
0,4,A4,0.4168503267804315,4.676123967228704,3.7423339043912835,,,,,,,
0,4,A3,0.30425419311956875,4.896537304660191,4.081190639329564,,,,,,,
0,4,LF0,0.45045409353250154,4.588109644506002,3.662486922190988,,,,,,,
0,4,LF1,0.46463941347364884,4.592529161730442,3.7119409633233147,,,,,,,
0,4,LF2,0.46365987139315223,4.5810622613144325,3.684363948073001,0.2,0.8,0.4,0.6,0.05,0.65,0.3
1,0,A4,0.30126606595288924,4.435862885339374,3.564288635556021,,,,,,,
1,0,A3,0.2405887005693842,4.677970537546819,3.827412437282389,,,,,,,
1,0,LF0,0.26989064295454424,4.490187244225936,3.614847054462818,,,,,,,
1,0,LF1,0.2703467731788337,4.464081193185517,3.5692052596692574,,,,,,,
1,0,LF2,0.2703467731788337,4.464081193185517,3.5692052596692574,0.2,0.8,0.25,0.75,0.0,0.75,0.25
1,1,A4,0.3691178828872468,4.409775762786462,3.620265743418905,,,,,,,
1,1,A3,0.11483499348400042,4.700229287872298,4.079381228471733,,,,,,,
1,1,LF0,0.40628830594911686,4.266131043179036,3.48119065639002,,,,,,,
1,1,LF1,0.3825843691252191,4.309870742102777,3.6263698737556207,,,,,,,
1,1,LF2,0.40846721799261176,4.2415632077094605,3.493870991204118,0.2,0.8,0.4,0.6,0.15,0.65,0.2
1,2,A4,0.3540440524502408,4.9839410362941985,4.109067495883437,,,,,,,
1,2,A3,0.3268200463389484,5.0109689039508245,4.3855513574437754,,,,,,,
1,2,LF0,0.38804473255042726,4.887606105069283,4.041454398929668,,,,,,,
1,2,LF1,0.4520422123898718,4.821243485026942,4.148839990954124,,,,,,,
1,2,LF2,0.43480225408103457,4.8300094522244,4.137235740664086,0.4,0.6,0.65,0.35,0.1,0.35,0.55
1,3,A4,0.29231151079855244,5.138252152032723,4.4436558588237505,,,,,,,
