seed,outer_fold,model,pearson,rmse,mae,lf0_w_f0,lf0_w_s,lf1_w_fp,lf1_w_s,lf2_w_f0,lf2_w_s,lf2_w_fp
0,0,A4,0.09765510126603555,10.66091939840529,8.772729258711854,,,,,,,
0,0,A3,0.11939900222154552,13.293633908878139,10.849346294887376,,,,,,,
0,0,LF0,0.10555496530303918,11.034000913448239,9.08166262626738,,,,,,,
0,0,LF1,0.11665833081095538,11.300936014691928,9.117385776032616,,,,,,,
0,0,LF2,0.10699356612580496,11.033169031677547,9.07186210126494,0.65,0.35,0.65,0.35,0.6,0.35,0.05
0,1,A4,0.2737125362144133,10.802320455520803,8.690838714550331,,,,,,,
0,1,A3,0.10563366393850203,11.16187429597567,8.897205230187883,,,,,,,
0,1,LF0,0.267061479723528,10.951706041180113,8.874713119236352,,,,,,,
0,1,LF1,0.14314970629378965,10.97127149698902,8.773753894554838,,,,,,,
0,1,LF2,0.14314970629378965,10.97127149698902,8.773753894554838,0.6,0.4,0.85,0.15,0.0,0.15,0.85
0,2,A4,0.23753010573600186,11.880480753190636,9.0615507299012,,,,,,,
0,2,A3,0.1996861548453264,12.226706407834588,9.639705067683,,,,,,,
0,2,LF0,0.20475322621376763,12.390703369106507,9.39124250099033,,,,,,,
0,2,LF1,0.2505546679518801,12.119201914991743,9.35672556505916,,,,,,,
0,2,LF2,0.2505546679518801,12.119201914991743,9.35672556505916,0.75,0.25,0.85,0.15,0.0,0.15,0.85
0,3,A4,0.3868720708263105,10.600793940224394,8.880300394130204,,,,,,,
0,3,A3,0.4357163720881708,10.36649988336217,8.743774232851804,,,,,,,
0,3,LF0,0.3607608874883574,10.709338235358997,9.00343267219906,,,,,,,
0,3,LF1,0.37454124223709745,10.607903749551928,9.030946474282912,,,,,,,
0,3,LF2,0.3815945944178914,10.575877000247033,8.99082054028351,0.4,0.6,0.5,0.5,0.1,0.5,0.4
0,4,A4,0.32715097770078894,12.985317414797976,10.76909433395524,,,,,,,
