task,seed,fold,LF2_pearson,LF0_pearson,equivalent,delta
working_memory,0,0,0.1447752646132126,0.0940177135284734,False,0.0507575510847392
working_memory,0,1,0.1591447066748104,0.267061479723528,False,-0.1079167730487176
working_memory,0,2,0.2566232719996852,0.2118369463066792,False,0.044786325693006
working_memory,0,3,0.4011506336627636,0.3730347323884084,False,0.028115901274355204
working_memory,0,4,0.3235373061048436,0.3150537570838596,False,0.008483549020984027
working_memory,1,0,0.5097750487172903,0.5133941073542583,False,-0.0036190586369679867
working_memory,1,1,0.0876407790448757,0.1046026576541086,False,-0.0169618786092329
working_memory,1,2,0.2054785238590727,0.1599847999461039,False,0.0454937239129688
working_memory,1,3,0.3238107396991987,0.2762261993249704,False,0.047584540374228324
working_memory,1,4,0.3317227948851974,0.2840966121904795,False,0.04762618269471791
working_memory,2,0,0.3499062151197848,0.3362547245844169,False,0.013651490535367905
working_memory,2,1,0.3921939701061982,0.3730505288246283,False,0.019143441281569917
working_memory,2,2,0.2541255813468849,0.2747527387595511,False,-0.020627157412666186
working_memory,2,3,0.3033004022091712,0.2742920434569311,False,0.029008358752240115
working_memory,2,4,0.2162522278064273,0.2031969676180845,False,0.013055260188342799
fluid_intelligence,0,0,0.465,0.465,True,0.0
fluid_intelligence,0,1,0.3686,0.3507,False,0.01789999999999997
fluid_intelligence,0,2,0.3311,0.3285,False,0.002599999999999991
fluid_intelligence,0,3,0.227,0.2161,False,0.01090000000000002
fluid_intelligence,0,4,0.447,0.4505,False,-0.003500000000000003
fluid_intelligence,1,0,0.3089,0.2699,False,0.039000000000000035
fluid_intelligence,1,1,0.4032,0.4063,False,-0.0030999999999999917
fluid_intelligence,1,2,0.4449,0.388,False,0.056900000000000006
fluid_intelligence,1,3,0.2805,0.2923,False,-0.011799999999999977
fluid_intelligence,1,4,0.3354,0.2778,False,0.057599999999999985
fluid_intelligence,2,0,0.4564,0.4561,False,0.00029999999999996696
fluid_intelligence,2,1,0.3197,0.3102,False,0.009500000000000008
fluid_intelligence,2,2,0.4243,0.417,False,0.007300000000000029
fluid_intelligence,2,3,0.4785,0.4598,False,0.018699999999999994
fluid_intelligence,2,4,0.3556,0.3633,False,-0.007699999999999985
