task,seed,model,pearson,rmse,mae
working_memory,0,A4,0.2602375301355685,11.431959297116327,9.276816940234985
working_memory,1,A4,0.2628796396366357,11.287327989233471,9.231843233655145
working_memory,2,A4,0.2998896920447924,11.194615010491246,9.068543610533295
working_memory,0,A3,0.2281553205528602,11.754545941269011,9.511394374451765
working_memory,1,A3,0.29059544009563887,11.080156705964574,8.984754161352368
working_memory,2,A3,0.31122149082520423,11.413851449194935,9.233157573916802
working_memory,0,LF0,0.25220092580618975,11.64114061347723,9.442803693618831
working_memory,1,LF0,0.26766087529398414,11.297574871800112,9.237545745575009
working_memory,2,LF0,0.29230940064872235,11.455441651849771,9.224423513200687
working_memory,0,LF1,0.2598190326715494,11.358564204790548,9.252166839638393
working_memory,1,LF1,0.28631721021381534,11.008891691723493,8.989120813807315
working_memory,2,LF1,0.3081705783702902,11.134157489604066,9.065287003173475
working_memory,0,LF2,0.2570462366110631,11.400660379452983,9.289565551193048
working_memory,1,LF2,0.2916855772411269,11.020589355418988,8.995047400835643
working_memory,2,LF2,0.3031556793176933,11.210171420330902,9.08796586031374
fluid_intelligence,0,A4,0.32022,,
fluid_intelligence,1,A4,0.30152,,
fluid_intelligence,2,A4,0.34958,,
fluid_intelligence,0,A3,0.20732000000000003,,
fluid_intelligence,1,A3,0.25648,,
fluid_intelligence,2,A3,0.24488000000000004,,
fluid_intelligence,0,LF0,0.36216,,
fluid_intelligence,1,LF0,0.32686000000000004,,
fluid_intelligence,2,LF0,0.40128,,
fluid_intelligence,0,LF1,0.37348000000000003,,
fluid_intelligence,1,LF1,0.3577,,
fluid_intelligence,2,LF1,0.4069,,
fluid_intelligence,0,LF2,0.36774000000000007,,
fluid_intelligence,1,LF2,0.35458,,
fluid_intelligence,2,LF2,0.4069,,
