task,model,pearson_mean,pearson_median,pearson_std,positive_seeds,n_seeds
working_memory,A4,0.2743356206056655,0.2628796396366357,0.022169869440096093,3,3
working_memory,A3,0.2766574171579011,0.29059544009563887,0.043251572497288365,3,3
working_memory,LF0,0.2707237339162987,0.26766087529398414,0.02022889680021461,3,3
working_memory,LF1,0.2847689404185516,0.28631721021381534,0.02421292727828567,3,3
working_memory,LF2,0.2839624977232944,0.2916855772411269,0.02400530450979694,3,3
fluid_intelligence,A4,0.3237733333333333,0.32022,0.02422623646655281,3,3
fluid_intelligence,A3,0.23622666666666667,0.24488000000000004,0.025697014093729497,3,3
fluid_intelligence,LF0,0.36343333333333333,0.36216,0.037226336555365384,3,3
fluid_intelligence,LF1,0.37936,0.37348000000000003,0.02512152065461004,3,3
fluid_intelligence,LF2,0.3764066666666667,0.36774000000000007,0.027215417199325315,3,3
