task,seed,fold,reference_train_hash,mod2_train_hash,reference_test_hash,mod2_test_hash,train_identical,test_identical
working_memory,0,0,78e61c07d591,78e61c07d591,86904491297a,86904491297a,True,True
fluid_intelligence,0,0,78e61c07d591,78e61c07d591,86904491297a,86904491297a,True,True
working_memory,0,1,71b5c19c60d9,71b5c19c60d9,042662f70195,042662f70195,True,True
fluid_intelligence,0,1,71b5c19c60d9,71b5c19c60d9,042662f70195,042662f70195,True,True
working_memory,0,2,700243bd1601,700243bd1601,22222a0eebce,22222a0eebce,True,True
fluid_intelligence,0,2,700243bd1601,700243bd1601,22222a0eebce,22222a0eebce,True,True
working_memory,0,3,acce8df93e08,acce8df93e08,2a1e007934e6,2a1e007934e6,True,True
fluid_intelligence,0,3,acce8df93e08,acce8df93e08,2a1e007934e6,2a1e007934e6,True,True
working_memory,0,4,a4c48093b510,a4c48093b510,126f3e414016,126f3e414016,True,True
fluid_intelligence,0,4,a4c48093b510,a4c48093b510,126f3e414016,126f3e414016,True,True
working_memory,1,0,714c2ba76363,714c2ba76363,68f0137bde15,68f0137bde15,True,True
fluid_intelligence,1,0,714c2ba76363,714c2ba76363,68f0137bde15,68f0137bde15,True,True
working_memory,1,1,b3bffc775f98,b3bffc775f98,deb466a97ca1,deb466a97ca1,True,True
fluid_intelligence,1,1,b3bffc775f98,b3bffc775f98,deb466a97ca1,deb466a97ca1,True,True
working_memory,1,2,6fd111a8bc47,6fd111a8bc47,5a90de9d647e,5a90de9d647e,True,True
fluid_intelligence,1,2,6fd111a8bc47,6fd111a8bc47,5a90de9d647e,5a90de9d647e,True,True
working_memory,1,3,1145cf577ed9,1145cf577ed9,8ba38b8256fc,8ba38b8256fc,True,True
fluid_intelligence,1,3,1145cf577ed9,1145cf577ed9,8ba38b8256fc,8ba38b8256fc,True,True
working_memory,1,4,723a23de926e,723a23de926e,c8983ba4ebe7,c8983ba4ebe7,True,True
fluid_intelligence,1,4,723a23de926e,723a23de926e,c8983ba4ebe7,c8983ba4ebe7,True,True
working_memory,2,0,450f9a7feff2,450f9a7feff2,5e67a596a85a,5e67a596a85a,True,True
fluid_intelligence,2,0,450f9a7feff2,450f9a7feff2,5e67a596a85a,5e67a596a85a,True,True
working_memory,2,1,a89724887160,a89724887160,01d197f070ae,01d197f070ae,True,True
fluid_intelligence,2,1,a89724887160,a89724887160,01d197f070ae,01d197f070ae,True,True
working_memory,2,2,a7cdd683c73b,a7cdd683c73b,d2fd47f3ea47,d2fd47f3ea47,True,True
fluid_intelligence,2,2,a7cdd683c73b,a7cdd683c73b,d2fd47f3ea47,d2fd47f3ea47,True,True
working_memory,2,3,ccdd3f59bd4f,ccdd3f59bd4f,4c2e1735f088,4c2e1735f088,True,True
fluid_intelligence,2,3,ccdd3f59bd4f,ccdd3f59bd4f,4c2e1735f088,4c2e1735f088,True,True
working_memory,2,4,a1ea72c2b710,a1ea72c2b710,884549894ee6,884549894ee6,True,True
fluid_intelligence,2,4,a1ea72c2b710,a1ea72c2b710,884549894ee6,884549894ee6,True,True
