target,prior_type,lifting,modality,metric,value,seed,fold
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.08819067876893914,0,0
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.03533729947370433,0,0
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.12244410747323346,0,0
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.03878169264437232,0,0
fluid_intelligence,shuffled,prod,FC,ridge_pearson,0.002838956018673563,0,0
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.048056061520982615,0,0
fluid_intelligence,random,prod,FC,ridge_pearson,-0.03549592775601531,0,0
fluid_intelligence,random,prod,SC,ridge_pearson,0.009074690980875887,0,0
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10924693403876527,0,0
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.04685750377880199,0,0
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.15928749459859354,0,0
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.03911489053193158,0,0
fluid_intelligence,shuffled,mean,FC,ridge_pearson,0.01061280269848006,0,0
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.04279627290696413,0,0
fluid_intelligence,random,mean,FC,ridge_pearson,-0.03370863474304521,0,0
fluid_intelligence,random,mean,SC,ridge_pearson,0.011209183234883319,0,0
fluid_intelligence,matched,max,FC,ridge_pearson,-0.11731713792832553,0,0
fluid_intelligence,matched,max,SC,ridge_pearson,-0.038983558390746,0,0
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.15192855473564498,0,0
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.022971365444458127,0,0
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.010679323714403523,0,0
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.03266137651992643,0,0
fluid_intelligence,random,max,FC,ridge_pearson,-0.006470760826643387,0,0
fluid_intelligence,random,max,SC,ridge_pearson,0.018487201985469146,0,0
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.07936551222360314,0,0
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.037668306142909044,0,0
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.13373063303505994,0,0
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.021784931298193165,0,0
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.01605855217483796,0,0
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.011403245985359689,0,0
fluid_intelligence,random,bridge,FC,ridge_pearson,0.008991167785405912,0,0
fluid_intelligence,random,bridge,SC,ridge_pearson,0.00388960422731877,0,0
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.07555844963836303,0,1
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.04583433744452492,0,1
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.10938225614361818,0,1
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.046401607524872046,0,1
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.006122140036920046,0,1
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.04339904748474725,0,1
fluid_intelligence,random,prod,FC,ridge_pearson,-0.026527595748822973,0,1
fluid_intelligence,random,prod,SC,ridge_pearson,-0.0019504924187966882,0,1
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10640617041549195,0,1
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.05715779358149252,0,1
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.15752190675935152,0,1
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.04941914038724663,0,1
fluid_intelligence,shuffled,mean,FC,ridge_pearson,0.0007790677952092609,0,1
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.03767438854779551,0,1
fluid_intelligence,random,mean,FC,ridge_pearson,-0.029468915874169756,0,1
fluid_intelligence,random,mean,SC,ridge_pearson,0.002656508364348137,0,1
fluid_intelligence,matched,max,FC,ridge_pearson,-0.12004015802381687,0,1
fluid_intelligence,matched,max,SC,ridge_pearson,-0.04850069472820246,0,1
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.15106854536352257,0,1
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.032569341694201843,0,1
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.0024051185403684994,0,1
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.027742521942257476,0,1
