roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.92,1.0
2,Precentral_R,0.7,0.7555555555555554
3,Frontal_Sup_L,0.55,0.5888888888888889
4,Frontal_Sup_R,0.1,0.08888888888888889
5,Frontal_Sup_Orb_L,0.08,0.06666666666666667
6,Frontal_Sup_Orb_R,0.25,0.25555555555555554
7,Frontal_Mid_L,0.15,0.14444444444444446
8,Frontal_Mid_R,0.1,0.08888888888888889
9,Frontal_Mid_Orb_L,0.55,0.5888888888888889
10,Frontal_Mid_Orb_R,0.25,0.25555555555555554
11,Frontal_Inf_Oper_L,0.08,0.06666666666666667
12,Frontal_Inf_Oper_R,0.5,0.5333333333333333
13,Frontal_Inf_Tri_L,0.1,0.08888888888888889
14,Frontal_Inf_Tri_R,0.02,0.0
15,Frontal_Inf_Orb_L,0.28,0.2888888888888889
16,Frontal_Inf_Orb_R,0.92,1.0
17,Rolandic_Oper_L,0.3,0.31111111111111106
18,Rolandic_Oper_R,0.08,0.06666666666666667
19,Supp_Motor_Area_L,0.45,0.47777777777777775
20,Supp_Motor_Area_R,0.2,0.2
21,Olfactory_L,0.4,0.4222222222222222
22,Olfactory_R,0.7,0.7555555555555554
23,Frontal_Sup_Medial_L,0.5,0.5333333333333333
24,Frontal_Sup_Medial_R,0.25,0.25555555555555554
25,Frontal_Med_Orb_L,0.12,0.1111111111111111
26,Frontal_Med_Orb_R,0.08,0.06666666666666667
27,Rectus_L,0.6,0.6444444444444444
28,Rectus_R,0.5,0.5333333333333333
29,Insula_L,0.45,0.47777777777777775
30,Insula_R,0.08,0.06666666666666667
31,Cingulum_Ant_L,0.25,0.25555555555555554
32,Cingulum_Ant_R,0.02,0.0
33,Cingulum_Mid_L,0.25,0.25555555555555554
34,Cingulum_Mid_R,0.08,0.06666666666666667
35,Cingulum_Post_L,0.3,0.31111111111111106
36,Cingulum_Post_R,0.08,0.06666666666666667
37,Hippocampus_L,0.45,0.47777777777777775
38,Hippocampus_R,0.55,0.5888888888888889
39,ParaHippocampal_L,0.82,0.8888888888888888
40,ParaHippocampal_R,0.42,0.4444444444444444
41,Amygdala_L,0.9,0.9777777777777777
42,Amygdala_R,0.5,0.5333333333333333
43,Calcarine_L,0.1,0.08888888888888889
44,Calcarine_R,0.7,0.7555555555555554
45,Cuneus_L,0.2,0.2
46,Cuneus_R,0.55,0.5888888888888889
47,Lingual_L,0.7,0.7555555555555554
48,Lingual_R,0.08,0.06666666666666667
49,Occipital_Sup_L,0.58,0.6222222222222221
50,Occipital_Sup_R,0.58,0.6222222222222221
51,Occipital_Mid_L,0.1,0.08888888888888889
52,Occipital_Mid_R,0.2,0.2
53,Occipital_Inf_L,0.72,0.7777777777777777
54,Occipital_Inf_R,0.55,0.5888888888888889
55,Fusiform_L,0.58,0.6222222222222221
56,Fusiform_R,0.1,0.08888888888888889
