roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.1,0.10752688172043011
2,Precentral_R,0.1,0.10752688172043011
3,Frontal_Sup_L,0.93,1.0
4,Frontal_Sup_R,0.91,0.978494623655914
5,Frontal_Sup_Orb_L,0.22,0.23655913978494622
6,Frontal_Sup_Orb_R,0.2,0.21505376344086022
7,Frontal_Mid_L,0.89,0.9569892473118279
8,Frontal_Mid_R,0.87,0.9354838709677419
9,Frontal_Mid_Orb_L,0.2,0.21505376344086022
10,Frontal_Mid_Orb_R,0.18,0.1935483870967742
11,Frontal_Inf_Oper_L,0.82,0.8817204301075268
12,Frontal_Inf_Oper_R,0.7,0.7526881720430106
13,Frontal_Inf_Tri_L,0.55,0.5913978494623656
14,Frontal_Inf_Tri_R,0.45,0.48387096774193544
15,Frontal_Inf_Orb_L,0.18,0.1935483870967742
16,Frontal_Inf_Orb_R,0.16,0.17204301075268816
17,Rolandic_Oper_L,0.08,0.08602150537634408
18,Rolandic_Oper_R,0.08,0.08602150537634408
19,Supp_Motor_Area_L,0.35,0.3763440860215053
20,Supp_Motor_Area_R,0.32,0.3440860215053763
21,Olfactory_L,0.0,0.0
22,Olfactory_R,0.0,0.0
23,Frontal_Sup_Medial_L,0.12,0.12903225806451613
24,Frontal_Sup_Medial_R,0.12,0.12903225806451613
25,Frontal_Med_Orb_L,0.2,0.21505376344086022
26,Frontal_Med_Orb_R,0.18,0.1935483870967742
27,Rectus_L,0.1,0.10752688172043011
28,Rectus_R,0.1,0.10752688172043011
29,Insula_L,0.42,0.4516129032258064
30,Insula_R,0.38,0.4086021505376344
31,Cingulum_Ant_L,0.5,0.5376344086021505
32,Cingulum_Ant_R,0.48,0.5161290322580645
33,Cingulum_Mid_L,0.28,0.3010752688172043
34,Cingulum_Mid_R,0.26,0.27956989247311825
35,Cingulum_Post_L,0.1,0.10752688172043011
36,Cingulum_Post_R,0.1,0.10752688172043011
37,Hippocampus_L,0.18,0.1935483870967742
38,Hippocampus_R,0.16,0.17204301075268816
39,ParaHippocampal_L,0.14,0.15053763440860216
40,ParaHippocampal_R,0.12,0.12903225806451613
41,Amygdala_L,0.04,0.04301075268817204
42,Amygdala_R,0.04,0.04301075268817204
43,Calcarine_L,0.02,0.02150537634408602
44,Calcarine_R,0.02,0.02150537634408602
45,Cuneus_L,0.07,0.07526881720430108
