roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.91,0.978494623655914
2,Precentral_R,0.42,0.4516129032258064
3,Frontal_Sup_L,0.26,0.27956989247311825
4,Frontal_Sup_R,0.1,0.10752688172043011
5,Frontal_Sup_Orb_L,0.03,0.03225806451612903
6,Frontal_Sup_Orb_R,0.28,0.3010752688172043
7,Frontal_Mid_L,0.06,0.06451612903225806
8,Frontal_Mid_R,0.03,0.03225806451612903
9,Frontal_Mid_Orb_L,0.38,0.4086021505376344
10,Frontal_Mid_Orb_R,0.33,0.3548387096774194
11,Frontal_Inf_Oper_L,0.03,0.03225806451612903
12,Frontal_Inf_Oper_R,0.2,0.21505376344086022
13,Frontal_Inf_Tri_L,0.08,0.08602150537634408
14,Frontal_Inf_Tri_R,0.0,0.0
15,Frontal_Inf_Orb_L,0.32,0.3440860215053763
16,Frontal_Inf_Orb_R,0.93,1.0
17,Rolandic_Oper_L,0.48,0.5161290322580645
18,Rolandic_Oper_R,0.02,0.02150537634408602
19,Supp_Motor_Area_L,0.67,0.7204301075268817
20,Supp_Motor_Area_R,0.14,0.15053763440860216
21,Olfactory_L,0.35,0.3763440860215053
22,Olfactory_R,0.4,0.43010752688172044
23,Frontal_Sup_Medial_L,0.18,0.1935483870967742
24,Frontal_Sup_Medial_R,0.2,0.21505376344086022
25,Frontal_Med_Orb_L,0.04,0.04301075268817204
26,Frontal_Med_Orb_R,0.02,0.02150537634408602
27,Rectus_L,0.52,0.5591397849462365
28,Rectus_R,0.1,0.10752688172043011
29,Insula_L,0.22,0.23655913978494622
30,Insula_R,0.1,0.10752688172043011
31,Cingulum_Ant_L,0.22,0.23655913978494622
32,Cingulum_Ant_R,0.0,0.0
33,Cingulum_Mid_L,0.16,0.17204301075268816
34,Cingulum_Mid_R,0.05,0.053763440860215055
35,Cingulum_Post_L,0.4,0.43010752688172044
36,Cingulum_Post_R,0.03,0.03225806451612903
37,Hippocampus_L,0.36,0.3870967741935484
38,Hippocampus_R,0.35,0.3763440860215053
39,ParaHippocampal_L,0.87,0.9354838709677419
40,ParaHippocampal_R,0.33,0.3548387096774194
41,Amygdala_L,0.86,0.9247311827956989
42,Amygdala_R,0.1,0.10752688172043011
43,Calcarine_L,0.1,0.10752688172043011
44,Calcarine_R,0.42,0.4516129032258064
45,Cuneus_L,0.07,0.07526881720430108
46,Cuneus_R,0.82,0.8817204301075268
47,Lingual_L,0.38,0.4086021505376344
48,Lingual_R,0.12,0.12903225806451613
49,Occipital_Sup_L,0.36,0.3870967741935484
50,Occipital_Sup_R,0.33,0.3548387096774194
51,Occipital_Mid_L,0.08,0.08602150537634408
52,Occipital_Mid_R,0.12,0.12903225806451613
53,Occipital_Inf_L,0.72,0.7741935483870968
54,Occipital_Inf_R,0.34,0.3655913978494624
55,Fusiform_L,0.22,0.23655913978494622
56,Fusiform_R,0.04,0.04301075268817204
57,Postcentral_L,0.33,0.3548387096774194
58,Postcentral_R,0.02,0.02150537634408602
59,Parietal_Sup_L,0.2,0.21505376344086022
60,Parietal_Sup_R,0.2,0.21505376344086022
61,Parietal_Inf_L,0.55,0.5913978494623656
62,Parietal_Inf_R,0.1,0.10752688172043011
63,SupraMarginal_L,0.26,0.27956989247311825
64,SupraMarginal_R,0.44,0.47311827956989244
65,Angular_L,0.1,0.10752688172043011
66,Angular_R,0.04,0.04301075268817204
67,Precuneus_L,0.02,0.02150537634408602
68,Precuneus_R,0.02,0.02150537634408602
69,Paracentral_Lobule_L,0.24,0.25806451612903225
70,Paracentral_Lobule_R,0.28,0.3010752688172043
71,Caudate_L,0.75,0.8064516129032258
72,Caudate_R,0.08,0.08602150537634408
73,Putamen_L,0.3,0.3225806451612903
74,Putamen_R,0.12,0.12903225806451613
75,Pallidum_L,0.04,0.04301075268817204
76,Pallidum_R,0.28,0.3010752688172043
77,Thalamus_L,0.16,0.17204301075268816
78,Thalamus_R,0.05,0.053763440860215055
79,Heschl_L,0.72,0.7741935483870968
80,Heschl_R,0.18,0.1935483870967742
81,Temporal_Sup_L,0.83,0.8924731182795698
82,Temporal_Sup_R,0.48,0.5161290322580645
83,Temporal_Pole_Sup_L,0.28,0.3010752688172043
84,Temporal_Pole_Sup_R,0.08,0.08602150537634408
85,Temporal_Mid_L,0.07,0.07526881720430108
86,Temporal_Mid_R,0.18,0.1935483870967742
87,Temporal_Pole_Mid_L,0.12,0.12903225806451613
88,Temporal_Pole_Mid_R,0.1,0.10752688172043011
89,Temporal_Inf_L,0.5,0.5376344086021505
90,Temporal_Inf_R,0.82,0.8817204301075268
91,Cerebelum_Crus1_L,0.22,0.23655913978494622
92,Cerebelum_Crus1_R,0.28,0.3010752688172043
93,Cerebelum_Crus2_L,0.03,0.03225806451612903
94,Cerebelum_Crus2_R,0.06,0.06451612903225806
95,Cerebelum_3_L,0.05,0.053763440860215055
96,Cerebelum_3_R,0.89,0.9569892473118279
97,Cerebelum_4_5_L,0.24,0.25806451612903225
98,Cerebelum_4_5_R,0.7,0.7526881720430106
99,Cerebelum_6_L,0.42,0.4516129032258064
100,Cerebelum_6_R,0.04,0.04301075268817204
101,Cerebelum_7b_L,0.12,0.12903225806451613
102,Cerebelum_7b_R,0.32,0.3440860215053763
103,Cerebelum_8_L,0.1,0.10752688172043011
104,Cerebelum_8_R,0.7,0.7526881720430106
105,Cerebelum_9_L,0.05,0.053763440860215055
106,Cerebelum_9_R,0.55,0.5913978494623656
107,Cerebelum_10_L,0.03,0.03225806451612903
108,Cerebelum_10_R,0.32,0.3440860215053763
109,Vermis_1_2,0.18,0.1935483870967742
110,Vermis_3,0.45,0.48387096774193544
111,Vermis_4_5,0.12,0.12903225806451613
112,Vermis_6,0.18,0.1935483870967742
113,Vermis_7,0.16,0.17204301075268816
114,Vermis_8,0.73,0.7849462365591398
115,Vermis_9,0.5,0.5376344086021505
116,Vermis_10,0.2,0.21505376344086022
