roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.7,0.8749999999999999
2,Precentral_R,0.5,0.625
3,Frontal_Sup_L,0.6,0.7499999999999999
4,Frontal_Sup_R,0.3,0.37499999999999994
5,Frontal_Sup_Orb_L,0.0,0.0
6,Frontal_Sup_Orb_R,0.2,0.25
7,Frontal_Mid_L,0.0,0.0
8,Frontal_Mid_R,0.5,0.625
9,Frontal_Mid_Orb_L,0.8,1.0
10,Frontal_Mid_Orb_R,0.2,0.25
11,Frontal_Inf_Oper_L,0.0,0.0
12,Frontal_Inf_Oper_R,0.4,0.5
13,Frontal_Inf_Tri_L,0.2,0.25
14,Frontal_Inf_Tri_R,0.0,0.0
15,Frontal_Inf_Orb_L,0.2,0.25
16,Frontal_Inf_Orb_R,0.7,0.8749999999999999
17,Rolandic_Oper_L,0.2,0.25
18,Rolandic_Oper_R,0.5,0.625
19,Supp_Motor_Area_L,0.2,0.25
20,Supp_Motor_Area_R,0.0,0.0
21,Olfactory_L,0.7,0.8749999999999999
22,Olfactory_R,0.5,0.625
23,Frontal_Sup_Medial_L,0.4,0.5
24,Frontal_Sup_Medial_R,0.5,0.625
25,Frontal_Med_Orb_L,0.5,0.625
26,Frontal_Med_Orb_R,0.5,0.625
27,Rectus_L,0.3,0.37499999999999994
28,Rectus_R,0.3,0.37499999999999994
29,Insula_L,0.4,0.5
30,Insula_R,0.0,0.0
31,Cingulum_Ant_L,0.5,0.625
32,Cingulum_Ant_R,0.0,0.0
33,Cingulum_Mid_L,0.0,0.0
34,Cingulum_Mid_R,0.0,0.0
35,Cingulum_Post_L,0.2,0.25
36,Cingulum_Post_R,0.0,0.0
37,Hippocampus_L,0.8,1.0
38,Hippocampus_R,0.8,1.0
39,ParaHippocampal_L,0.8,1.0
40,ParaHippocampal_R,0.2,0.25
41,Amygdala_L,0.7,0.8749999999999999
42,Amygdala_R,0.3,0.37499999999999994
43,Calcarine_L,0.2,0.25
44,Calcarine_R,0.5,0.625
45,Cuneus_L,0.0,0.0
46,Cuneus_R,0.6,0.7499999999999999
47,Lingual_L,0.5,0.625
48,Lingual_R,0.0,0.0
49,Occipital_Sup_L,0.2,0.25
50,Occipital_Sup_R,0.2,0.25
51,Occipital_Mid_L,0.2,0.25
52,Occipital_Mid_R,0.0,0.0
53,Occipital_Inf_L,0.7,0.8749999999999999
54,Occipital_Inf_R,0.5,0.625
55,Fusiform_L,0.5,0.625
56,Fusiform_R,0.0,0.0
57,Postcentral_L,0.8,1.0
58,Postcentral_R,0.0,0.0
59,Parietal_Sup_L,0.1,0.125
60,Parietal_Sup_R,0.4,0.5
61,Parietal_Inf_L,0.2,0.25
62,Parietal_Inf_R,0.3,0.37499999999999994
63,SupraMarginal_L,0.5,0.625
64,SupraMarginal_R,0.5,0.625
65,Angular_L,0.2,0.25
66,Angular_R,0.5,0.625
67,Precuneus_L,0.5,0.625
68,Precuneus_R,0.0,0.0
69,Paracentral_Lobule_L,0.2,0.25
70,Paracentral_Lobule_R,0.6,0.7499999999999999
71,Caudate_L,0.7,0.8749999999999999
72,Caudate_R,0.2,0.25
73,Putamen_L,0.2,0.25
74,Putamen_R,0.5,0.625
75,Pallidum_L,0.5,0.625
76,Pallidum_R,0.2,0.25
77,Thalamus_L,0.3,0.37499999999999994
78,Thalamus_R,0.0,0.0
79,Heschl_L,0.7,0.8749999999999999
80,Heschl_R,0.5,0.625
81,Temporal_Sup_L,0.7,0.8749999999999999
82,Temporal_Sup_R,0.7,0.8749999999999999
83,Temporal_Pole_Sup_L,0.2,0.25
84,Temporal_Pole_Sup_R,0.2,0.25
85,Temporal_Mid_L,0.0,0.0
86,Temporal_Mid_R,0.5,0.625
87,Temporal_Pole_Mid_L,0.4,0.5
88,Temporal_Pole_Mid_R,0.4,0.5
89,Temporal_Inf_L,0.7,0.8749999999999999
90,Temporal_Inf_R,0.7,0.8749999999999999
91,Cerebelum_Crus1_L,0.1,0.125
92,Cerebelum_Crus1_R,0.5,0.625
93,Cerebelum_Crus2_L,0.5,0.625
94,Cerebelum_Crus2_R,0.0,0.0
95,Cerebelum_3_L,0.0,0.0
96,Cerebelum_3_R,0.8,1.0
97,Cerebelum_4_5_L,0.5,0.625
98,Cerebelum_4_5_R,0.6,0.7499999999999999
99,Cerebelum_6_L,0.5,0.625
100,Cerebelum_6_R,0.0,0.0
101,Cerebelum_7b_L,0.5,0.625
102,Cerebelum_7b_R,0.7,0.8749999999999999
103,Cerebelum_8_L,0.4,0.5
104,Cerebelum_8_R,0.7,0.8749999999999999
105,Cerebelum_9_L,0.0,0.0
106,Cerebelum_9_R,0.6,0.7499999999999999
107,Cerebelum_10_L,0.0,0.0
108,Cerebelum_10_R,0.5,0.625
109,Vermis_1_2,0.3,0.37499999999999994
110,Vermis_3,0.6,0.7499999999999999
111,Vermis_4_5,0.4,0.5
112,Vermis_6,0.0,0.0
113,Vermis_7,0.5,0.625
114,Vermis_8,0.7,0.8749999999999999
115,Vermis_9,0.3,0.37499999999999994
116,Vermis_10,0.5,0.625
